Date, Time, Open, High, Low, Close, Volume
04/02/2015, 14:59, 3.6500, 3.6500, 3.6500, 3.6500, 34.0000
04/06/2015, 08:31, 4.1200, 4.1400, 4.1200, 4.1300, 10.0000
04/06/2015, 08:34, 4.0000, 4.0000, 4.0000, 4.0000, 16.0000
04/06/2015, 08:35, 3.9500, 3.9500, 3.8700, 3.8700, 13.0000
04/06/2015, 08:48, 3.5000, 3.5000, 3.5000, 3.5000, 50.0000
04/06/2015, 09:01, 3.2000, 3.2000, 3.2000, 3.2000, 5.0000
04/06/2015, 09:07, 3.0600, 3.0700, 3.0600, 3.0700, 15.0000
04/06/2015, 09:16, 2.8000, 2.8100, 2.8000, 2.8100, 4.0000
04/06/2015, 09:17, 2.7300, 2.7300, 2.7300, 2.7300, 7.0000
04/06/2015, 09:18, 2.7400, 2.7600, 2.7400, 2.7600, 2.0000
04/06/2015, 09:20, 2.7400, 2.8000, 2.7400, 2.8000, 24.0000
04/06/2015, 09:21, 2.7600, 2.7600, 2.6700, 2.6700, 129.0000
04/06/2015, 09:24, 2.6400, 2.6400, 2.6400, 2.6400, 3.0000
04/06/2015, 09:25, 2.6900, 2.6900, 2.6900, 2.6900, 14.0000
04/06/2015, 09:26, 2.6700, 2.6700, 2.6700, 2.6700, 150.0000
04/06/2015, 09:27, 2.7100, 2.7100, 2.7100, 2.7100, 12.0000
04/06/2015, 09:28, 2.7200, 2.7200, 2.7200, 2.7200, 8.0000
04/06/2015, 09:30, 2.6000, 2.6000, 2.6000, 2.6000, 2.0000
04/06/2015, 09:31, 2.6100, 2.6100, 2.6100, 2.6100, 6.0000
04/06/2015, 09:33, 2.5900, 2.5900, 2.5700, 2.5900, 138.0000
04/06/2015, 09:35, 2.6300, 2.6300, 2.6300, 2.6300, 14.0000
04/06/2015, 09:38, 2.5300, 2.5300, 2.5300, 2.5300, 4.0000
04/06/2015, 09:39, 2.5500, 2.5500, 2.5500, 2.5500, 2.0000
04/06/2015, 09:45, 2.5700, 2.5700, 2.5500, 2.5500, 20.0000
04/06/2015, 09:46, 2.6300, 2.6400, 2.6300, 2.6400, 21.0000
04/06/2015, 09:47, 2.6400, 2.6400, 2.6400, 2.6400, 2.0000
04/06/2015, 09:53, 2.5700, 2.5700, 2.5700, 2.5700, 2.0000
04/06/2015, 09:59, 2.5500, 2.5500, 2.5500, 2.5500, 9.0000
04/06/2015, 10:00, 2.5200, 2.5200, 2.5200, 2.5200, 6.0000
04/06/2015, 10:01, 2.5100, 2.5100, 2.5100, 2.5100, 4.0000
04/06/2015, 10:02, 2.4900, 2.4900, 2.4700, 2.4700, 25.0000
04/06/2015, 10:07, 2.5300, 2.5300, 2.5300, 2.5300, 12.0000
04/06/2015, 10:12, 2.6300, 2.6300, 2.6300, 2.6300, 5.0000
04/06/2015, 10:14, 2.6500, 2.6500, 2.6500, 2.6500, 2.0000
04/06/2015, 10:15, 2.6500, 2.7200, 2.6500, 2.7200, 17.0000
04/06/2015, 10:16, 2.7000, 2.7000, 2.7000, 2.7000, 6.0000
04/06/2015, 10:17, 2.6900, 2.6900, 2.6900, 2.6900, 3.0000
04/06/2015, 10:18, 2.7000, 2.7000, 2.7000, 2.7000, 2.0000
04/06/2015, 10:22, 2.6000, 2.6000, 2.6000, 2.6000, 70.0000
04/06/2015, 10:23, 2.6300, 2.6300, 2.6300, 2.6300, 70.0000
04/06/2015, 10:25, 2.5900, 2.5900, 2.5800, 2.5900, 75.0000
04/06/2015, 10:27, 2.6300, 2.6300, 2.6200, 2.6200, 57.0000
04/06/2015, 10:28, 2.6300, 2.6300, 2.6300, 2.6300, 18.0000
04/06/2015, 10:33, 2.6200, 2.6200, 2.6200, 2.6200, 2.0000
04/06/2015, 10:43, 2.4700, 2.4700, 2.4700, 2.4700, 6.0000
04/06/2015, 10:49, 2.4500, 2.4500, 2.4500, 2.4500, 2.0000
04/06/2015, 10:51, 2.5000, 2.5000, 2.4900, 2.4900, 9.0000
04/06/2015, 10:53, 2.4600, 2.4700, 2.4600, 2.4700, 42.0000
04/06/2015, 10:55, 2.4400, 2.4400, 2.4400, 2.4400, 24.0000
04/06/2015, 11:00, 2.4000, 2.4000, 2.4000, 2.4000, 1.0000
04/06/2015, 11:07, 2.3600, 2.3600, 2.3600, 2.3600, 5.0000
04/06/2015, 11:08, 2.3700, 2.3700, 2.3700, 2.3700, 30.0000
04/06/2015, 11:10, 2.3600, 2.3600, 2.3600, 2.3600, 2.0000
04/06/2015, 11:13, 2.3900, 2.3900, 2.3900, 2.3900, 20.0000
04/06/2015, 11:21, 2.3400, 2.3400, 2.3400, 2.3400, 5.0000
04/06/2015, 11:22, 2.3500, 2.3500, 2.3500, 2.3500, 18.0000
04/06/2015, 11:24, 2.3600, 2.3600, 2.3400, 2.3500, 47.0000
