Date, Time, Open, High, Low, Close, Volume
02/12/2015, 14:54, 2.9000, 2.9000, 2.9000, 2.9000, 2.0000
02/13/2015, 12:36, 2.8100, 2.8100, 2.8100, 2.8100, 100.0000
02/20/2015, 08:40, 2.9700, 2.9700, 2.9700, 2.9700, 8.0000
02/20/2015, 13:13, 1.3400, 1.3400, 1.3400, 1.3400, 1.0000
02/20/2015, 14:46, 1.3000, 1.3000, 1.3000, 1.3000, 10.0000
02/20/2015, 14:50, 1.2800, 1.2800, 1.2700, 1.2700, 20.0000
02/23/2015, 14:23, 1.3600, 1.3600, 1.3600, 1.3600, 10.0000
02/23/2015, 14:58, 1.2000, 1.2000, 1.2000, 1.2000, 1.0000
02/24/2015, 08:33, 0.8900, 0.8900, 0.8900, 0.8900, 1.0000
02/24/2015, 08:38, 1.0000, 1.0000, 1.0000, 1.0000, 8.0000
02/24/2015, 08:48, 0.9500, 0.9500, 0.9500, 0.9500, 10.0000
02/24/2015, 08:52, 0.9400, 0.9400, 0.9400, 0.9400, 10.0000
02/24/2015, 09:23, 0.8000, 0.8000, 0.8000, 0.8000, 15.0000
02/24/2015, 09:26, 0.7300, 0.7300, 0.7300, 0.7300, 6.0000
02/24/2015, 09:27, 0.7000, 0.7000, 0.6800, 0.6800, 23.0000
02/24/2015, 09:28, 0.6800, 0.7000, 0.6800, 0.7000, 13.0000
02/24/2015, 09:30, 0.7100, 0.7100, 0.7100, 0.7100, 7.0000
02/24/2015, 09:31, 0.7300, 0.7300, 0.7300, 0.7300, 11.0000
02/24/2015, 09:35, 0.7500, 0.7500, 0.7500, 0.7500, 7.0000
02/24/2015, 09:37, 0.7500, 0.7500, 0.7500, 0.7500, 30.0000
02/24/2015, 09:46, 0.7000, 0.7100, 0.7000, 0.7100, 21.0000
02/24/2015, 09:53, 0.7100, 0.7100, 0.7100, 0.7100, 17.0000
02/24/2015, 09:56, 0.6800, 0.6800, 0.6800, 0.6800, 21.0000
02/24/2015, 10:00, 0.6700, 0.6700, 0.6700, 0.6700, 7.0000
02/24/2015, 10:01, 0.6600, 0.6600, 0.6600, 0.6600, 15.0000
02/24/2015, 10:05, 0.6400, 0.6400, 0.6400, 0.6400, 1.0000
02/24/2015, 10:06, 0.6400, 0.6400, 0.6400, 0.6400, 20.0000
02/24/2015, 10:08, 0.6300, 0.6300, 0.6300, 0.6300, 26.0000
02/24/2015, 10:23, 0.5600, 0.5600, 0.5600, 0.5600, 8.0000
02/24/2015, 10:30, 0.5700, 0.5700, 0.5700, 0.5700, 10.0000
02/24/2015, 10:48, 0.5900, 0.5900, 0.5900, 0.5900, 3.0000
02/24/2015, 11:21, 0.6200, 0.6200, 0.6200, 0.6200, 25.0000
02/24/2015, 11:55, 0.6100, 0.6100, 0.6100, 0.6100, 45.0000
02/24/2015, 12:10, 0.6200, 0.6200, 0.6200, 0.6200, 3.0000
02/24/2015, 12:27, 0.6200, 0.6200, 0.6200, 0.6200, 20.0000
02/24/2015, 12:33, 0.5900, 0.5900, 0.5900, 0.5900, 100.0000
02/24/2015, 12:36, 0.5400, 0.5500, 0.5400, 0.5500, 48.0000
02/24/2015, 12:43, 0.5300, 0.5300, 0.5300, 0.5300, 6.0000
02/24/2015, 12:44, 0.5100, 0.5100, 0.5100, 0.5100, 11.0000
02/24/2015, 12:46, 0.5000, 0.5000, 0.5000, 0.5000, 5.0000
02/24/2015, 12:53, 0.5100, 0.5200, 0.5100, 0.5200, 20.0000
02/24/2015, 13:00, 0.5000, 0.5000, 0.5000, 0.5000, 2.0000
02/24/2015, 13:05, 0.5400, 0.5400, 0.5400, 0.5400, 7.0000
02/24/2015, 13:40, 0.5300, 0.5300, 0.5300, 0.5300, 10.0000
02/24/2015, 13:51, 0.5100, 0.5100, 0.5100, 0.5100, 10.0000
02/24/2015, 13:54, 0.4700, 0.4700, 0.4700, 0.4700, 7.0000
02/24/2015, 14:01, 0.4700, 0.4700, 0.4500, 0.4500, 17.0000
02/24/2015, 14:02, 0.4500, 0.4500, 0.4500, 0.4500, 7.0000
02/24/2015, 14:17, 0.4400, 0.4400, 0.4400, 0.4400, 5.0000
02/25/2015, 08:37, 0.5000, 0.5000, 0.5000, 0.5000, 10.0000
02/25/2015, 08:41, 0.5000, 0.5000, 0.5000, 0.5000, 5.0000
02/25/2015, 08:47, 0.5500, 0.5500, 0.5500, 0.5500, 16.0000
02/25/2015, 09:03, 0.5400, 0.5400, 0.5400, 0.5400, 20.0000
02/25/2015, 11:43, 0.3600, 0.3600, 0.3600, 0.3600, 4.0000
02/25/2015, 12:29, 0.3500, 0.3500, 0.3500, 0.3500, 8.0000
02/26/2015, 08:53, 0.3400, 0.3400, 0.3400, 0.3400, 17.0000
02/26/2015, 08:59, 0.4500, 0.4500, 0.4500, 0.4500, 20.0000
02/26/2015, 09:32, 0.4200, 0.4200, 0.4200, 0.4200, 12.0000
02/26/2015, 09:59, 0.2800, 0.2800, 0.2800, 0.2800, 12.0000
02/26/2015, 10:34, 0.2700, 0.2700, 0.2700, 0.2700, 10.0000
02/26/2015, 10:50, 0.2600, 0.2600, 0.2600, 0.2600, 4.0000
02/26/2015, 11:21, 0.3500, 0.3500, 0.3500, 0.3500, 8.0000
02/26/2015, 11:26, 0.3000, 0.3000, 0.3000, 0.3000, 5.0000
02/26/2015, 12:09, 0.2800, 0.2800, 0.2800, 0.2800, 1.0000
02/26/2015, 13:43, 0.3300, 0.3300, 0.3300, 0.3300, 13.0000
02/26/2015, 13:57, 0.3800, 0.3800, 0.3800, 0.3800, 1.0000
02/26/2015, 14:00, 0.4000, 0.4000, 0.4000, 0.4000, 10.0000
02/26/2015, 14:15, 0.4000, 0.4000, 0.4000, 0.4000, 2.0000
02/27/2015, 08:45, 0.3000, 0.3000, 0.3000, 0.3000, 8.0000
02/27/2015, 10:12, 0.1400, 0.1400, 0.1400, 0.1400, 25.0000
02/27/2015, 10:16, 0.1500, 0.1500, 0.1500, 0.1500, 2.0000
02/27/2015, 10:25, 0.1700, 0.1700, 0.1700, 0.1700, 2.0000
02/27/2015, 10:26, 0.1700, 0.1700, 0.1700, 0.1700, 4.0000
02/27/2015, 10:27, 0.1800, 0.1800, 0.1800, 0.1800, 2.0000
02/27/2015, 10:28, 0.2000, 0.2000, 0.2000, 0.2000, 4.0000
02/27/2015, 10:29, 0.2200, 0.2200, 0.2200, 0.2200, 2.0000
02/27/2015, 10:30, 0.2300, 0.2300, 0.2200, 0.2200, 23.0000
02/27/2015, 10:32, 0.2200, 0.2200, 0.2200, 0.2200, 6.0000
02/27/2015, 11:43, 0.1300, 0.1300, 0.1300, 0.1300, 3.0000
02/27/2015, 11:45, 0.1200, 0.1200, 0.1200, 0.1200, 14.0000
02/27/2015, 11:47, 0.1200, 0.1200, 0.1200, 0.1200, 2.0000
02/27/2015, 11:48, 0.1100, 0.1100, 0.1100, 0.1100, 2.0000
02/27/2015, 11:53, 0.1500, 0.1500, 0.1500, 0.1500, 7.0000
02/27/2015, 11:54, 0.1500, 0.1500, 0.1500, 0.1500, 14.0000
02/27/2015, 12:13, 0.1400, 0.1400, 0.1400, 0.1400, 2.0000
02/27/2015, 12:19, 0.1600, 0.1600, 0.1600, 0.1600, 4.0000
02/27/2015, 12:27, 0.1700, 0.1700, 0.1700, 0.1700, 2.0000
02/27/2015, 12:42, 0.1700, 0.1700, 0.1700, 0.1700, 2.0000
02/27/2015, 12:48, 0.1300, 0.1300, 0.1300, 0.1300, 2.0000
02/27/2015, 13:01, 0.1200, 0.1200, 0.1200, 0.1200, 4.0000
02/27/2015, 13:10, 0.1300, 0.1300, 0.1300, 0.1300, 7.0000
02/27/2015, 13:14, 0.1300, 0.1300, 0.1300, 0.1300, 14.0000
02/27/2015, 13:15, 0.1300, 0.1300, 0.1300, 0.1300, 8.0000
02/27/2015, 13:52, 0.2300, 0.2300, 0.2300, 0.2300, 20.0000
02/27/2015, 13:56, 0.2600, 0.2600, 0.2600, 0.2600, 4.0000
02/27/2015, 14:01, 0.3500, 0.3500, 0.3500, 0.3500, 31.0000
02/27/2015, 14:02, 0.3500, 0.3500, 0.3500, 0.3500, 73.0000
02/27/2015, 14:16, 0.2300, 0.2300, 0.2300, 0.2300, 3.0000
02/27/2015, 14:19, 0.2100, 0.2100, 0.2100, 0.2100, 17.0000
02/27/2015, 14:20, 0.2500, 0.2500, 0.2500, 0.2500, 16.0000
02/27/2015, 14:21, 0.2400, 0.2400, 0.2400, 0.2400, 5.0000
02/27/2015, 14:40, 0.3200, 0.3200, 0.3000, 0.3000, 74.0000
02/27/2015, 14:51, 0.2000, 0.2000, 0.2000, 0.2000, 10.0000
02/27/2015, 14:53, 0.2000, 0.2000, 0.2000, 0.2000, 2.0000
02/27/2015, 14:57, 0.3000, 0.3000, 0.3000, 0.3000, 10.0000
02/27/2015, 14:58, 0.3000, 0.3000, 0.3000, 0.3000, 2.0000
02/27/2015, 14:59, 0.2400, 0.2400, 0.2400, 0.2400, 3.0000
02/27/2015, 15:01, 0.2500, 0.2500, 0.2500, 0.2500, 2.0000
