Date, Time, Open, High, Low, Close, Volume
02/12/2015, 12:05, 3.4000, 3.4000, 3.4000, 3.4000, 1.0000
02/13/2015, 09:13, 2.9200, 2.9200, 2.9200, 2.9200, 6.0000
02/13/2015, 12:36, 3.1500, 3.1500, 3.1500, 3.1500, 2.0000
02/17/2015, 09:04, 2.9500, 2.9500, 2.9500, 2.9500, 1.0000
02/17/2015, 11:32, 2.9000, 2.9000, 2.9000, 2.9000, 10.0000
02/17/2015, 14:26, 2.4400, 2.4400, 2.4400, 2.4400, 5.0000
02/17/2015, 14:53, 2.6000, 2.6000, 2.6000, 2.6000, 10.0000
02/18/2015, 08:56, 2.6800, 2.6800, 2.6800, 2.6800, 100.0000
02/18/2015, 12:47, 2.7000, 2.7000, 2.7000, 2.7000, 10.0000
02/18/2015, 13:27, 2.6500, 2.6500, 2.6500, 2.6500, 1.0000
02/18/2015, 14:15, 2.4000, 2.4000, 2.4000, 2.4000, 1.0000
02/19/2015, 12:11, 2.6700, 2.6700, 2.6700, 2.6700, 55.0000
02/20/2015, 08:40, 3.4000, 3.4000, 3.4000, 3.4000, 8.0000
02/20/2015, 09:12, 3.2000, 3.2000, 3.2000, 3.2000, 2.0000
02/20/2015, 09:18, 3.1500, 3.1500, 3.1500, 3.1500, 6.0000
02/20/2015, 11:02, 2.4500, 2.4500, 2.4500, 2.4500, 1.0000
02/20/2015, 12:56, 1.8000, 1.8000, 1.8000, 1.8000, 1.0000
02/20/2015, 12:57, 1.8000, 1.8000, 1.6600, 1.6600, 3.0000
02/20/2015, 13:01, 1.6500, 1.6500, 1.6500, 1.6500, 1.0000
02/20/2015, 13:05, 1.6000, 1.6000, 1.6000, 1.6000, 1.0000
02/20/2015, 13:15, 1.6400, 1.6400, 1.6400, 1.6400, 1.0000
02/20/2015, 13:19, 1.7200, 1.7200, 1.7200, 1.7200, 1.0000
02/20/2015, 14:00, 1.5500, 1.5500, 1.5500, 1.5500, 1.0000
02/20/2015, 14:02, 1.5100, 1.5100, 1.5100, 1.5100, 2.0000
02/20/2015, 14:08, 1.5000, 1.5000, 1.5000, 1.5000, 2.0000
02/20/2015, 14:12, 1.4800, 1.4800, 1.4800, 1.4800, 5.0000
02/20/2015, 14:13, 1.5000, 1.5000, 1.5000, 1.5000, 1.0000
02/20/2015, 14:16, 1.5500, 1.5500, 1.5500, 1.5500, 1.0000
02/20/2015, 14:49, 1.5900, 1.5900, 1.5900, 1.5900, 1.0000
02/20/2015, 14:50, 1.6000, 1.6000, 1.6000, 1.6000, 1.0000
02/20/2015, 14:52, 1.5900, 1.5900, 1.5900, 1.5900, 1.0000
02/23/2015, 08:33, 1.8500, 1.8500, 1.8500, 1.8500, 1.0000
02/23/2015, 08:35, 1.9000, 1.9000, 1.9000, 1.9000, 1.0000
02/23/2015, 08:36, 1.8000, 1.8000, 1.8000, 1.8000, 2.0000
02/23/2015, 09:18, 1.8500, 1.8500, 1.8500, 1.8500, 1.0000
02/23/2015, 09:38, 1.7800, 1.7800, 1.7800, 1.7800, 1.0000
02/24/2015, 10:00, 0.9300, 0.9300, 0.9300, 0.9300, 10.0000
02/24/2015, 10:05, 0.8700, 0.8800, 0.8700, 0.8800, 3.0000
02/24/2015, 10:06, 0.8800, 0.8800, 0.8800, 0.8800, 7.0000
02/24/2015, 10:08, 0.8700, 0.8700, 0.8500, 0.8500, 19.0000
02/24/2015, 10:09, 0.8500, 0.8500, 0.8500, 0.8500, 6.0000
02/24/2015, 10:12, 0.8000, 0.8000, 0.8000, 0.8000, 6.0000
02/24/2015, 10:13, 0.8000, 0.8000, 0.8000, 0.8000, 6.0000
02/24/2015, 10:15, 0.7600, 0.7600, 0.7600, 0.7600, 10.0000
02/24/2015, 10:21, 0.7900, 0.7900, 0.7800, 0.7800, 11.0000
02/24/2015, 10:23, 0.7800, 0.7800, 0.7800, 0.7800, 1.0000
02/24/2015, 10:29, 0.7800, 0.7800, 0.7800, 0.7800, 9.0000
02/24/2015, 10:31, 0.7600, 0.7600, 0.7600, 0.7600, 7.0000
02/24/2015, 10:58, 0.8400, 0.8400, 0.8400, 0.8400, 10.0000
02/24/2015, 11:21, 0.8800, 0.8800, 0.8800, 0.8800, 3.0000
02/24/2015, 11:31, 1.0200, 1.0200, 1.0200, 1.0200, 11.0000
02/24/2015, 11:33, 1.0700, 1.0700, 1.0700, 1.0700, 1.0000
02/24/2015, 11:44, 0.9400, 0.9400, 0.9400, 0.9400, 10.0000
02/24/2015, 11:55, 0.9000, 0.9000, 0.9000, 0.9000, 10.0000
02/24/2015, 12:44, 0.7500, 0.7500, 0.7400, 0.7400, 5.0000
02/24/2015, 13:05, 0.7700, 0.7700, 0.7700, 0.7700, 20.0000
02/24/2015, 14:01, 0.6800, 0.6800, 0.6800, 0.6800, 3.0000
02/24/2015, 14:12, 0.6600, 0.6600, 0.6600, 0.6600, 8.0000
02/24/2015, 14:14, 0.6800, 0.6800, 0.6800, 0.6800, 10.0000
02/24/2015, 14:15, 0.6800, 0.6800, 0.6800, 0.6800, 10.0000
