Date, Time, Open, High, Low, Close, Volume
03/19/2015, 14:46, 2.7200, 2.7200, 2.7200, 2.7200, 3.0000
03/20/2015, 08:38, 2.2700, 2.2700, 2.2700, 2.2700, 10.0000
03/20/2015, 08:40, 2.2700, 2.2700, 2.2700, 2.2700, 4.0000
03/20/2015, 08:41, 2.2700, 2.2700, 2.2700, 2.2700, 1.0000
03/20/2015, 08:46, 2.3600, 2.3700, 2.3600, 2.3700, 4.0000
03/20/2015, 08:47, 2.4000, 2.4000, 2.4000, 2.4000, 1.0000
03/20/2015, 08:50, 2.3300, 2.3300, 2.3300, 2.3300, 5.0000
03/20/2015, 08:53, 2.3300, 2.3300, 2.3300, 2.3300, 5.0000
03/20/2015, 08:54, 2.2900, 2.2900, 2.2900, 2.2900, 7.0000
03/20/2015, 08:55, 2.2400, 2.2400, 2.2400, 2.2400, 1.0000
03/20/2015, 08:57, 2.1100, 2.1200, 2.1100, 2.1200, 8.0000
03/20/2015, 09:14, 2.1400, 2.1400, 2.1400, 2.1400, 4.0000
03/20/2015, 09:43, 1.9800, 1.9800, 1.9800, 1.9800, 12.0000
03/20/2015, 10:01, 1.9600, 1.9600, 1.9600, 1.9600, 1.0000
03/20/2015, 10:08, 1.9200, 1.9200, 1.9200, 1.9200, 4.0000
03/20/2015, 10:17, 1.8300, 1.8300, 1.8300, 1.8300, 4.0000
03/20/2015, 10:18, 1.8700, 1.8700, 1.8700, 1.8700, 5.0000
03/20/2015, 10:24, 1.8100, 1.8100, 1.8100, 1.8100, 56.0000
03/20/2015, 10:56, 1.8000, 1.8000, 1.8000, 1.8000, 7.0000
03/20/2015, 11:00, 1.7700, 1.7700, 1.7700, 1.7700, 5.0000
03/20/2015, 11:06, 1.6800, 1.6800, 1.6800, 1.6800, 30.0000
03/20/2015, 11:10, 1.7100, 1.7100, 1.7100, 1.7100, 5.0000
03/20/2015, 11:44, 1.8700, 1.8700, 1.8700, 1.8700, 20.0000
03/20/2015, 11:55, 1.9000, 1.9000, 1.9000, 1.9000, 1.0000
03/20/2015, 12:06, 1.7700, 1.7700, 1.7700, 1.7700, 1.0000
03/20/2015, 12:07, 1.7800, 1.7800, 1.7800, 1.7800, 3.0000
03/20/2015, 12:11, 1.8200, 1.8200, 1.8200, 1.8200, 1.0000
03/20/2015, 12:14, 1.9100, 1.9100, 1.9100, 1.9100, 22.0000
03/20/2015, 12:37, 1.7900, 1.7900, 1.7900, 1.7900, 5.0000
03/20/2015, 12:45, 1.7800, 1.7800, 1.7800, 1.7800, 1.0000
03/20/2015, 12:57, 1.8400, 1.8400, 1.8400, 1.8400, 4.0000
03/20/2015, 13:04, 1.8600, 1.8600, 1.8600, 1.8600, 4.0000
03/20/2015, 13:19, 2.0300, 2.0300, 2.0300, 2.0300, 5.0000
03/20/2015, 14:08, 1.9700, 1.9700, 1.9700, 1.9700, 4.0000
03/20/2015, 14:10, 1.9200, 1.9200, 1.9200, 1.9200, 23.0000
03/20/2015, 14:14, 2.0100, 2.0100, 2.0100, 2.0100, 2.0000
03/20/2015, 14:15, 2.0200, 2.0200, 2.0200, 2.0200, 5.0000
03/20/2015, 14:24, 2.0700, 2.0700, 2.0700, 2.0700, 20.0000
03/20/2015, 14:48, 2.1300, 2.1300, 2.1300, 2.1300, 30.0000
03/20/2015, 14:50, 2.1200, 2.1200, 2.1200, 2.1200, 4.0000
03/23/2015, 08:35, 1.9400, 1.9400, 1.9400, 1.9400, 20.0000
03/23/2015, 08:36, 2.1000, 2.1700, 2.1000, 2.1700, 20.0000
03/23/2015, 08:37, 2.2500, 2.2500, 2.2500, 2.2500, 56.0000
03/23/2015, 08:38, 2.1400, 2.1700, 2.1400, 2.1700, 11.0000
03/23/2015, 08:39, 2.0600, 2.0600, 2.0600, 2.0600, 5.0000
03/23/2015, 08:41, 1.9900, 1.9900, 1.9900, 1.9900, 16.0000
03/23/2015, 08:42, 1.9300, 1.9300, 1.9300, 1.9300, 34.0000
03/23/2015, 08:46, 2.1200, 2.1200, 2.1200, 2.1200, 3.0000
03/23/2015, 08:55, 2.1100, 2.1100, 2.1100, 2.1100, 2.0000
03/23/2015, 08:57, 2.0900, 2.1400, 2.0900, 2.1400, 17.0000
03/23/2015, 09:02, 2.1600, 2.1600, 2.1600, 2.1600, 10.0000
03/23/2015, 09:11, 1.9200, 1.9200, 1.9200, 1.9200, 2.0000
03/23/2015, 09:14, 1.9200, 1.9800, 1.9200, 1.9800, 20.0000
03/23/2015, 10:02, 2.3000, 2.3000, 2.3000, 2.3000, 1.0000
03/23/2015, 10:13, 2.1500, 2.1500, 2.1500, 2.1500, 5.0000
03/23/2015, 10:46, 2.1700, 2.1700, 2.1700, 2.1700, 3.0000
03/23/2015, 10:47, 2.1100, 2.1100, 2.1100, 2.1100, 3.0000
03/23/2015, 11:26, 1.8500, 1.8500, 1.8500, 1.8500, 50.0000
03/23/2015, 12:05, 1.7400, 1.7400, 1.7400, 1.7400, 2.0000
03/23/2015, 12:15, 1.7000, 1.7000, 1.7000, 1.7000, 5.0000
03/23/2015, 12:31, 1.6000, 1.6000, 1.6000, 1.6000, 10.0000
03/23/2015, 12:36, 1.5000, 1.5000, 1.5000, 1.5000, 100.0000
03/23/2015, 12:37, 1.5200, 1.5200, 1.5200, 1.5200, 10.0000
03/23/2015, 12:41, 1.4600, 1.4600, 1.4600, 1.4600, 5.0000
03/23/2015, 12:45, 1.4500, 1.4500, 1.4500, 1.4500, 10.0000
03/23/2015, 13:11, 1.4200, 1.4200, 1.4200, 1.4200, 26.0000
03/23/2015, 13:17, 1.3900, 1.3900, 1.3900, 1.3900, 5.0000
03/23/2015, 13:49, 1.3500, 1.3500, 1.3500, 1.3500, 30.0000
03/23/2015, 13:52, 1.3700, 1.3700, 1.3700, 1.3700, 8.0000
03/23/2015, 13:53, 1.3600, 1.3600, 1.3600, 1.3600, 100.0000
03/23/2015, 14:00, 1.3800, 1.3800, 1.3800, 1.3800, 5.0000
03/23/2015, 14:08, 1.4400, 1.4400, 1.4400, 1.4400, 2.0000
03/23/2015, 14:15, 1.4000, 1.4000, 1.4000, 1.4000, 5.0000
03/23/2015, 14:16, 1.3900, 1.4000, 1.3900, 1.4000, 9.0000
03/23/2015, 14:18, 1.4400, 1.4400, 1.4400, 1.4400, 10.0000
03/23/2015, 14:22, 1.3700, 1.3900, 1.3700, 1.3900, 9.0000
03/23/2015, 14:23, 1.3900, 1.3900, 1.3900, 1.3900, 21.0000
03/23/2015, 14:26, 1.4200, 1.4200, 1.4200, 1.4200, 10.0000
03/23/2015, 14:27, 1.4200, 1.4200, 1.4200, 1.4200, 5.0000
03/23/2015, 14:43, 1.5500, 1.5500, 1.5500, 1.5500, 10.0000
03/23/2015, 14:44, 1.5500, 1.5500, 1.5500, 1.5500, 100.0000
03/23/2015, 14:46, 1.5400, 1.5400, 1.5400, 1.5400, 21.0000
03/23/2015, 14:47, 1.5400, 1.5400, 1.5300, 1.5300, 11.0000
03/23/2015, 14:48, 1.5600, 1.5600, 1.5600, 1.5600, 10.0000
03/23/2015, 14:51, 1.5600, 1.5800, 1.5600, 1.5800, 10.0000
03/23/2015, 14:58, 1.5500, 1.5500, 1.5500, 1.5500, 10.0000
03/24/2015, 08:32, 1.3800, 1.3800, 1.3400, 1.3400, 35.0000
03/24/2015, 08:33, 1.3700, 1.3700, 1.3700, 1.3700, 3.0000
03/24/2015, 08:35, 1.4100, 1.4100, 1.4100, 1.4100, 17.0000
03/24/2015, 08:36, 1.4800, 1.4800, 1.4800, 1.4800, 10.0000
03/24/2015, 08:38, 1.4100, 1.4100, 1.4100, 1.4100, 10.0000
03/24/2015, 08:40, 1.4400, 1.4400, 1.4400, 1.4400, 4.0000
03/24/2015, 08:41, 1.5100, 1.5100, 1.5100, 1.5100, 10.0000
03/24/2015, 08:42, 1.5100, 1.5100, 1.5100, 1.5100, 10.0000
03/24/2015, 08:46, 1.2500, 1.3100, 1.2500, 1.3100, 65.0000
03/24/2015, 08:50, 1.2700, 1.2700, 1.2700, 1.2700, 10.0000
03/24/2015, 08:52, 1.2600, 1.2600, 1.2600, 1.2600, 22.0000
03/24/2015, 08:53, 1.2300, 1.2300, 1.2300, 1.2300, 12.0000
03/24/2015, 08:54, 1.2200, 1.2200, 1.2200, 1.2200, 10.0000
03/24/2015, 09:00, 1.2000, 1.2200, 1.2000, 1.2200, 3.0000
03/24/2015, 09:02, 1.2100, 1.2200, 1.2100, 1.2200, 14.0000
03/24/2015, 09:03, 1.2400, 1.2400, 1.2300, 1.2300, 19.0000
03/24/2015, 09:04, 1.1900, 1.2000, 1.1900, 1.2000, 20.0000
03/24/2015, 09:05, 1.1500, 1.1500, 1.1100, 1.1100, 58.0000
03/24/2015, 09:06, 1.1200, 1.1200, 1.1000, 1.1000, 131.0000
03/24/2015, 09:07, 1.0800, 1.0800, 1.0800, 1.0800, 25.0000
03/24/2015, 09:08, 1.0800, 1.1100, 1.0800, 1.1100, 9.0000
03/24/2015, 09:11, 1.1400, 1.1400, 1.1400, 1.1400, 6.0000
03/24/2015, 09:13, 1.1400, 1.1400, 1.1400, 1.1400, 5.0000
03/24/2015, 09:14, 1.1300, 1.1300, 1.1300, 1.1300, 10.0000
03/24/2015, 09:15, 1.1300, 1.1300, 1.1000, 1.1000, 27.0000
03/24/2015, 09:16, 1.0600, 1.0600, 1.0600, 1.0600, 1.0000
03/24/2015, 09:17, 1.0600, 1.0600, 1.0500, 1.0500, 160.0000
03/24/2015, 09:19, 1.0600, 1.0600, 1.0600, 1.0600, 21.0000
03/24/2015, 09:23, 1.0900, 1.0900, 1.0900, 1.0900, 1.0000
03/24/2015, 09:27, 1.0900, 1.0900, 1.0900, 1.0900, 50.0000
03/24/2015, 09:28, 1.1400, 1.1400, 1.1400, 1.1400, 5.0000
03/24/2015, 09:35, 1.1600, 1.1600, 1.1600, 1.1600, 1.0000
03/24/2015, 09:37, 1.1500, 1.1500, 1.1500, 1.1500, 5.0000
03/24/2015, 09:38, 1.1600, 1.1600, 1.1600, 1.1600, 100.0000
03/24/2015, 09:41, 1.1700, 1.1700, 1.1700, 1.1700, 175.0000
03/24/2015, 09:44, 1.1900, 1.1900, 1.1500, 1.1500, 22.0000
03/24/2015, 09:45, 1.1100, 1.1100, 1.1100, 1.1100, 33.0000
03/24/2015, 09:52, 1.0800, 1.0800, 1.0800, 1.0800, 200.0000
