Date, Time, Open, High, Low, Close, Volume
01/30/2015, 14:02, 1.7200, 1.7200, 1.7200, 1.7200, 8.0000
02/02/2015, 08:41, 2.4900, 2.5200, 2.4900, 2.5200, 14.0000
02/02/2015, 08:52, 2.9900, 2.9900, 2.9900, 2.9900, 1.0000
02/02/2015, 08:53, 3.2500, 3.2500, 3.2500, 3.2500, 5.0000
02/02/2015, 08:54, 3.1000, 3.1000, 3.1000, 3.1000, 14.0000
02/02/2015, 10:02, 2.6800, 2.6800, 2.6800, 2.6800, 2.0000
02/02/2015, 10:34, 2.1800, 2.1800, 2.1500, 2.1500, 6.0000
02/02/2015, 13:28, 2.9400, 2.9400, 2.9400, 2.9400, 1.0000
02/02/2015, 14:39, 2.5600, 2.5600, 2.5600, 2.5600, 6.0000
02/03/2015, 08:30, 2.2200, 2.2200, 2.2200, 2.2200, 7.0000
02/03/2015, 08:34, 2.2200, 2.2200, 2.2200, 2.2200, 13.0000
02/03/2015, 09:15, 2.6100, 2.6100, 2.6100, 2.6100, 2.0000
02/03/2015, 09:29, 2.6700, 2.6700, 2.6700, 2.6700, 3.0000
02/03/2015, 10:03, 2.8300, 2.8300, 2.8300, 2.8300, 1.0000
02/03/2015, 10:11, 2.8700, 2.8700, 2.8700, 2.8700, 3.0000
02/03/2015, 10:12, 2.7800, 2.7800, 2.7800, 2.7800, 32.0000
02/03/2015, 10:24, 2.7300, 2.7300, 2.7300, 2.7300, 10.0000
02/03/2015, 10:32, 2.7200, 2.7200, 2.7200, 2.7200, 5.0000
02/03/2015, 10:37, 2.7700, 2.7700, 2.7700, 2.7700, 10.0000
02/03/2015, 13:26, 2.2200, 2.2200, 2.2200, 2.2200, 1.0000
02/04/2015, 08:43, 1.6400, 1.6400, 1.6400, 1.6400, 4.0000
02/04/2015, 08:47, 1.8000, 1.8000, 1.8000, 1.8000, 4.0000
02/04/2015, 08:49, 1.7200, 1.7200, 1.7200, 1.7200, 5.0000
02/04/2015, 08:51, 1.8600, 1.8600, 1.8600, 1.8600, 18.0000
02/04/2015, 09:00, 1.6200, 1.6200, 1.6200, 1.6200, 14.0000
02/04/2015, 09:02, 1.5600, 1.5600, 1.5600, 1.5600, 1.0000
02/04/2015, 10:23, 1.5300, 1.5300, 1.5300, 1.5300, 10.0000
02/04/2015, 10:30, 1.5400, 1.5400, 1.5300, 1.5300, 14.0000
02/04/2015, 12:03, 1.5700, 1.5700, 1.5700, 1.5700, 4.0000
02/04/2015, 12:29, 1.4900, 1.4900, 1.4900, 1.4900, 4.0000
02/04/2015, 12:33, 1.4500, 1.4500, 1.4500, 1.4500, 4.0000
02/04/2015, 12:35, 1.4600, 1.4600, 1.4600, 1.4600, 9.0000
02/04/2015, 13:59, 1.3900, 1.3900, 1.3900, 1.3900, 2.0000
02/04/2015, 14:06, 1.3100, 1.3100, 1.3100, 1.3100, 5.0000
02/04/2015, 14:45, 1.6600, 1.6600, 1.6600, 1.6600, 1.0000
02/05/2015, 08:35, 1.6800, 1.6800, 1.6800, 1.6800, 6.0000
02/05/2015, 08:36, 1.6000, 1.6000, 1.6000, 1.6000, 20.0000
02/05/2015, 08:40, 1.6800, 1.6800, 1.6800, 1.6800, 1.0000
02/05/2015, 08:41, 1.5700, 1.5700, 1.5700, 1.5700, 4.0000
02/05/2015, 08:43, 1.6300, 1.6300, 1.6000, 1.6000, 43.0000
02/05/2015, 08:45, 1.5500, 1.5500, 1.5500, 1.5500, 17.0000
02/05/2015, 09:02, 1.7900, 1.8000, 1.7900, 1.7900, 500.0000
02/05/2015, 09:10, 1.8500, 1.8500, 1.8500, 1.8500, 256.0000
02/05/2015, 09:11, 1.8500, 1.8500, 1.8100, 1.8100, 244.0000
02/05/2015, 09:18, 1.7700, 1.7800, 1.7700, 1.7800, 500.0000
02/05/2015, 09:24, 1.7300, 1.7300, 1.7200, 1.7200, 21.0000
02/05/2015, 09:29, 1.6100, 1.6100, 1.6100, 1.6100, 2.0000
02/05/2015, 10:27, 1.5500, 1.5500, 1.5400, 1.5500, 7.0000
02/05/2015, 10:28, 1.5400, 1.5400, 1.5400, 1.5400, 3.0000
02/05/2015, 12:42, 1.7400, 1.7400, 1.7400, 1.7400, 200.0000
02/05/2015, 12:43, 1.7400, 1.7400, 1.7400, 1.7400, 320.0000
02/05/2015, 13:14, 1.6800, 1.6800, 1.6800, 1.6800, 1.0000
02/05/2015, 13:27, 1.6800, 1.6800, 1.6800, 1.6800, 6.0000
02/05/2015, 14:45, 1.7000, 1.7000, 1.7000, 1.7000, 4.0000
02/06/2015, 08:30, 1.6500, 1.6500, 1.6500, 1.6500, 6.0000
02/06/2015, 08:38, 1.7900, 1.7900, 1.7900, 1.7900, 1.0000
02/06/2015, 08:42, 1.9300, 1.9300, 1.9300, 1.9300, 10.0000
02/06/2015, 08:43, 2.0800, 2.0800, 2.0800, 2.0800, 5.0000
02/06/2015, 08:49, 1.9800, 1.9800, 1.9800, 1.9800, 24.0000
02/06/2015, 08:57, 1.8800, 1.8800, 1.8800, 1.8800, 2.0000
02/06/2015, 09:00, 1.8000, 1.8000, 1.8000, 1.8000, 10.0000
02/06/2015, 09:01, 1.8200, 1.8200, 1.8200, 1.8200, 10.0000
02/06/2015, 09:18, 1.9100, 1.9300, 1.9100, 1.9200, 400.0000
02/06/2015, 09:24, 2.0200, 2.0200, 2.0200, 2.0200, 4.0000
02/06/2015, 09:37, 2.0900, 2.0900, 2.0800, 2.0900, 401.0000
02/06/2015, 09:43, 2.0500, 2.0500, 2.0500, 2.0500, 15.0000
02/06/2015, 09:44, 2.0000, 2.0000, 2.0000, 2.0000, 4.0000
02/06/2015, 09:46, 2.0400, 2.0400, 2.0400, 2.0400, 41.0000
02/06/2015, 09:52, 1.8900, 1.8900, 1.8900, 1.8900, 14.0000
02/06/2015, 10:05, 1.8800, 1.8800, 1.8800, 1.8800, 4.0000
02/06/2015, 10:30, 1.7900, 1.7900, 1.7900, 1.7900, 6.0000
02/06/2015, 11:00, 1.7200, 1.7200, 1.7200, 1.7200, 21.0000
02/06/2015, 11:02, 1.6900, 1.6900, 1.6900, 1.6900, 15.0000
