Date, Time, Open, High, Low, Close, Volume
02/05/2015, 14:56, 1.3400, 1.3400, 1.3400, 1.3400, 1.0000
02/06/2015, 08:32, 1.1400, 1.1400, 1.1100, 1.1100, 60.0000
02/06/2015, 08:33, 1.1000, 1.1000, 1.1000, 1.1000, 30.0000
02/06/2015, 08:34, 1.0700, 1.0700, 1.0700, 1.0700, 40.0000
02/06/2015, 08:39, 1.1500, 1.1500, 1.1500, 1.1500, 1.0000
02/06/2015, 08:40, 1.1100, 1.1100, 1.1100, 1.1100, 7.0000
02/06/2015, 08:42, 1.0100, 1.0100, 0.9900, 0.9900, 72.0000
02/06/2015, 08:44, 0.9400, 0.9400, 0.9400, 0.9400, 10.0000
02/06/2015, 08:46, 0.9000, 0.9000, 0.9000, 0.9000, 34.0000
02/06/2015, 08:49, 1.0000, 1.0000, 0.9800, 0.9800, 135.0000
02/06/2015, 08:53, 1.0300, 1.0500, 1.0300, 1.0500, 112.0000
02/06/2015, 08:54, 1.0300, 1.0300, 1.0300, 1.0300, 100.0000
02/06/2015, 09:03, 1.0100, 1.0400, 1.0100, 1.0400, 39.0000
02/06/2015, 09:05, 0.9800, 0.9800, 0.9800, 0.9800, 1.0000
02/06/2015, 09:07, 1.0000, 1.0000, 1.0000, 1.0000, 7.0000
02/06/2015, 09:08, 1.0200, 1.0200, 1.0200, 1.0200, 15.0000
02/06/2015, 09:13, 1.0200, 1.0200, 1.0200, 1.0200, 20.0000
02/06/2015, 09:15, 1.0200, 1.0300, 1.0200, 1.0300, 52.0000
02/06/2015, 09:16, 1.0300, 1.0300, 1.0300, 1.0300, 3.0000
02/06/2015, 09:17, 1.0500, 1.0500, 1.0500, 1.0500, 15.0000
02/06/2015, 09:19, 1.0200, 1.0200, 1.0200, 1.0200, 22.0000
02/06/2015, 09:20, 1.0000, 1.0000, 1.0000, 1.0000, 6.0000
02/06/2015, 09:21, 0.9900, 0.9900, 0.9900, 0.9900, 3.0000
02/06/2015, 09:24, 0.9600, 0.9600, 0.9600, 0.9600, 2.0000
02/06/2015, 09:27, 0.9600, 0.9600, 0.9600, 0.9600, 3.0000
02/06/2015, 09:33, 0.9500, 0.9600, 0.9500, 0.9500, 28.0000
02/06/2015, 09:35, 0.9300, 0.9300, 0.9300, 0.9300, 17.0000
02/06/2015, 09:36, 0.9100, 0.9100, 0.9100, 0.9100, 1.0000
02/06/2015, 09:38, 0.9100, 0.9100, 0.9100, 0.9100, 4.0000
02/06/2015, 09:43, 0.9300, 0.9300, 0.9300, 0.9300, 1.0000
02/06/2015, 09:45, 0.9600, 0.9600, 0.9600, 0.9600, 50.0000
02/06/2015, 09:52, 1.0100, 1.0100, 1.0100, 1.0100, 10.0000
02/06/2015, 10:02, 1.0400, 1.0400, 1.0400, 1.0400, 1.0000
02/06/2015, 10:03, 1.0500, 1.0500, 1.0500, 1.0500, 2.0000
02/06/2015, 10:05, 1.0400, 1.0400, 1.0400, 1.0400, 30.0000
02/06/2015, 10:13, 1.0000, 1.0000, 1.0000, 1.0000, 5.0000
02/06/2015, 10:22, 1.0500, 1.0500, 1.0500, 1.0500, 8.0000
02/06/2015, 10:32, 1.0500, 1.0500, 1.0500, 1.0500, 4.0000
02/06/2015, 10:37, 1.0400, 1.0400, 1.0400, 1.0400, 100.0000
02/06/2015, 10:54, 1.1000, 1.1000, 1.1000, 1.1000, 75.0000
02/06/2015, 10:56, 1.0900, 1.0900, 1.0900, 1.0900, 2.0000
02/06/2015, 10:57, 1.1000, 1.1000, 1.1000, 1.1000, 11.0000
02/06/2015, 11:02, 1.1000, 1.1000, 1.1000, 1.1000, 1.0000
02/06/2015, 11:03, 1.1100, 1.1100, 1.1100, 1.1100, 5.0000
02/06/2015, 11:04, 1.1300, 1.1400, 1.1300, 1.1400, 50.0000
02/06/2015, 11:07, 1.1200, 1.1200, 1.1200, 1.1200, 1.0000
02/06/2015, 11:09, 1.0800, 1.0800, 1.0800, 1.0800, 1.0000
02/06/2015, 11:19, 1.1400, 1.1400, 1.1400, 1.1400, 1.0000
02/06/2015, 11:22, 1.1500, 1.1500, 1.1500, 1.1500, 2.0000
02/06/2015, 11:24, 1.1700, 1.1700, 1.1700, 1.1700, 1.0000
02/06/2015, 11:38, 1.0900, 1.0900, 1.0900, 1.0900, 30.0000
02/06/2015, 11:44, 1.0500, 1.0500, 1.0500, 1.0500, 1.0000
02/06/2015, 11:49, 1.0900, 1.0900, 1.0900, 1.0900, 40.0000
02/06/2015, 11:55, 1.0900, 1.0900, 1.0900, 1.0900, 2.0000
02/06/2015, 11:58, 1.1000, 1.1000, 1.1000, 1.1000, 50.0000
02/06/2015, 12:03, 1.1000, 1.1000, 1.1000, 1.1000, 3.0000
02/06/2015, 12:07, 1.0300, 1.0300, 1.0300, 1.0300, 40.0000
02/06/2015, 12:10, 1.0600, 1.0600, 1.0600, 1.0600, 5.0000
02/06/2015, 12:12, 1.0000, 1.0000, 1.0000, 1.0000, 6.0000
02/06/2015, 12:21, 0.9600, 0.9600, 0.9600, 0.9600, 1.0000
02/06/2015, 12:25, 0.9500, 0.9500, 0.9500, 0.9500, 5.0000
02/06/2015, 12:26, 0.9200, 0.9200, 0.9200, 0.9200, 30.0000
02/06/2015, 12:27, 0.9300, 0.9300, 0.9300, 0.9300, 50.0000
02/06/2015, 12:28, 0.9500, 0.9500, 0.9500, 0.9500, 10.0000
02/06/2015, 12:31, 0.9400, 0.9400, 0.9400, 0.9400, 1.0000
02/06/2015, 12:33, 0.9300, 0.9300, 0.9300, 0.9300, 4.0000
02/06/2015, 12:35, 0.9400, 0.9400, 0.9400, 0.9400, 3.0000
02/06/2015, 12:40, 0.9600, 0.9600, 0.9600, 0.9600, 75.0000
02/06/2015, 12:41, 0.9200, 0.9200, 0.9200, 0.9200, 10.0000
02/06/2015, 12:44, 0.9500, 0.9500, 0.9500, 0.9500, 1.0000
02/06/2015, 12:45, 0.9800, 0.9800, 0.9800, 0.9800, 50.0000
02/06/2015, 13:11, 0.9900, 0.9900, 0.9900, 0.9900, 5.0000
02/06/2015, 13:29, 0.9900, 0.9900, 0.9900, 0.9900, 10.0000
02/06/2015, 13:34, 1.0000, 1.0000, 1.0000, 1.0000, 3.0000
02/06/2015, 13:40, 0.9800, 0.9800, 0.9800, 0.9800, 10.0000
02/06/2015, 13:44, 0.9400, 0.9400, 0.9400, 0.9400, 2.0000
02/06/2015, 13:47, 0.9200, 0.9200, 0.9200, 0.9200, 1.0000
02/06/2015, 13:56, 0.9000, 0.9000, 0.9000, 0.9000, 7.0000
02/06/2015, 13:57, 0.9000, 0.9000, 0.9000, 0.9000, 6.0000
02/06/2015, 13:59, 0.9000, 0.9000, 0.9000, 0.9000, 63.0000
02/06/2015, 14:00, 0.9000, 0.9000, 0.9000, 0.9000, 5.0000
02/06/2015, 14:01, 0.8500, 0.8500, 0.8500, 0.8500, 5.0000
02/06/2015, 14:02, 0.8600, 0.8600, 0.8600, 0.8600, 10.0000
02/06/2015, 14:12, 0.8900, 0.8900, 0.8900, 0.8900, 80.0000
02/06/2015, 14:13, 0.8900, 0.8900, 0.8900, 0.8900, 20.0000
02/06/2015, 14:18, 0.8500, 0.8500, 0.8500, 0.8500, 1.0000
02/06/2015, 14:21, 0.7800, 0.7800, 0.7800, 0.7800, 10.0000
02/06/2015, 14:22, 0.8000, 0.8000, 0.8000, 0.8000, 100.0000
02/06/2015, 14:24, 0.8100, 0.8100, 0.8100, 0.8100, 5.0000
02/06/2015, 14:28, 0.7900, 0.7900, 0.7900, 0.7900, 5.0000
02/06/2015, 14:33, 0.8000, 0.8000, 0.8000, 0.8000, 3.0000
02/06/2015, 14:36, 0.7900, 0.7900, 0.7900, 0.7900, 1.0000
02/06/2015, 14:37, 0.8000, 0.8000, 0.8000, 0.8000, 2.0000
02/06/2015, 14:38, 0.7900, 0.7900, 0.7900, 0.7900, 3.0000
02/06/2015, 14:40, 0.8100, 0.8100, 0.8000, 0.8000, 11.0000
02/06/2015, 14:43, 0.8000, 0.8000, 0.8000, 0.8000, 5.0000
02/06/2015, 14:46, 0.7800, 0.7800, 0.7800, 0.7800, 9.0000
02/06/2015, 14:47, 0.7800, 0.7800, 0.7800, 0.7800, 40.0000
02/06/2015, 14:48, 0.7600, 0.7600, 0.7600, 0.7600, 5.0000
02/06/2015, 14:52, 0.7800, 0.7800, 0.7800, 0.7800, 1.0000
02/06/2015, 14:54, 0.7700, 0.7700, 0.7700, 0.7700, 4.0000
02/06/2015, 14:59, 0.8000, 0.8000, 0.7800, 0.7800, 105.0000
02/09/2015, 08:30, 0.6400, 0.6400, 0.6400, 0.6400, 1.0000
02/09/2015, 08:31, 0.6300, 0.6500, 0.6200, 0.6500, 216.0000
02/09/2015, 08:32, 0.6400, 0.6400, 0.6400, 0.6400, 200.0000
02/09/2015, 08:33, 0.6600, 0.6600, 0.6600, 0.6600, 6.0000
02/09/2015, 08:35, 0.6000, 0.6000, 0.6000, 0.6000, 50.0000
02/09/2015, 08:36, 0.5800, 0.5800, 0.5800, 0.5800, 201.0000
02/09/2015, 08:38, 0.5300, 0.5300, 0.5100, 0.5100, 12.0000
02/09/2015, 08:39, 0.5700, 0.5700, 0.5700, 0.5700, 3.0000
02/09/2015, 08:40, 0.5700, 0.5700, 0.5700, 0.5700, 10.0000
02/09/2015, 08:41, 0.6000, 0.6100, 0.6000, 0.6100, 37.0000
02/09/2015, 08:42, 0.6200, 0.6300, 0.6200, 0.6300, 3.0000
02/09/2015, 08:43, 0.6200, 0.6200, 0.6100, 0.6100, 7.0000
02/09/2015, 08:46, 0.5900, 0.6000, 0.5900, 0.6000, 42.0000
02/09/2015, 08:48, 0.6400, 0.6400, 0.6400, 0.6400, 10.0000
02/09/2015, 08:49, 0.6500, 0.6500, 0.6500, 0.6500, 1.0000
02/09/2015, 08:50, 0.7000, 0.7000, 0.7000, 0.7000, 4.0000
02/09/2015, 08:51, 0.7000, 0.7000, 0.7000, 0.7000, 21.0000
02/09/2015, 08:55, 0.7100, 0.7100, 0.7100, 0.7100, 2.0000
02/09/2015, 08:56, 0.7100, 0.7100, 0.7100, 0.7100, 2.0000
02/09/2015, 08:57, 0.7100, 0.7100, 0.7100, 0.7100, 4.0000
02/09/2015, 08:59, 0.7400, 0.7500, 0.7400, 0.7500, 11.0000
02/09/2015, 09:01, 0.7400, 0.7400, 0.7300, 0.7300, 15.0000
02/09/2015, 09:04, 0.7300, 0.7300, 0.7300, 0.7300, 10.0000
02/09/2015, 09:11, 0.7100, 0.7100, 0.7100, 0.7100, 3.0000
02/09/2015, 09:19, 0.7900, 0.8000, 0.7900, 0.8000, 20.0000
02/09/2015, 09:37, 0.7000, 0.7000, 0.7000, 0.7000, 4.0000
02/09/2015, 09:44, 0.6700, 0.6700, 0.6700, 0.6700, 1.0000
02/09/2015, 09:49, 0.6400, 0.6400, 0.6400, 0.6400, 5.0000
02/09/2015, 09:54, 0.6500, 0.6500, 0.6500, 0.6500, 1.0000
02/09/2015, 09:59, 0.6400, 0.6400, 0.6400, 0.6400, 3.0000
02/09/2015, 10:01, 0.6400, 0.6400, 0.6400, 0.6400, 4.0000
02/09/2015, 10:03, 0.6700, 0.6700, 0.6700, 0.6700, 2.0000
02/09/2015, 10:04, 0.6500, 0.6500, 0.6500, 0.6500, 2.0000
02/09/2015, 10:11, 0.7000, 0.7000, 0.7000, 0.7000, 53.0000
02/09/2015, 10:22, 0.7100, 0.7100, 0.7100, 0.7100, 5.0000
02/09/2015, 10:33, 0.7100, 0.7100, 0.7100, 0.7100, 1.0000
02/09/2015, 10:39, 0.7400, 0.7400, 0.7400, 0.7400, 2.0000
02/09/2015, 10:40, 0.7500, 0.7500, 0.7500, 0.7500, 4.0000
02/09/2015, 10:41, 0.7600, 0.7600, 0.7600, 0.7600, 1.0000
02/09/2015, 10:43, 0.8000, 0.8000, 0.8000, 0.8000, 6.0000
02/09/2015, 10:48, 0.7500, 0.7500, 0.7500, 0.7500, 1.0000
02/09/2015, 10:53, 0.7400, 0.7400, 0.7400, 0.7400, 2.0000
02/09/2015, 11:02, 0.7000, 0.7000, 0.7000, 0.7000, 1.0000
02/09/2015, 11:27, 0.7500, 0.7500, 0.7500, 0.7500, 5.0000
02/09/2015, 11:28, 0.7700, 0.7700, 0.7700, 0.7700, 3.0000
02/09/2015, 11:29, 0.7700, 0.7700, 0.7700, 0.7700, 50.0000
02/09/2015, 11:30, 0.8000, 0.8000, 0.8000, 0.8000, 1.0000
02/09/2015, 11:33, 0.7700, 0.7700, 0.7700, 0.7700, 10.0000
02/09/2015, 11:42, 0.7700, 0.7700, 0.7700, 0.7700, 3.0000
02/09/2015, 11:50, 0.7400, 0.7400, 0.7400, 0.7400, 20.0000
02/09/2015, 11:52, 0.7400, 0.7400, 0.7400, 0.7400, 10.0000
02/09/2015, 12:11, 0.7100, 0.7100, 0.7100, 0.7100, 9.0000
02/09/2015, 12:12, 0.7100, 0.7100, 0.7100, 0.7100, 26.0000
02/09/2015, 12:13, 0.7100, 0.7100, 0.7100, 0.7100, 105.0000
02/09/2015, 12:15, 0.7100, 0.7100, 0.7100, 0.7100, 50.0000
02/09/2015, 12:31, 0.6900, 0.6900, 0.6900, 0.6900, 4.0000
02/09/2015, 12:41, 0.7000, 0.7000, 0.7000, 0.7000, 180.0000
02/09/2015, 12:45, 0.7100, 0.7100, 0.7100, 0.7100, 45.0000
02/09/2015, 12:47, 0.7300, 0.7300, 0.7200, 0.7200, 3.0000
02/09/2015, 12:49, 0.7300, 0.7300, 0.7300, 0.7300, 45.0000
02/09/2015, 12:52, 0.7200, 0.7200, 0.7200, 0.7200, 3.0000
02/09/2015, 12:58, 0.7600, 0.7700, 0.7600, 0.7700, 55.0000
02/09/2015, 13:03, 0.7700, 0.8000, 0.7700, 0.8000, 3.0000
02/09/2015, 13:10, 0.7500, 0.7500, 0.7500, 0.7500, 1.0000
02/09/2015, 13:20, 0.7400, 0.7400, 0.7400, 0.7400, 10.0000
02/09/2015, 13:22, 0.7600, 0.7600, 0.7600, 0.7600, 2.0000
02/09/2015, 13:24, 0.7200, 0.7200, 0.7200, 0.7200, 1.0000
02/09/2015, 13:27, 0.7400, 0.7400, 0.7400, 0.7400, 5.0000
02/09/2015, 13:31, 0.7300, 0.7300, 0.7200, 0.7200, 549.0000
02/09/2015, 13:32, 0.7100, 0.7100, 0.7000, 0.7000, 344.0000
02/09/2015, 13:33, 0.6900, 0.6900, 0.6900, 0.6900, 467.0000
02/09/2015, 13:38, 0.7000, 0.7000, 0.7000, 0.7000, 10.0000
02/09/2015, 13:42, 0.6700, 0.6700, 0.6700, 0.6700, 10.0000
02/09/2015, 13:50, 0.6600, 0.6600, 0.6600, 0.6600, 26.0000
02/09/2015, 13:52, 0.6500, 0.6500, 0.6500, 0.6500, 3.0000
02/09/2015, 13:53, 0.6500, 0.6500, 0.6500, 0.6500, 30.0000
02/09/2015, 13:54, 0.6400, 0.6400, 0.6400, 0.6400, 16.0000
02/09/2015, 14:04, 0.6000, 0.6000, 0.6000, 0.6000, 6.0000
02/09/2015, 14:07, 0.6100, 0.6100, 0.6100, 0.6100, 33.0000
02/09/2015, 14:08, 0.6100, 0.6100, 0.6100, 0.6100, 217.0000
02/09/2015, 14:28, 0.6500, 0.6500, 0.6500, 0.6500, 10.0000
02/09/2015, 14:50, 0.6800, 0.6800, 0.6800, 0.6800, 11.0000
02/09/2015, 14:55, 0.6700, 0.6700, 0.6700, 0.6700, 80.0000
02/10/2015, 08:30, 0.7200, 0.7200, 0.7000, 0.7100, 67.0000
02/10/2015, 08:31, 0.6500, 0.6500, 0.6500, 0.6500, 3.0000
02/10/2015, 08:32, 0.6500, 0.6500, 0.6500, 0.6500, 10.0000
02/10/2015, 08:36, 0.6400, 0.6400, 0.6400, 0.6400, 10.0000
02/10/2015, 08:38, 0.6500, 0.6500, 0.6500, 0.6500, 4.0000
02/10/2015, 08:47, 0.7500, 0.7500, 0.7500, 0.7500, 18.0000
02/10/2015, 08:50, 0.8400, 0.8500, 0.8400, 0.8500, 16.0000
02/10/2015, 08:52, 0.8300, 0.8400, 0.8300, 0.8400, 3.0000
02/10/2015, 08:53, 0.8800, 0.8800, 0.8800, 0.8800, 100.0000
02/10/2015, 08:58, 0.7800, 0.7800, 0.7800, 0.7800, 10.0000
02/10/2015, 08:59, 0.7900, 0.7900, 0.7900, 0.7900, 10.0000
02/10/2015, 09:01, 0.7500, 0.7600, 0.7500, 0.7600, 65.0000
02/10/2015, 09:06, 0.7300, 0.7300, 0.7300, 0.7300, 50.0000
02/10/2015, 09:07, 0.7200, 0.7200, 0.7200, 0.7200, 3.0000
02/10/2015, 09:08, 0.7100, 0.7100, 0.7100, 0.7100, 1.0000
02/10/2015, 09:10, 0.7500, 0.7500, 0.7500, 0.7500, 1.0000
02/10/2015, 09:14, 0.7300, 0.7300, 0.7300, 0.7300, 120.0000
02/10/2015, 09:23, 0.7000, 0.7000, 0.7000, 0.7000, 8.0000
02/10/2015, 09:29, 0.6600, 0.6600, 0.6600, 0.6600, 7.0000
02/10/2015, 09:30, 0.6600, 0.6600, 0.6600, 0.6600, 3.0000
02/10/2015, 09:33, 0.6700, 0.6700, 0.6700, 0.6700, 5.0000
02/10/2015, 09:42, 0.6900, 0.6900, 0.6900, 0.6900, 6.0000
02/10/2015, 09:46, 0.6600, 0.6600, 0.6600, 0.6600, 2.0000
02/10/2015, 09:47, 0.6300, 0.6300, 0.6300, 0.6300, 10.0000
02/10/2015, 09:55, 0.6600, 0.6600, 0.6600, 0.6600, 2.0000
02/10/2015, 10:00, 0.6400, 0.6400, 0.6400, 0.6400, 2.0000
02/10/2015, 10:04, 0.6700, 0.6700, 0.6700, 0.6700, 1.0000
02/10/2015, 10:09, 0.6600, 0.6600, 0.6600, 0.6600, 2.0000
02/10/2015, 10:29, 0.7000, 0.7000, 0.7000, 0.7000, 1.0000
02/10/2015, 10:30, 0.6900, 0.6900, 0.6900, 0.6900, 15.0000
02/10/2015, 10:34, 0.7000, 0.7000, 0.7000, 0.7000, 1.0000
02/10/2015, 10:42, 0.7000, 0.7000, 0.7000, 0.7000, 3.0000
02/10/2015, 10:51, 0.7200, 0.7200, 0.7200, 0.7200, 20.0000
02/10/2015, 10:54, 0.7200, 0.7200, 0.7200, 0.7200, 2.0000
02/10/2015, 10:56, 0.7500, 0.7500, 0.7500, 0.7500, 860.0000
02/10/2015, 10:57, 0.7500, 0.7500, 0.7500, 0.7500, 140.0000
02/10/2015, 11:04, 0.7300, 0.7300, 0.7300, 0.7300, 10.0000
02/10/2015, 11:05, 0.7400, 0.7400, 0.7400, 0.7400, 20.0000
02/10/2015, 11:07, 0.7300, 0.7300, 0.7300, 0.7300, 20.0000
02/10/2015, 11:09, 0.7300, 0.7300, 0.7300, 0.7300, 1.0000
02/10/2015, 11:10, 0.7500, 0.7500, 0.7500, 0.7500, 1.0000
02/10/2015, 11:14, 0.8000, 0.8000, 0.8000, 0.8000, 20.0000
02/10/2015, 11:17, 0.8000, 0.8000, 0.8000, 0.8000, 2.0000
02/10/2015, 11:19, 0.8200, 0.8200, 0.8200, 0.8200, 3.0000
02/10/2015, 11:20, 0.8100, 0.8100, 0.8100, 0.8100, 1.0000
02/10/2015, 11:23, 0.8000, 0.8000, 0.8000, 0.8000, 8.0000
02/10/2015, 11:28, 0.7800, 0.7800, 0.7800, 0.7800, 10.0000
02/10/2015, 11:29, 0.7800, 0.7800, 0.7800, 0.7800, 5.0000
02/10/2015, 11:52, 0.7500, 0.7500, 0.7500, 0.7500, 30.0000
02/10/2015, 11:54, 0.7300, 0.7300, 0.7300, 0.7300, 10.0000
02/10/2015, 11:57, 0.7700, 0.7700, 0.7700, 0.7700, 5.0000
02/10/2015, 12:02, 0.7900, 0.7900, 0.7900, 0.7900, 1.0000
02/10/2015, 12:04, 0.7600, 0.7600, 0.7600, 0.7600, 30.0000
02/10/2015, 12:11, 0.8000, 0.8200, 0.8000, 0.8200, 782.0000
02/10/2015, 12:12, 0.8300, 0.8500, 0.8300, 0.8500, 854.0000
02/10/2015, 12:13, 0.8500, 0.8500, 0.8500, 0.8500, 383.0000
02/10/2015, 12:16, 0.8000, 0.8000, 0.8000, 0.8000, 2.0000
02/10/2015, 12:21, 0.7800, 0.7800, 0.7600, 0.7600, 7.0000
02/10/2015, 12:22, 0.7600, 0.7600, 0.7600, 0.7600, 1.0000
02/10/2015, 12:30, 0.7800, 0.7800, 0.7800, 0.7800, 2.0000
02/10/2015, 12:34, 0.7600, 0.7600, 0.7600, 0.7600, 10.0000
02/10/2015, 12:42, 0.7600, 0.7700, 0.7600, 0.7700, 6.0000
02/10/2015, 12:46, 0.7600, 0.7700, 0.7600, 0.7700, 12.0000
02/10/2015, 12:57, 0.7300, 0.7300, 0.7300, 0.7300, 2.0000
02/10/2015, 13:03, 0.7500, 0.7500, 0.7500, 0.7500, 8.0000
02/10/2015, 13:19, 0.7300, 0.7300, 0.7300, 0.7300, 20.0000
02/10/2015, 13:27, 0.7500, 0.7600, 0.7500, 0.7600, 13.0000
02/10/2015, 13:28, 0.7600, 0.7600, 0.7600, 0.7600, 3.0000
02/10/2015, 13:29, 0.7600, 0.7600, 0.7600, 0.7600, 6.0000
02/10/2015, 13:34, 0.7500, 0.7600, 0.7500, 0.7600, 41.0000
02/10/2015, 13:38, 0.7700, 0.7700, 0.7700, 0.7700, 50.0000
02/10/2015, 13:39, 0.7700, 0.7700, 0.7700, 0.7700, 12.0000
02/10/2015, 14:00, 0.7700, 0.7700, 0.7700, 0.7700, 50.0000
02/10/2015, 14:03, 0.7800, 0.7800, 0.7800, 0.7800, 10.0000
02/10/2015, 14:12, 0.7800, 0.7800, 0.7800, 0.7800, 2.0000
02/10/2015, 14:16, 0.7600, 0.7600, 0.7600, 0.7600, 10.0000
02/10/2015, 14:17, 0.7500, 0.7500, 0.7500, 0.7500, 50.0000
