Date, Time, Open, High, Low, Close, Volume
02/06/2015, 09:25, 0.1100, 0.1100, 0.1100, 0.1100, 4.0000
02/06/2015, 12:59, 0.1100, 0.1100, 0.1100, 0.1100, 3.0000
02/09/2015, 10:52, 0.0700, 0.0700, 0.0700, 0.0700, 1.0000
02/11/2015, 08:36, 0.0500, 0.0500, 0.0500, 0.0500, 3.0000
02/11/2015, 09:51, 0.1100, 0.1100, 0.1100, 0.1100, 7.0000
02/11/2015, 10:18, 0.1000, 0.1000, 0.1000, 0.1000, 10.0000
02/11/2015, 10:24, 0.1100, 0.1100, 0.1000, 0.1000, 10.0000
02/11/2015, 10:29, 0.0900, 0.0900, 0.0900, 0.0900, 10.0000
02/11/2015, 10:47, 0.1000, 0.1000, 0.1000, 0.1000, 4.0000
02/11/2015, 14:49, 0.0900, 0.0900, 0.0900, 0.0900, 23.0000
02/11/2015, 14:50, 0.0900, 0.0900, 0.0900, 0.0900, 11.0000
02/12/2015, 08:31, 0.0800, 0.0800, 0.0800, 0.0800, 1.0000
02/12/2015, 09:11, 0.0800, 0.0800, 0.0800, 0.0800, 1.0000
02/12/2015, 12:40, 0.0500, 0.0500, 0.0500, 0.0500, 4.0000
02/12/2015, 13:06, 0.0500, 0.0600, 0.0500, 0.0500, 10.0000
02/13/2015, 08:47, 0.0500, 0.0500, 0.0500, 0.0500, 60.0000
02/13/2015, 09:00, 0.0400, 0.0400, 0.0400, 0.0400, 70.0000
02/13/2015, 09:56, 0.0400, 0.0400, 0.0400, 0.0400, 101.0000
02/17/2015, 08:51, 0.0300, 0.0300, 0.0300, 0.0300, 10.0000
02/17/2015, 08:56, 0.0300, 0.0300, 0.0300, 0.0300, 60.0000
02/17/2015, 08:58, 0.0400, 0.0400, 0.0300, 0.0300, 60.0000
02/17/2015, 09:06, 0.0400, 0.0400, 0.0400, 0.0400, 60.0000
02/17/2015, 09:12, 0.0300, 0.0300, 0.0300, 0.0300, 47.0000
02/17/2015, 09:19, 0.0300, 0.0300, 0.0300, 0.0300, 38.0000
02/17/2015, 09:20, 0.0400, 0.0400, 0.0400, 0.0400, 2.0000
02/17/2015, 09:22, 0.0400, 0.0400, 0.0400, 0.0400, 6.0000
02/17/2015, 09:23, 0.0400, 0.0400, 0.0400, 0.0400, 60.0000
02/17/2015, 09:41, 0.0300, 0.0300, 0.0300, 0.0300, 25.0000
02/17/2015, 09:43, 0.0300, 0.0400, 0.0300, 0.0400, 12.0000
02/17/2015, 13:20, 0.0200, 0.0200, 0.0200, 0.0200, 1.0000
02/17/2015, 14:58, 0.0100, 0.0100, 0.0100, 0.0100, 1.0000
02/18/2015, 08:38, 0.0100, 0.0100, 0.0100, 0.0100, 3.0000
02/18/2015, 09:08, 0.0100, 0.0100, 0.0100, 0.0100, 1.0000
02/19/2015, 08:48, 0.0100, 0.0100, 0.0100, 0.0100, 4.0000
02/19/2015, 09:10, 0.0100, 0.0100, 0.0100, 0.0100, 10.0000
02/19/2015, 10:07, 0.0200, 0.0200, 0.0200, 0.0200, 2.0000
02/19/2015, 10:36, 0.0200, 0.0200, 0.0200, 0.0200, 310.0000
02/19/2015, 10:55, 0.0300, 0.0300, 0.0300, 0.0300, 20.0000
02/19/2015, 11:00, 0.0400, 0.0400, 0.0400, 0.0400, 8.0000
02/19/2015, 11:07, 0.0500, 0.0500, 0.0500, 0.0500, 117.0000
02/19/2015, 11:09, 0.0500, 0.0500, 0.0500, 0.0500, 4.0000
02/19/2015, 11:11, 0.0500, 0.0500, 0.0500, 0.0500, 10.0000
02/19/2015, 11:12, 0.0500, 0.0500, 0.0500, 0.0500, 67.0000
02/19/2015, 11:13, 0.0500, 0.0500, 0.0500, 0.0500, 33.0000
02/19/2015, 11:24, 0.0500, 0.0600, 0.0500, 0.0600, 87.0000
02/19/2015, 11:27, 0.0600, 0.0600, 0.0600, 0.0600, 12.0000
02/19/2015, 11:30, 0.0600, 0.0600, 0.0600, 0.0600, 3.0000
02/19/2015, 11:32, 0.0600, 0.0600, 0.0600, 0.0600, 61.0000
02/19/2015, 11:44, 0.0500, 0.0500, 0.0500, 0.0500, 1.0000
02/19/2015, 11:57, 0.0800, 0.0800, 0.0800, 0.0800, 10.0000
02/19/2015, 11:59, 0.0700, 0.1100, 0.0700, 0.1000, 108.0000
02/19/2015, 12:00, 0.1000, 0.1100, 0.1000, 0.1100, 8.0000
02/19/2015, 12:01, 0.1000, 0.1000, 0.1000, 0.1000, 1.0000
02/19/2015, 12:04, 0.1100, 0.1100, 0.1100, 0.1100, 7.0000
02/19/2015, 12:05, 0.0900, 0.0900, 0.0900, 0.0900, 174.0000
02/19/2015, 12:08, 0.1000, 0.1000, 0.1000, 0.1000, 4.0000
02/19/2015, 12:09, 0.1000, 0.1000, 0.1000, 0.1000, 70.0000
02/19/2015, 12:11, 0.1200, 0.1200, 0.1200, 0.1200, 35.0000
02/19/2015, 12:14, 0.1200, 0.1200, 0.1200, 0.1200, 5.0000
02/19/2015, 12:15, 0.1100, 0.1100, 0.1100, 0.1100, 30.0000
02/19/2015, 12:19, 0.1200, 0.1200, 0.1200, 0.1200, 1.0000
02/19/2015, 12:25, 0.1200, 0.1200, 0.1200, 0.1200, 10.0000
02/19/2015, 12:27, 0.1200, 0.1200, 0.1200, 0.1200, 10.0000
02/19/2015, 12:30, 0.1100, 0.1200, 0.1100, 0.1200, 70.0000
02/19/2015, 12:33, 0.1200, 0.1200, 0.1200, 0.1200, 100.0000
