Date, Time, Open, High, Low, Close, Volume
02/06/2015, 08:30, 1.3000, 1.3000, 1.3000, 1.3000, 2.0000
02/06/2015, 08:31, 1.3400, 1.3400, 1.3400, 1.3400, 10.0000
02/06/2015, 08:33, 1.3400, 1.3400, 1.3400, 1.3400, 6.0000
02/06/2015, 08:36, 1.3100, 1.3100, 1.3100, 1.3100, 1.0000
02/06/2015, 08:39, 1.2400, 1.2400, 1.2400, 1.2400, 18.0000
02/06/2015, 08:40, 1.3200, 1.3200, 1.3100, 1.3100, 7.0000
02/06/2015, 08:43, 1.4900, 1.5000, 1.4900, 1.5000, 11.0000
02/06/2015, 08:45, 1.5100, 1.5100, 1.5100, 1.5100, 20.0000
02/06/2015, 08:47, 1.4700, 1.4700, 1.4700, 1.4700, 10.0000
02/06/2015, 08:49, 1.4500, 1.4500, 1.4500, 1.4500, 5.0000
02/06/2015, 08:51, 1.4600, 1.4700, 1.4600, 1.4700, 2.0000
02/06/2015, 08:52, 1.4800, 1.4800, 1.4800, 1.4800, 1.0000
02/06/2015, 08:54, 1.3800, 1.3800, 1.3800, 1.3800, 2.0000
02/06/2015, 08:58, 1.3400, 1.3400, 1.3400, 1.3400, 1.0000
02/06/2015, 08:59, 1.3600, 1.3600, 1.3600, 1.3600, 1.0000
02/06/2015, 09:04, 1.4200, 1.4200, 1.4200, 1.4200, 3.0000
02/06/2015, 09:05, 1.5000, 1.5000, 1.5000, 1.5000, 15.0000
02/06/2015, 09:14, 1.4500, 1.4500, 1.4500, 1.4500, 4.0000
02/06/2015, 09:20, 1.4500, 1.4500, 1.4500, 1.4500, 5.0000
02/06/2015, 09:25, 1.4900, 1.4900, 1.4900, 1.4900, 1.0000
02/06/2015, 09:29, 1.4600, 1.4700, 1.4600, 1.4700, 22.0000
02/06/2015, 09:30, 1.4600, 1.4800, 1.4600, 1.4600, 9.0000
02/06/2015, 09:35, 1.5000, 1.5000, 1.5000, 1.5000, 50.0000
02/06/2015, 09:38, 1.5400, 1.5400, 1.5400, 1.5400, 2.0000
02/06/2015, 09:39, 1.5100, 1.5100, 1.5100, 1.5100, 14.0000
02/06/2015, 09:50, 1.4500, 1.4500, 1.4500, 1.4500, 3.0000
02/06/2015, 09:52, 1.4000, 1.4000, 1.4000, 1.4000, 20.0000
02/06/2015, 09:57, 1.3900, 1.3900, 1.3900, 1.3900, 130.0000
02/06/2015, 09:59, 1.3900, 1.3900, 1.3900, 1.3900, 7.0000
02/06/2015, 10:01, 1.3900, 1.3900, 1.3900, 1.3900, 10.0000
02/06/2015, 10:13, 1.4200, 1.4200, 1.4200, 1.4200, 20.0000
02/06/2015, 10:40, 1.3400, 1.3400, 1.3400, 1.3400, 1.0000
02/06/2015, 10:43, 1.3300, 1.3300, 1.3300, 1.3300, 4.0000
02/06/2015, 10:45, 1.3200, 1.3200, 1.3200, 1.3200, 6.0000
02/06/2015, 11:32, 1.2100, 1.2200, 1.2100, 1.2200, 5.0000
02/06/2015, 11:39, 1.2700, 1.2700, 1.2700, 1.2700, 54.0000
02/06/2015, 11:41, 1.2900, 1.2900, 1.2900, 1.2900, 29.0000
02/06/2015, 11:45, 1.3500, 1.3500, 1.3500, 1.3500, 136.0000
02/06/2015, 11:46, 1.3400, 1.3400, 1.3400, 1.3400, 60.0000
02/06/2015, 12:05, 1.2900, 1.2900, 1.2900, 1.2900, 2.0000
02/06/2015, 12:12, 1.3900, 1.3900, 1.3900, 1.3900, 6.0000
02/06/2015, 12:24, 1.4500, 1.4500, 1.4500, 1.4500, 10.0000
02/06/2015, 12:25, 1.5000, 1.5000, 1.5000, 1.5000, 5.0000
02/06/2015, 12:32, 1.5400, 1.5400, 1.5400, 1.5400, 23.0000
02/06/2015, 12:35, 1.4900, 1.4900, 1.4900, 1.4900, 7.0000
02/06/2015, 12:36, 1.5100, 1.5100, 1.5100, 1.5100, 1.0000
02/06/2015, 12:37, 1.5400, 1.5400, 1.5400, 1.5400, 2.0000
02/06/2015, 12:38, 1.5400, 1.5400, 1.5400, 1.5400, 3.0000
02/06/2015, 12:52, 1.4800, 1.4800, 1.4800, 1.4800, 1.0000
02/06/2015, 13:06, 1.4200, 1.4200, 1.4200, 1.4200, 10.0000
02/06/2015, 13:23, 1.4500, 1.4500, 1.4500, 1.4500, 10.0000
02/06/2015, 13:36, 1.4400, 1.4400, 1.4400, 1.4400, 5.0000
02/06/2015, 13:37, 1.4400, 1.4400, 1.4400, 1.4400, 1.0000
02/06/2015, 13:46, 1.5400, 1.5400, 1.5400, 1.5400, 10.0000
02/06/2015, 13:59, 1.5700, 1.5700, 1.5700, 1.5700, 14.0000
02/06/2015, 14:01, 1.6400, 1.6600, 1.6400, 1.6600, 17.0000
02/06/2015, 14:03, 1.6700, 1.6700, 1.6500, 1.6500, 6.0000
02/06/2015, 14:04, 1.6600, 1.6600, 1.6600, 1.6600, 3.0000
02/06/2015, 14:10, 1.6700, 1.6700, 1.6700, 1.6700, 5.0000
02/06/2015, 14:12, 1.6200, 1.6200, 1.6200, 1.6200, 5.0000
02/06/2015, 14:19, 1.7000, 1.7000, 1.7000, 1.7000, 10.0000
02/06/2015, 14:21, 1.7600, 1.7600, 1.7600, 1.7600, 2.0000
02/06/2015, 14:23, 1.7400, 1.7400, 1.7400, 1.7400, 1.0000
02/06/2015, 14:26, 1.7500, 1.7500, 1.7500, 1.7500, 1.0000
02/06/2015, 14:29, 1.8000, 1.8100, 1.8000, 1.8100, 30.0000
02/06/2015, 14:30, 1.8300, 1.8300, 1.8300, 1.8300, 30.0000
02/06/2015, 14:31, 1.8200, 1.8200, 1.8200, 1.8200, 8.0000
02/06/2015, 14:32, 1.7900, 1.7900, 1.7900, 1.7900, 1.0000
02/06/2015, 14:37, 1.7600, 1.7600, 1.7600, 1.7600, 5.0000
02/06/2015, 14:38, 1.7500, 1.7500, 1.7500, 1.7500, 10.0000
02/06/2015, 14:44, 1.7900, 1.7900, 1.7900, 1.7900, 1.0000
02/06/2015, 14:47, 1.7900, 1.7900, 1.7900, 1.7900, 5.0000
02/06/2015, 14:49, 1.8200, 1.8200, 1.8200, 1.8200, 5.0000
02/06/2015, 14:50, 1.8100, 1.8100, 1.8000, 1.8000, 5.0000
02/06/2015, 14:51, 1.7800, 1.7900, 1.7700, 1.7700, 27.0000
02/06/2015, 14:54, 1.7900, 1.7900, 1.7700, 1.7700, 20.0000
02/06/2015, 14:55, 1.7600, 1.7600, 1.7600, 1.7600, 1.0000
02/06/2015, 14:56, 1.7700, 1.7700, 1.7700, 1.7700, 1.0000
02/06/2015, 14:59, 1.7400, 1.7400, 1.7400, 1.7400, 2.0000
02/09/2015, 08:30, 1.9500, 1.9500, 1.8700, 1.8700, 18.0000
02/09/2015, 08:33, 1.9000, 1.9000, 1.9000, 1.9000, 2.0000
02/09/2015, 08:34, 1.9200, 1.9200, 1.9200, 1.9200, 5.0000
02/09/2015, 08:35, 1.9000, 1.9000, 1.9000, 1.9000, 3.0000
02/09/2015, 08:36, 2.0100, 2.0700, 2.0100, 2.0700, 16.0000
02/09/2015, 08:37, 2.1300, 2.1300, 2.1300, 2.1300, 15.0000
02/09/2015, 08:38, 2.2600, 2.2900, 2.2000, 2.2000, 32.0000
02/09/2015, 08:39, 2.1500, 2.1900, 2.1500, 2.1900, 13.0000
02/09/2015, 08:41, 2.0700, 2.0700, 2.0700, 2.0700, 29.0000
02/09/2015, 08:42, 2.0200, 2.0200, 2.0100, 2.0100, 26.0000
02/09/2015, 08:43, 2.0300, 2.0300, 2.0300, 2.0300, 29.0000
02/09/2015, 08:44, 2.1000, 2.1200, 2.1000, 2.1200, 4.0000
02/09/2015, 08:45, 2.0800, 2.1100, 2.0800, 2.1000, 8.0000
02/09/2015, 08:46, 2.0600, 2.0600, 2.0600, 2.0600, 10.0000
02/09/2015, 08:51, 1.8100, 1.8100, 1.8000, 1.8000, 32.0000
02/09/2015, 08:57, 1.7300, 1.7300, 1.7300, 1.7300, 1.0000
02/09/2015, 08:58, 1.7400, 1.7400, 1.7400, 1.7400, 21.0000
02/09/2015, 08:59, 1.7800, 1.7900, 1.7700, 1.7700, 26.0000
02/09/2015, 09:12, 1.8500, 1.8500, 1.8500, 1.8500, 1.0000
02/09/2015, 09:17, 1.7200, 1.7200, 1.7000, 1.7000, 22.0000
02/09/2015, 09:19, 1.6700, 1.6700, 1.6700, 1.6700, 20.0000
02/09/2015, 09:25, 1.7600, 1.7600, 1.7600, 1.7600, 16.0000
02/09/2015, 09:40, 1.8400, 1.8400, 1.8400, 1.8400, 22.0000
02/09/2015, 09:47, 1.9200, 1.9200, 1.9200, 1.9200, 1.0000
02/09/2015, 09:51, 1.9300, 1.9300, 1.9300, 1.9300, 2.0000
02/09/2015, 09:53, 1.9100, 1.9100, 1.9100, 1.9100, 5.0000
02/09/2015, 09:59, 1.9000, 1.9000, 1.9000, 1.9000, 2.0000
02/09/2015, 10:11, 1.7500, 1.7500, 1.7500, 1.7500, 12.0000
02/09/2015, 10:14, 1.8000, 1.8000, 1.8000, 1.8000, 4.0000
02/09/2015, 10:16, 1.7800, 1.7800, 1.7800, 1.7800, 2.0000
02/09/2015, 10:40, 1.6400, 1.6400, 1.6400, 1.6400, 30.0000
02/09/2015, 10:44, 1.5400, 1.5400, 1.5400, 1.5400, 2.0000
02/09/2015, 11:19, 1.6700, 1.6700, 1.6700, 1.6700, 3.0000
02/09/2015, 11:29, 1.5300, 1.5300, 1.5200, 1.5200, 5.0000
02/09/2015, 11:30, 1.4800, 1.4800, 1.4500, 1.4500, 12.0000
02/09/2015, 11:31, 1.4800, 1.4800, 1.4800, 1.4800, 5.0000
02/09/2015, 11:33, 1.4800, 1.4800, 1.4800, 1.4800, 20.0000
02/09/2015, 11:47, 1.4800, 1.4800, 1.4800, 1.4800, 5.0000
02/09/2015, 11:48, 1.4600, 1.4600, 1.4600, 1.4600, 5.0000
02/09/2015, 12:29, 1.5000, 1.5000, 1.5000, 1.5000, 10.0000
02/09/2015, 12:35, 1.6000, 1.6000, 1.6000, 1.6000, 1.0000
02/09/2015, 12:51, 1.4900, 1.4900, 1.4800, 1.4800, 10.0000
02/09/2015, 13:03, 1.4000, 1.4000, 1.4000, 1.4000, 50.0000
02/09/2015, 13:33, 1.4500, 1.4500, 1.4500, 1.4500, 10.0000
02/09/2015, 13:55, 1.5100, 1.5100, 1.5100, 1.5100, 10.0000
02/09/2015, 14:05, 1.6200, 1.6400, 1.6200, 1.6400, 10.0000
02/09/2015, 14:21, 1.6300, 1.6300, 1.6300, 1.6300, 96.0000
02/09/2015, 14:27, 1.5600, 1.5600, 1.5600, 1.5600, 2.0000
02/09/2015, 14:40, 1.5500, 1.5500, 1.5500, 1.5500, 1.0000
02/10/2015, 08:30, 1.2900, 1.2900, 1.2900, 1.2900, 2.0000
02/10/2015, 08:38, 1.3900, 1.3900, 1.3800, 1.3800, 11.0000
02/10/2015, 08:45, 1.3000, 1.3000, 1.3000, 1.3000, 10.0000
02/10/2015, 08:48, 1.1700, 1.1700, 1.1700, 1.1700, 5.0000
02/10/2015, 08:50, 1.1100, 1.1100, 1.1100, 1.1100, 2.0000
02/10/2015, 08:53, 1.1100, 1.1100, 1.1100, 1.1100, 100.0000
02/10/2015, 08:54, 1.1100, 1.2000, 1.1100, 1.2000, 34.0000
02/10/2015, 08:57, 1.2300, 1.2300, 1.2200, 1.2200, 26.0000
02/10/2015, 08:58, 1.2300, 1.2300, 1.2300, 1.2300, 27.0000
02/10/2015, 08:59, 1.2000, 1.2000, 1.1900, 1.1900, 50.0000
02/10/2015, 09:01, 1.2500, 1.2500, 1.2500, 1.2500, 9.0000
02/10/2015, 09:03, 1.3200, 1.3200, 1.3100, 1.3100, 21.0000
02/10/2015, 09:04, 1.3000, 1.3000, 1.3000, 1.3000, 49.0000
02/10/2015, 09:09, 1.2500, 1.2500, 1.2500, 1.2500, 3.0000
02/10/2015, 09:10, 1.2300, 1.2300, 1.2300, 1.2300, 11.0000
02/10/2015, 09:13, 1.2200, 1.2200, 1.2200, 1.2200, 25.0000
02/10/2015, 09:15, 1.2400, 1.2400, 1.2400, 1.2400, 11.0000
02/10/2015, 09:19, 1.3000, 1.3000, 1.3000, 1.3000, 10.0000
02/10/2015, 09:22, 1.3400, 1.3400, 1.3200, 1.3200, 9.0000
02/10/2015, 09:26, 1.3500, 1.3500, 1.3400, 1.3400, 11.0000
02/10/2015, 09:31, 1.3400, 1.3400, 1.3400, 1.3400, 15.0000
02/10/2015, 09:46, 1.3500, 1.3500, 1.3500, 1.3500, 1.0000
02/10/2015, 09:51, 1.3700, 1.3700, 1.3700, 1.3700, 8.0000
02/10/2015, 10:00, 1.3600, 1.3600, 1.3600, 1.3600, 3.0000
02/10/2015, 10:27, 1.2700, 1.2700, 1.2700, 1.2700, 35.0000
02/10/2015, 10:35, 1.2300, 1.2300, 1.2300, 1.2300, 4.0000
02/10/2015, 10:44, 1.2000, 1.2000, 1.1800, 1.1800, 35.0000
02/10/2015, 10:45, 1.2000, 1.2000, 1.2000, 1.2000, 1.0000
02/10/2015, 10:53, 1.1900, 1.1900, 1.1900, 1.1900, 9.0000
02/10/2015, 10:54, 1.1900, 1.1900, 1.1900, 1.1900, 1.0000
02/10/2015, 10:55, 1.1600, 1.1700, 1.1600, 1.1700, 5.0000
02/10/2015, 10:56, 1.1500, 1.1500, 1.1500, 1.1500, 10.0000
02/10/2015, 10:59, 1.1300, 1.1300, 1.1300, 1.1300, 6.0000
02/10/2015, 11:00, 1.1600, 1.1600, 1.1500, 1.1500, 100.0000
02/10/2015, 11:03, 1.2000, 1.2000, 1.2000, 1.2000, 5.0000
02/10/2015, 11:21, 1.0600, 1.0600, 1.0600, 1.0600, 2.0000
02/10/2015, 11:22, 1.0700, 1.0700, 1.0700, 1.0700, 3.0000
02/10/2015, 11:30, 1.0900, 1.0900, 1.0900, 1.0900, 5.0000
02/10/2015, 11:50, 1.1300, 1.1400, 1.1300, 1.1400, 50.0000
02/10/2015, 11:51, 1.1100, 1.1100, 1.1100, 1.1100, 5.0000
02/10/2015, 11:57, 1.0800, 1.0800, 1.0800, 1.0800, 66.0000
02/10/2015, 11:58, 1.0800, 1.0800, 1.0800, 1.0800, 99.0000
02/10/2015, 12:01, 1.0700, 1.0700, 1.0600, 1.0600, 9.0000
02/10/2015, 12:11, 1.0100, 1.0100, 1.0100, 1.0100, 16.0000
02/10/2015, 12:13, 1.0100, 1.0100, 1.0100, 1.0100, 1.0000
02/10/2015, 12:17, 1.0600, 1.0600, 1.0600, 1.0600, 11.0000
02/10/2015, 12:25, 1.1100, 1.1100, 1.1100, 1.1100, 3.0000
02/10/2015, 12:27, 1.0600, 1.0600, 1.0600, 1.0600, 4.0000
02/10/2015, 12:48, 1.1300, 1.1300, 1.1300, 1.1300, 11.0000
02/10/2015, 12:49, 1.1300, 1.1300, 1.1300, 1.1300, 5.0000
02/10/2015, 12:53, 1.1000, 1.1000, 1.1000, 1.1000, 20.0000
02/10/2015, 13:01, 1.1300, 1.1300, 1.1300, 1.1300, 5.0000
02/10/2015, 13:03, 1.1400, 1.1400, 1.1400, 1.1400, 3.0000
02/10/2015, 13:08, 1.1100, 1.1100, 1.1100, 1.1100, 1.0000
02/10/2015, 13:23, 1.1700, 1.1700, 1.1700, 1.1700, 6.0000
02/10/2015, 13:35, 1.0800, 1.0800, 1.0800, 1.0800, 20.0000
02/10/2015, 13:39, 1.0800, 1.0800, 1.0800, 1.0800, 100.0000
02/10/2015, 13:47, 1.1200, 1.1200, 1.1200, 1.1200, 24.0000
02/10/2015, 13:49, 1.1200, 1.1200, 1.1200, 1.1200, 1.0000
02/10/2015, 13:58, 1.0600, 1.0600, 1.0600, 1.0600, 20.0000
02/10/2015, 14:03, 1.0700, 1.0700, 1.0700, 1.0700, 2.0000
02/10/2015, 14:12, 1.0700, 1.0700, 1.0700, 1.0700, 15.0000
02/10/2015, 14:13, 1.0700, 1.0700, 1.0700, 1.0700, 5.0000
02/10/2015, 14:18, 1.0800, 1.0800, 1.0800, 1.0800, 2.0000
02/10/2015, 14:20, 1.0700, 1.0700, 1.0700, 1.0700, 13.0000
02/10/2015, 14:21, 1.0600, 1.0700, 1.0600, 1.0700, 159.0000
02/10/2015, 14:29, 1.0400, 1.0400, 1.0400, 1.0400, 20.0000
02/10/2015, 14:37, 1.0400, 1.0400, 1.0400, 1.0400, 5.0000
02/10/2015, 14:40, 1.0300, 1.0300, 1.0300, 1.0300, 2.0000
02/10/2015, 14:43, 1.0300, 1.0400, 1.0300, 1.0400, 3.0000
02/10/2015, 14:46, 1.0700, 1.0700, 1.0600, 1.0600, 11.0000
02/10/2015, 14:50, 1.0500, 1.0500, 1.0500, 1.0500, 30.0000
02/10/2015, 14:53, 1.0500, 1.0500, 1.0500, 1.0500, 12.0000
02/10/2015, 14:55, 1.0500, 1.0500, 1.0500, 1.0500, 3.0000
02/10/2015, 14:57, 1.0600, 1.0700, 1.0600, 1.0700, 4.0000
02/10/2015, 14:59, 1.0600, 1.0600, 1.0600, 1.0600, 1.0000
02/11/2015, 08:30, 1.0500, 1.0500, 1.0500, 1.0500, 1.0000
02/11/2015, 08:31, 1.0200, 1.0500, 1.0200, 1.0400, 17.0000
02/11/2015, 08:32, 1.1000, 1.1000, 1.0900, 1.0900, 18.0000
02/11/2015, 08:38, 1.0100, 1.0100, 0.9600, 0.9600, 19.0000
02/11/2015, 08:39, 0.9100, 0.9100, 0.9000, 0.9100, 47.0000
02/11/2015, 08:41, 0.8900, 0.8900, 0.8300, 0.8300, 10.0000
02/11/2015, 08:42, 0.8100, 0.8100, 0.8100, 0.8100, 1.0000
02/11/2015, 08:43, 0.8000, 0.8000, 0.7800, 0.7800, 20.0000
02/11/2015, 08:45, 0.8000, 0.8000, 0.8000, 0.8000, 9.0000
02/11/2015, 08:48, 0.7400, 0.7400, 0.7400, 0.7400, 3.0000
02/11/2015, 08:49, 0.7800, 0.7900, 0.7800, 0.7900, 7.0000
02/11/2015, 09:04, 0.7200, 0.7200, 0.7200, 0.7200, 200.0000
02/11/2015, 09:06, 0.6800, 0.6800, 0.6800, 0.6800, 1.0000
