Date, Time, Open, High, Low, Close, Volume
04/17/2015, 12:56, 2.9500, 2.9500, 2.9500, 2.9500, 1.0000
04/22/2015, 08:40, 3.6700, 3.6700, 3.6700, 3.6700, 28.0000
04/22/2015, 09:01, 3.5800, 3.5800, 3.5800, 3.5800, 5.0000
04/23/2015, 14:19, 4.6000, 4.6000, 4.6000, 4.6000, 20.0000
04/24/2015, 09:22, 4.1500, 4.1700, 4.1500, 4.1700, 2.0000
04/27/2015, 09:24, 4.7500, 4.7500, 4.7500, 4.7500, 1.0000
04/27/2015, 14:56, 2.5600, 2.5600, 2.5600, 2.5600, 5.0000
04/28/2015, 08:50, 2.6600, 2.6600, 2.6600, 2.6600, 1.0000
04/28/2015, 09:00, 2.4900, 2.4900, 2.4900, 2.4900, 1.0000
04/28/2015, 09:03, 2.1800, 2.1800, 2.1800, 2.1800, 5.0000
04/28/2015, 09:04, 2.2100, 2.2100, 2.2100, 2.2100, 24.0000
04/28/2015, 09:07, 2.2300, 2.2300, 2.2300, 2.2300, 1.0000
04/28/2015, 09:10, 1.9200, 1.9200, 1.9200, 1.9200, 1.0000
04/28/2015, 09:14, 1.8500, 1.8500, 1.7400, 1.7400, 56.0000
04/28/2015, 09:18, 1.9200, 1.9200, 1.9200, 1.9200, 10.0000
04/28/2015, 09:57, 2.6700, 2.6700, 2.6700, 2.6700, 10.0000
04/28/2015, 14:38, 3.0000, 3.0000, 3.0000, 3.0000, 3.0000
04/28/2015, 15:01, 3.3300, 3.3300, 3.3300, 3.3300, 1.0000
04/28/2015, 15:09, 3.3900, 3.3900, 3.3900, 3.3900, 1.0000
04/29/2015, 08:42, 2.6500, 2.6500, 2.6500, 2.6500, 28.0000
04/29/2015, 09:51, 2.5900, 2.5900, 2.5900, 2.5900, 10.0000
04/29/2015, 10:04, 2.7800, 2.7800, 2.7800, 2.7800, 10.0000
04/29/2015, 10:37, 2.4500, 2.4500, 2.4500, 2.4500, 3.0000
04/29/2015, 10:41, 2.4800, 2.4800, 2.4800, 2.4800, 10.0000
04/29/2015, 10:47, 2.4200, 2.4200, 2.4200, 2.4200, 10.0000
04/29/2015, 11:07, 2.4000, 2.4000, 2.4000, 2.4000, 5.0000
04/29/2015, 11:15, 2.2000, 2.2000, 2.2000, 2.2000, 10.0000
04/29/2015, 11:18, 2.2100, 2.2100, 2.2100, 2.2100, 10.0000
04/29/2015, 11:24, 2.2400, 2.2400, 2.2400, 2.2400, 1.0000
04/29/2015, 11:45, 2.0400, 2.0400, 2.0400, 2.0400, 10.0000
04/29/2015, 11:52, 2.0800, 2.0800, 2.0800, 2.0800, 10.0000
04/29/2015, 12:08, 1.9600, 1.9600, 1.9600, 1.9600, 15.0000
04/29/2015, 12:18, 2.0800, 2.0800, 2.0800, 2.0800, 15.0000
04/29/2015, 13:05, 2.3300, 2.3300, 2.3300, 2.3300, 18.0000
04/29/2015, 13:58, 2.4200, 2.4200, 2.4200, 2.4200, 10.0000
04/29/2015, 14:03, 2.3000, 2.3000, 2.3000, 2.3000, 10.0000
04/29/2015, 14:56, 2.0300, 2.0300, 2.0300, 2.0300, 10.0000
04/30/2015, 06:15, 2.7800, 2.7800, 2.2000, 2.2000, 40.0000
04/30/2015, 08:30, 1.4100, 1.4100, 1.4100, 1.4100, 1.0000
04/30/2015, 08:31, 1.4500, 1.4900, 1.4500, 1.4900, 12.0000
04/30/2015, 08:32, 1.5000, 1.5000, 1.5000, 1.5000, 16.0000
04/30/2015, 08:39, 1.4700, 1.4700, 1.4700, 1.4700, 1.0000
04/30/2015, 08:40, 1.4700, 1.4700, 1.4700, 1.4700, 54.0000
04/30/2015, 08:43, 1.3200, 1.3200, 1.3200, 1.3200, 13.0000
04/30/2015, 08:50, 1.0000, 1.0000, 1.0000, 1.0000, 60.0000
04/30/2015, 08:56, 1.0500, 1.0500, 1.0500, 1.0500, 3.0000
04/30/2015, 08:58, 1.0100, 1.0100, 1.0100, 1.0100, 52.0000
04/30/2015, 08:59, 0.9400, 0.9500, 0.9400, 0.9500, 363.0000
04/30/2015, 09:00, 0.8700, 0.8700, 0.8500, 0.8600, 300.0000
04/30/2015, 09:01, 0.7800, 0.7900, 0.7600, 0.7600, 410.0000
04/30/2015, 09:02, 0.7500, 0.7500, 0.6900, 0.7400, 915.0000
04/30/2015, 09:03, 0.7800, 0.8000, 0.7800, 0.8000, 1150.0000
04/30/2015, 09:04, 0.8100, 0.8100, 0.7000, 0.7100, 206.0000
04/30/2015, 09:05, 0.7400, 0.8000, 0.7400, 0.7800, 452.0000
04/30/2015, 09:06, 0.8000, 0.8500, 0.8000, 0.8500, 300.0000
04/30/2015, 09:07, 0.8600, 0.8600, 0.8600, 0.8600, 11.0000
04/30/2015, 09:09, 0.8100, 0.8100, 0.7300, 0.7300, 31.0000
04/30/2015, 09:10, 0.7400, 0.7500, 0.7000, 0.7500, 30.0000
04/30/2015, 09:15, 0.8100, 0.8100, 0.7700, 0.7700, 33.0000
04/30/2015, 09:16, 0.7200, 0.7300, 0.7200, 0.7300, 12.0000
04/30/2015, 09:17, 0.7700, 0.7700, 0.7700, 0.7700, 2.0000
04/30/2015, 09:19, 0.7100, 0.7300, 0.7100, 0.7200, 113.0000
04/30/2015, 09:25, 0.6600, 0.7000, 0.6600, 0.7000, 2.0000
04/30/2015, 09:26, 0.7000, 0.7300, 0.7000, 0.7300, 14.0000
04/30/2015, 09:28, 0.7100, 0.7100, 0.7100, 0.7100, 6.0000
04/30/2015, 09:29, 0.6900, 0.7200, 0.6900, 0.7200, 35.0000
04/30/2015, 09:30, 0.7300, 0.7300, 0.7300, 0.7300, 7.0000
04/30/2015, 09:33, 0.7500, 0.7500, 0.7500, 0.7500, 5.0000
04/30/2015, 09:34, 0.7600, 0.7600, 0.7600, 0.7600, 50.0000
04/30/2015, 09:35, 0.8200, 0.8200, 0.8200, 0.8200, 1.0000
04/30/2015, 09:36, 0.8500, 0.8500, 0.8500, 0.8500, 2.0000
04/30/2015, 09:39, 0.8000, 0.8000, 0.8000, 0.8000, 6.0000
04/30/2015, 09:44, 0.8000, 0.8000, 0.8000, 0.8000, 10.0000
04/30/2015, 09:45, 0.7800, 0.7800, 0.7800, 0.7800, 50.0000
04/30/2015, 09:47, 0.8700, 0.8700, 0.8700, 0.8700, 10.0000
04/30/2015, 09:49, 0.8600, 0.8600, 0.8600, 0.8600, 10.0000
04/30/2015, 09:55, 0.7100, 0.7100, 0.7100, 0.7100, 10.0000
04/30/2015, 09:56, 0.7000, 0.7000, 0.7000, 0.7000, 25.0000
04/30/2015, 09:58, 0.7500, 0.7900, 0.7500, 0.7900, 168.0000
04/30/2015, 09:59, 0.7900, 0.7900, 0.7700, 0.7700, 27.0000
04/30/2015, 10:00, 0.8100, 0.8100, 0.8100, 0.8100, 5.0000
04/30/2015, 10:01, 0.8400, 0.8400, 0.8400, 0.8400, 5.0000
04/30/2015, 10:02, 0.8400, 0.8400, 0.8400, 0.8400, 10.0000
04/30/2015, 10:04, 0.8400, 0.9100, 0.8400, 0.9100, 65.0000
04/30/2015, 10:06, 1.0000, 1.0000, 1.0000, 1.0000, 5.0000
04/30/2015, 10:07, 0.9600, 0.9600, 0.9600, 0.9600, 30.0000
04/30/2015, 10:10, 0.9000, 0.9500, 0.9000, 0.9500, 4.0000
04/30/2015, 10:22, 1.0000, 1.0000, 1.0000, 1.0000, 28.0000
04/30/2015, 10:25, 0.9300, 0.9300, 0.9300, 0.9300, 8.0000
04/30/2015, 10:28, 0.8600, 0.8600, 0.8600, 0.8600, 56.0000
04/30/2015, 10:32, 0.9900, 0.9900, 0.9900, 0.9900, 10.0000
04/30/2015, 10:33, 1.0500, 1.0500, 1.0200, 1.0200, 32.0000
04/30/2015, 10:36, 0.8800, 0.8800, 0.8800, 0.8800, 10.0000
04/30/2015, 10:37, 0.8900, 0.8900, 0.8900, 0.8900, 25.0000
04/30/2015, 10:42, 0.8800, 0.8800, 0.8800, 0.8800, 17.0000
04/30/2015, 10:55, 0.8100, 0.8100, 0.8100, 0.8100, 6.0000
04/30/2015, 10:57, 0.7400, 0.7400, 0.7400, 0.7400, 10.0000
04/30/2015, 11:02, 0.7400, 0.7400, 0.7400, 0.7400, 15.0000
04/30/2015, 11:08, 0.7800, 0.7800, 0.7400, 0.7400, 14.0000
04/30/2015, 11:09, 0.7000, 0.7000, 0.7000, 0.7000, 15.0000
04/30/2015, 11:10, 0.6900, 0.6900, 0.6600, 0.6600, 29.0000
04/30/2015, 11:11, 0.7100, 0.7100, 0.7100, 0.7100, 5.0000
04/30/2015, 11:12, 0.7500, 0.7600, 0.7500, 0.7600, 35.0000
04/30/2015, 11:15, 0.6900, 0.6900, 0.6900, 0.6900, 25.0000
04/30/2015, 11:17, 0.7500, 0.7500, 0.7500, 0.7500, 10.0000
04/30/2015, 11:18, 0.7600, 0.7900, 0.7600, 0.7900, 47.0000
04/30/2015, 11:19, 0.7900, 0.7900, 0.7900, 0.7900, 3.0000
04/30/2015, 11:20, 0.8000, 0.8000, 0.8000, 0.8000, 30.0000
