Date, Time, Open, High, Low, Close, Volume
03/19/2015, 15:00, 1.9400, 1.9400, 1.9400, 1.9400, 3.0000
03/20/2015, 08:45, 2.3400, 2.3400, 2.3400, 2.3400, 8.0000
03/20/2015, 08:51, 2.5000, 2.5000, 2.5000, 2.5000, 30.0000
03/20/2015, 10:06, 2.3900, 2.3900, 2.3900, 2.3900, 4.0000
03/20/2015, 10:40, 2.6000, 2.6000, 2.6000, 2.6000, 1.0000
03/20/2015, 14:50, 2.7000, 2.7000, 2.7000, 2.7000, 1.0000
03/23/2015, 09:52, 2.5900, 2.5900, 2.5900, 2.5900, 5.0000
03/23/2015, 12:08, 2.7000, 2.7000, 2.7000, 2.7000, 1.0000
03/23/2015, 12:10, 2.7200, 2.7200, 2.7200, 2.7200, 1.0000
03/23/2015, 13:10, 2.7800, 2.7900, 2.7800, 2.7900, 7.0000
03/25/2015, 09:01, 1.9000, 1.9000, 1.9000, 1.9000, 5.0000
03/25/2015, 09:45, 1.6200, 1.6200, 1.6200, 1.6200, 12.0000
03/25/2015, 10:20, 1.4900, 1.4900, 1.4900, 1.4900, 1.0000
03/25/2015, 11:05, 1.2000, 1.2000, 1.2000, 1.2000, 1.0000
03/25/2015, 11:15, 1.2300, 1.2300, 1.2300, 1.2300, 1.0000
03/25/2015, 11:26, 1.0900, 1.0900, 1.0900, 1.0900, 144.0000
03/25/2015, 11:34, 1.0800, 1.0800, 1.0800, 1.0800, 36.0000
03/25/2015, 11:42, 1.0200, 1.0200, 1.0200, 1.0200, 144.0000
03/25/2015, 11:43, 0.9800, 0.9800, 0.9800, 0.9800, 20.0000
03/25/2015, 11:54, 1.0300, 1.0300, 1.0300, 1.0300, 5.0000
03/25/2015, 11:58, 1.0700, 1.0700, 1.0700, 1.0700, 13.0000
03/25/2015, 12:07, 1.0700, 1.0700, 1.0700, 1.0700, 5.0000
03/25/2015, 12:09, 1.0900, 1.0900, 1.0700, 1.0900, 776.0000
