Date, Time, Open, High, Low, Close, Volume
03/19/2015, 11:52, 1.4200, 1.4200, 1.4200, 1.4200, 3.0000
03/20/2015, 08:38, 2.0800, 2.0800, 2.0800, 2.0800, 10.0000
03/20/2015, 08:47, 2.0000, 2.0000, 2.0000, 2.0000, 4.0000
03/20/2015, 08:53, 2.0300, 2.0300, 2.0300, 2.0300, 20.0000
03/20/2015, 09:43, 2.0600, 2.0600, 2.0600, 2.0600, 20.0000
03/20/2015, 09:47, 1.9000, 1.9000, 1.9000, 1.9000, 1.0000
03/20/2015, 10:17, 1.9500, 1.9500, 1.9500, 1.9500, 1.0000
03/20/2015, 11:01, 2.2000, 2.2000, 2.2000, 2.2000, 1.0000
03/20/2015, 11:19, 2.2500, 2.2500, 2.2500, 2.2500, 1.0000
03/20/2015, 11:29, 2.1800, 2.1800, 2.1800, 2.1800, 1.0000
03/20/2015, 14:22, 2.0500, 2.0500, 2.0500, 2.0500, 19.0000
03/20/2015, 14:29, 2.1000, 2.1000, 2.1000, 2.1000, 4.0000
03/20/2015, 14:41, 2.1700, 2.1700, 2.1700, 2.1700, 7.0000
03/23/2015, 11:35, 2.3000, 2.3000, 2.3000, 2.3000, 20.0000
03/23/2015, 12:01, 2.2500, 2.2500, 2.2500, 2.2500, 1.0000
03/23/2015, 14:00, 2.2300, 2.2300, 2.2300, 2.2300, 4.0000
03/23/2015, 14:08, 2.2400, 2.2400, 2.2400, 2.2400, 10.0000
03/24/2015, 10:25, 2.3100, 2.3100, 2.3100, 2.3100, 5.0000
03/24/2015, 11:28, 2.2000, 2.2000, 2.2000, 2.2000, 5.0000
03/24/2015, 11:29, 2.1900, 2.1900, 2.1900, 2.1900, 1.0000
03/24/2015, 11:42, 2.1000, 2.1000, 2.1000, 2.1000, 10.0000
03/24/2015, 11:44, 2.1100, 2.1100, 2.1100, 2.1100, 5.0000
03/24/2015, 11:56, 2.0500, 2.0500, 2.0500, 2.0500, 4.0000
03/24/2015, 12:18, 1.9900, 1.9900, 1.9900, 1.9900, 20.0000
03/24/2015, 14:08, 1.9600, 1.9600, 1.9600, 1.9600, 25.0000
03/25/2015, 08:30, 1.9300, 1.9300, 1.9300, 1.9300, 5.0000
03/25/2015, 08:40, 1.6200, 1.6200, 1.6200, 1.6200, 10.0000
03/25/2015, 08:46, 1.5000, 1.5000, 1.5000, 1.5000, 1.0000
03/25/2015, 08:49, 1.5300, 1.5300, 1.5300, 1.5300, 10.0000
03/25/2015, 08:56, 1.4800, 1.4800, 1.4800, 1.4800, 41.0000
03/25/2015, 09:41, 1.3800, 1.3800, 1.3800, 1.3800, 25.0000
03/25/2015, 09:49, 1.3100, 1.3100, 1.3100, 1.3100, 20.0000
03/25/2015, 09:54, 1.3900, 1.3900, 1.3900, 1.3900, 3.0000
03/25/2015, 10:06, 1.3700, 1.3700, 1.3700, 1.3700, 3.0000
03/25/2015, 10:18, 1.1700, 1.1700, 1.1700, 1.1700, 25.0000
03/25/2015, 10:23, 1.1600, 1.1600, 1.1600, 1.1600, 200.0000
03/25/2015, 10:32, 1.0600, 1.0600, 1.0600, 1.0600, 25.0000
03/25/2015, 10:34, 1.0700, 1.0700, 1.0700, 1.0700, 9.0000
03/25/2015, 10:36, 1.0200, 1.0200, 1.0200, 1.0200, 10.0000
03/25/2015, 10:39, 1.0000, 1.0000, 1.0000, 1.0000, 40.0000
03/25/2015, 10:41, 0.9800, 0.9800, 0.9500, 0.9500, 35.0000
03/25/2015, 10:49, 1.0200, 1.0200, 1.0200, 1.0200, 35.0000
03/25/2015, 10:51, 0.9800, 0.9800, 0.9800, 0.9800, 20.0000
03/25/2015, 10:56, 0.9200, 0.9200, 0.9200, 0.9200, 40.0000
03/25/2015, 10:57, 0.9500, 0.9500, 0.9500, 0.9500, 10.0000
03/25/2015, 11:00, 0.9500, 0.9500, 0.9500, 0.9500, 1.0000
03/25/2015, 11:13, 0.9100, 0.9100, 0.9100, 0.9100, 76.0000
03/25/2015, 11:24, 0.7900, 0.7900, 0.7900, 0.7900, 40.0000
03/25/2015, 11:34, 0.8100, 0.8300, 0.8100, 0.8300, 13.0000
03/25/2015, 11:37, 0.8200, 0.8300, 0.8200, 0.8300, 200.0000
03/25/2015, 11:39, 0.8400, 0.8400, 0.8400, 0.8400, 40.0000
03/25/2015, 11:40, 0.8200, 0.8200, 0.8200, 0.8200, 20.0000
03/25/2015, 11:41, 0.7700, 0.7700, 0.7700, 0.7700, 3.0000
03/25/2015, 11:42, 0.7700, 0.7700, 0.7700, 0.7700, 11.0000
03/25/2015, 11:51, 0.7800, 0.7800, 0.7800, 0.7800, 4.0000
03/25/2015, 11:53, 0.7900, 0.7900, 0.7900, 0.7900, 93.0000
03/25/2015, 11:55, 0.7800, 0.7900, 0.7800, 0.7900, 381.0000
03/25/2015, 11:56, 0.7900, 0.8100, 0.7900, 0.8100, 283.0000
03/25/2015, 11:57, 0.8100, 0.8100, 0.8100, 0.8100, 40.0000
03/25/2015, 12:08, 0.8100, 0.8100, 0.8100, 0.8100, 20.0000
03/25/2015, 12:09, 0.8100, 0.8100, 0.8100, 0.8100, 20.0000
03/25/2015, 12:11, 0.7800, 0.7800, 0.7800, 0.7800, 9.0000
03/25/2015, 12:12, 0.7600, 0.7600, 0.7600, 0.7600, 40.0000
03/25/2015, 12:13, 0.7600, 0.7600, 0.7600, 0.7600, 11.0000
03/25/2015, 12:14, 0.7400, 0.7400, 0.7400, 0.7400, 20.0000
03/25/2015, 12:15, 0.7300, 0.7300, 0.7300, 0.7300, 20.0000
03/25/2015, 12:17, 0.7400, 0.7400, 0.7400, 0.7400, 20.0000
03/25/2015, 12:23, 0.7300, 0.7300, 0.7300, 0.7300, 4.0000
03/25/2015, 12:26, 0.7600, 0.7600, 0.7600, 0.7600, 10.0000
03/25/2015, 12:28, 0.8000, 0.8000, 0.8000, 0.8000, 107.0000
03/25/2015, 12:33, 0.7800, 0.7800, 0.7800, 0.7800, 2.0000
03/25/2015, 12:37, 0.7300, 0.7300, 0.7300, 0.7300, 1.0000
03/25/2015, 12:40, 0.8000, 0.8000, 0.8000, 0.8000, 1.0000
03/25/2015, 12:56, 0.7700, 0.7800, 0.7700, 0.7800, 585.0000
03/25/2015, 12:57, 0.7800, 0.7900, 0.7800, 0.7900, 148.0000
03/25/2015, 12:59, 0.7800, 0.7800, 0.7800, 0.7800, 40.0000
03/25/2015, 13:00, 0.7800, 0.7800, 0.7800, 0.7800, 5.0000
03/25/2015, 13:04, 0.8100, 0.8100, 0.8100, 0.8100, 3.0000
03/25/2015, 13:12, 0.7600, 0.7600, 0.7600, 0.7600, 40.0000
03/25/2015, 13:15, 0.7300, 0.7400, 0.7300, 0.7400, 9.0000
03/25/2015, 13:53, 0.7500, 0.7500, 0.7500, 0.7500, 5.0000
03/25/2015, 14:18, 0.6600, 0.6600, 0.6600, 0.6600, 4.0000
03/25/2015, 14:47, 0.5400, 0.5400, 0.5400, 0.5400, 1.0000
03/25/2015, 14:51, 0.5100, 0.5100, 0.5100, 0.5100, 2.0000
03/25/2015, 14:53, 0.5200, 0.5200, 0.5200, 0.5200, 175.0000
03/25/2015, 14:55, 0.5200, 0.5200, 0.5200, 0.5200, 13.0000
03/25/2015, 14:58, 0.5400, 0.5400, 0.5400, 0.5400, 20.0000
03/25/2015, 14:59, 0.5400, 0.5400, 0.5400, 0.5400, 30.0000
03/25/2015, 15:00, 0.5300, 0.5300, 0.5300, 0.5300, 11.0000
03/25/2015, 15:01, 0.5500, 0.5500, 0.5500, 0.5500, 125.0000
03/25/2015, 15:09, 0.5600, 0.5600, 0.5600, 0.5600, 1.0000
03/26/2015, 08:31, 0.4400, 0.4400, 0.4400, 0.4400, 25.0000
03/26/2015, 08:33, 0.4300, 0.4300, 0.4300, 0.4300, 20.0000
03/26/2015, 08:50, 0.5100, 0.5100, 0.5100, 0.5100, 25.0000
03/26/2015, 08:55, 0.4900, 0.4900, 0.4700, 0.4700, 70.0000
03/26/2015, 08:56, 0.4400, 0.4400, 0.4400, 0.4400, 5.0000
03/26/2015, 08:57, 0.4400, 0.4400, 0.4400, 0.4400, 3.0000
03/26/2015, 09:01, 0.4100, 0.4100, 0.4100, 0.4100, 10.0000
03/26/2015, 09:02, 0.4000, 0.4000, 0.4000, 0.4000, 10.0000
03/26/2015, 09:09, 0.3600, 0.3600, 0.3600, 0.3600, 52.0000
03/26/2015, 09:10, 0.3500, 0.3500, 0.3500, 0.3500, 6.0000
03/26/2015, 09:13, 0.3800, 0.3800, 0.3800, 0.3800, 78.0000
03/26/2015, 09:19, 0.3700, 0.3700, 0.3700, 0.3700, 5.0000
03/26/2015, 09:20, 0.3900, 0.3900, 0.3900, 0.3900, 1.0000
03/26/2015, 09:21, 0.3900, 0.3900, 0.3900, 0.3900, 3.0000
03/26/2015, 09:24, 0.4000, 0.4000, 0.4000, 0.4000, 5.0000
03/26/2015, 09:29, 0.4400, 0.4400, 0.4400, 0.4400, 5.0000
03/26/2015, 09:35, 0.4200, 0.4200, 0.4200, 0.4200, 5.0000
03/26/2015, 09:38, 0.4600, 0.4600, 0.4600, 0.4600, 2.0000
03/26/2015, 10:20, 0.3200, 0.3200, 0.3200, 0.3200, 1.0000
03/26/2015, 10:31, 0.3500, 0.3500, 0.3500, 0.3500, 1.0000
03/26/2015, 10:57, 0.4000, 0.4000, 0.4000, 0.4000, 15.0000
03/26/2015, 10:58, 0.4100, 0.4100, 0.4100, 0.4100, 10.0000
03/26/2015, 12:37, 0.4400, 0.4400, 0.4400, 0.4400, 1.0000
03/26/2015, 12:41, 0.5100, 0.5100, 0.5000, 0.5000, 200.0000
03/26/2015, 12:43, 0.5400, 0.5400, 0.5400, 0.5400, 11.0000
03/26/2015, 12:55, 0.5800, 0.5800, 0.5800, 0.5800, 10.0000
03/26/2015, 12:56, 0.5800, 0.5800, 0.5800, 0.5800, 5.0000
03/26/2015, 13:15, 0.4600, 0.4600, 0.4600, 0.4600, 6.0000
03/26/2015, 13:36, 0.4300, 0.4300, 0.4300, 0.4300, 2.0000
03/26/2015, 13:41, 0.4300, 0.4300, 0.4300, 0.4300, 3.0000
03/26/2015, 13:46, 0.4100, 0.4100, 0.4100, 0.4100, 4.0000
03/26/2015, 13:56, 0.4000, 0.4000, 0.4000, 0.4000, 5.0000
03/26/2015, 14:13, 0.3800, 0.3800, 0.3800, 0.3800, 30.0000
03/26/2015, 14:22, 0.3700, 0.3700, 0.3700, 0.3700, 4.0000
03/26/2015, 14:25, 0.3600, 0.3600, 0.3600, 0.3600, 5.0000
03/26/2015, 14:39, 0.3900, 0.3900, 0.3900, 0.3900, 4.0000
03/26/2015, 14:58, 0.3800, 0.3800, 0.3800, 0.3800, 20.0000
03/26/2015, 15:00, 0.4100, 0.4100, 0.4100, 0.4100, 10.0000
03/26/2015, 15:08, 0.4000, 0.4100, 0.4000, 0.4100, 2.0000
03/26/2015, 15:14, 0.3900, 0.3900, 0.3900, 0.3900, 20.0000
03/27/2015, 08:30, 0.4000, 0.4000, 0.4000, 0.4000, 22.0000
03/27/2015, 08:31, 0.4300, 0.4300, 0.4300, 0.4300, 55.0000
03/27/2015, 08:41, 0.4400, 0.4400, 0.4400, 0.4400, 6.0000
03/27/2015, 08:43, 0.4800, 0.4800, 0.4800, 0.4800, 1.0000
03/27/2015, 08:59, 0.5000, 0.5000, 0.5000, 0.5000, 5.0000
03/27/2015, 09:04, 0.5000, 0.5000, 0.5000, 0.5000, 14.0000
03/27/2015, 09:17, 0.3000, 0.3100, 0.3000, 0.3100, 149.0000
03/27/2015, 09:38, 0.3700, 0.3700, 0.3700, 0.3700, 5.0000
03/27/2015, 09:48, 0.4100, 0.4100, 0.4100, 0.4100, 63.0000
03/27/2015, 09:49, 0.4100, 0.4100, 0.4100, 0.4100, 38.0000
03/27/2015, 09:51, 0.4200, 0.4200, 0.4200, 0.4200, 50.0000
03/27/2015, 09:53, 0.4400, 0.4400, 0.4400, 0.4400, 50.0000
03/27/2015, 09:58, 0.4500, 0.4500, 0.4500, 0.4500, 50.0000
03/27/2015, 10:06, 0.4600, 0.4600, 0.4600, 0.4600, 1.0000
03/27/2015, 10:43, 0.3900, 0.3900, 0.3900, 0.3900, 10.0000
03/27/2015, 10:44, 0.4000, 0.4000, 0.4000, 0.4000, 76.0000
03/27/2015, 10:46, 0.4000, 0.4000, 0.4000, 0.4000, 1.0000
03/27/2015, 10:51, 0.4100, 0.4100, 0.4100, 0.4100, 50.0000
03/27/2015, 11:06, 0.4200, 0.4200, 0.4200, 0.4200, 50.0000
03/27/2015, 11:10, 0.4300, 0.4300, 0.4300, 0.4300, 50.0000
03/27/2015, 11:14, 0.4300, 0.4300, 0.4300, 0.4300, 31.0000
03/27/2015, 11:15, 0.4300, 0.4300, 0.4300, 0.4300, 19.0000
03/27/2015, 11:16, 0.4300, 0.4300, 0.4300, 0.4300, 15.0000
03/27/2015, 11:21, 0.4300, 0.4300, 0.4300, 0.4300, 5.0000
03/27/2015, 11:28, 0.4300, 0.4300, 0.4300, 0.4300, 5.0000
03/27/2015, 11:29, 0.4200, 0.4200, 0.4200, 0.4200, 1.0000
03/27/2015, 11:31, 0.4300, 0.4300, 0.4300, 0.4300, 50.0000
03/27/2015, 11:43, 0.4700, 0.4700, 0.4700, 0.4700, 1.0000
03/27/2015, 11:55, 0.4600, 0.4600, 0.4600, 0.4600, 15.0000
03/27/2015, 12:07, 0.4600, 0.4600, 0.4600, 0.4600, 77.0000
03/27/2015, 12:08, 0.4700, 0.4700, 0.4700, 0.4700, 194.0000
03/27/2015, 12:09, 0.4700, 0.4700, 0.4700, 0.4700, 1.0000
03/27/2015, 12:13, 0.4600, 0.4600, 0.4600, 0.4600, 184.0000
03/27/2015, 12:14, 0.4600, 0.4600, 0.4600, 0.4600, 290.0000
03/27/2015, 12:15, 0.4600, 0.4600, 0.4600, 0.4600, 31.0000
03/27/2015, 12:18, 0.4500, 0.4500, 0.4500, 0.4500, 26.0000
03/27/2015, 12:42, 0.4700, 0.4700, 0.4700, 0.4700, 9.0000
03/27/2015, 12:55, 0.4300, 0.4300, 0.4300, 0.4300, 1.0000
03/27/2015, 13:08, 0.4100, 0.4100, 0.4100, 0.4100, 20.0000
03/27/2015, 13:59, 0.4400, 0.4400, 0.4400, 0.4400, 50.0000
03/27/2015, 14:04, 0.4700, 0.4700, 0.4600, 0.4600, 8.0000
03/27/2015, 14:06, 0.4700, 0.4700, 0.4700, 0.4700, 50.0000
03/27/2015, 14:08, 0.4700, 0.4700, 0.4700, 0.4700, 30.0000
03/27/2015, 14:13, 0.4500, 0.4500, 0.4500, 0.4500, 20.0000
03/27/2015, 14:17, 0.4500, 0.4500, 0.4500, 0.4500, 100.0000
03/27/2015, 14:23, 0.4500, 0.4500, 0.4500, 0.4500, 28.0000
03/27/2015, 14:28, 0.4400, 0.4400, 0.4400, 0.4400, 347.0000
03/27/2015, 14:29, 0.4400, 0.4400, 0.4400, 0.4400, 3.0000
03/27/2015, 14:30, 0.4400, 0.4400, 0.4400, 0.4400, 5.0000
03/27/2015, 14:33, 0.4600, 0.4900, 0.4600, 0.4900, 99.0000
03/27/2015, 14:34, 0.4900, 0.5000, 0.4900, 0.5000, 15.0000
03/27/2015, 14:37, 0.4600, 0.4600, 0.4600, 0.4600, 29.0000
03/27/2015, 14:39, 0.5200, 0.5200, 0.5200, 0.5200, 25.0000
03/27/2015, 14:41, 0.5100, 0.5100, 0.5100, 0.5100, 16.0000
03/27/2015, 14:42, 0.5200, 0.5200, 0.5200, 0.5200, 20.0000
03/27/2015, 14:45, 0.4700, 0.4700, 0.4700, 0.4700, 10.0000
03/27/2015, 14:50, 0.4800, 0.4800, 0.4800, 0.4800, 4.0000
03/27/2015, 14:51, 0.5100, 0.5100, 0.5100, 0.5100, 20.0000
03/27/2015, 14:53, 0.5200, 0.5200, 0.5200, 0.5200, 10.0000
03/27/2015, 14:55, 0.5600, 0.5600, 0.5400, 0.5500, 66.0000
03/27/2015, 14:56, 0.5400, 0.5400, 0.5400, 0.5400, 5.0000
03/27/2015, 14:58, 0.5300, 0.5300, 0.5300, 0.5300, 2.0000
03/27/2015, 14:59, 0.5500, 0.5600, 0.5200, 0.5200, 30.0000
03/27/2015, 15:00, 0.5000, 0.5000, 0.5000, 0.5000, 10.0000
03/27/2015, 15:03, 0.5000, 0.5000, 0.5000, 0.5000, 5.0000
03/27/2015, 15:13, 0.4900, 0.4900, 0.4900, 0.4900, 10.0000
03/27/2015, 15:14, 0.4900, 0.4900, 0.4900, 0.4900, 3.0000
03/30/2015, 08:30, 0.6700, 0.7100, 0.6600, 0.7100, 94.0000
03/30/2015, 08:31, 0.7900, 0.7900, 0.7900, 0.7900, 4.0000
03/30/2015, 08:34, 0.7800, 0.7800, 0.7800, 0.7800, 1.0000
03/30/2015, 08:36, 0.7900, 0.7900, 0.7900, 0.7900, 56.0000
03/30/2015, 08:37, 0.8100, 0.8100, 0.7600, 0.7700, 121.0000
03/30/2015, 08:39, 0.8300, 0.8500, 0.8300, 0.8500, 19.0000
03/30/2015, 08:40, 0.8500, 0.8500, 0.8000, 0.8000, 23.0000
03/30/2015, 08:41, 0.8400, 0.8600, 0.8400, 0.8600, 42.0000
03/30/2015, 08:42, 0.8700, 0.8800, 0.8700, 0.8800, 102.0000
03/30/2015, 08:43, 0.8800, 0.8800, 0.8800, 0.8800, 1.0000
03/30/2015, 08:44, 0.8500, 0.8500, 0.8500, 0.8500, 1.0000
03/30/2015, 08:45, 0.9000, 0.9000, 0.8900, 0.8900, 112.0000
03/30/2015, 08:47, 0.9400, 0.9400, 0.9400, 0.9400, 10.0000
03/30/2015, 08:49, 0.9200, 0.9200, 0.9200, 0.9200, 10.0000
03/30/2015, 08:53, 0.8800, 0.8800, 0.8800, 0.8800, 4.0000
03/30/2015, 08:55, 0.9100, 0.9200, 0.9100, 0.9200, 54.0000
03/30/2015, 08:59, 0.9000, 0.9000, 0.9000, 0.9000, 5.0000
03/30/2015, 09:01, 0.9700, 0.9700, 0.9300, 0.9400, 62.0000
03/30/2015, 09:02, 0.9500, 0.9500, 0.9400, 0.9400, 108.0000
03/30/2015, 09:04, 0.9500, 0.9500, 0.9000, 0.9000, 2.0000
03/30/2015, 09:06, 0.9100, 0.9100, 0.9000, 0.9000, 3.0000
03/30/2015, 09:16, 0.8500, 0.8500, 0.8500, 0.8500, 1.0000
03/30/2015, 09:18, 0.8500, 0.8500, 0.8500, 0.8500, 7.0000
03/30/2015, 09:21, 0.8100, 0.8100, 0.8100, 0.8100, 25.0000
03/30/2015, 09:22, 0.8100, 0.8100, 0.8100, 0.8100, 8.0000
03/30/2015, 09:23, 0.8100, 0.8100, 0.8100, 0.8100, 34.0000
03/30/2015, 09:26, 0.8700, 0.8700, 0.8400, 0.8400, 22.0000
03/30/2015, 09:28, 0.8400, 0.8400, 0.8400, 0.8400, 5.0000
03/30/2015, 09:36, 0.8300, 0.8300, 0.8300, 0.8300, 10.0000
03/30/2015, 09:42, 0.8200, 0.8200, 0.8200, 0.8200, 1.0000
03/30/2015, 09:43, 0.8200, 0.8200, 0.8200, 0.8200, 50.0000
03/30/2015, 09:46, 0.8800, 0.8800, 0.8800, 0.8800, 5.0000
03/30/2015, 09:47, 0.8800, 0.8800, 0.8800, 0.8800, 55.0000
03/30/2015, 09:49, 0.9000, 0.9000, 0.9000, 0.9000, 1.0000
03/30/2015, 09:50, 0.9000, 0.9000, 0.9000, 0.9000, 68.0000
03/30/2015, 10:01, 0.9500, 0.9500, 0.9500, 0.9500, 20.0000
03/30/2015, 10:15, 0.9500, 0.9500, 0.9500, 0.9500, 10.0000
03/30/2015, 10:16, 1.0000, 1.0000, 0.9900, 0.9900, 30.0000
03/30/2015, 10:18, 0.9700, 0.9700, 0.9700, 0.9700, 108.0000
03/30/2015, 10:23, 0.9400, 0.9400, 0.9400, 0.9400, 108.0000
03/30/2015, 10:29, 0.9900, 0.9900, 0.9900, 0.9900, 10.0000
03/30/2015, 10:30, 0.9600, 0.9600, 0.9600, 0.9600, 108.0000
03/30/2015, 10:36, 0.9500, 0.9500, 0.9500, 0.9500, 20.0000
03/30/2015, 10:39, 0.9800, 0.9800, 0.9800, 0.9800, 81.0000
03/30/2015, 10:45, 0.9500, 0.9500, 0.9500, 0.9500, 4.0000
03/30/2015, 10:46, 0.9500, 0.9500, 0.9500, 0.9500, 4.0000
03/30/2015, 10:55, 0.8900, 0.8900, 0.8900, 0.8900, 10.0000
03/30/2015, 11:01, 1.0000, 1.0000, 1.0000, 1.0000, 10.0000
03/30/2015, 11:02, 1.0000, 1.0000, 1.0000, 1.0000, 81.0000
03/30/2015, 11:04, 0.9900, 0.9900, 0.9900, 0.9900, 81.0000
03/30/2015, 11:08, 1.0000, 1.0000, 1.0000, 1.0000, 5.0000
03/30/2015, 11:14, 1.0400, 1.0400, 1.0400, 1.0400, 138.0000
03/30/2015, 11:19, 1.1500, 1.1500, 1.1500, 1.1500, 33.0000
03/30/2015, 11:20, 1.1500, 1.1600, 1.1500, 1.1500, 182.0000
03/30/2015, 11:23, 1.0900, 1.0900, 1.0900, 1.0900, 363.0000
03/30/2015, 11:28, 1.1100, 1.1100, 1.1100, 1.1100, 20.0000
03/30/2015, 11:31, 1.1200, 1.1200, 1.1200, 1.1200, 2.0000
03/30/2015, 11:48, 1.2100, 1.2100, 1.1900, 1.1900, 86.0000
03/30/2015, 11:53, 1.1700, 1.1700, 1.1700, 1.1700, 5.0000
03/30/2015, 11:55, 1.1900, 1.1900, 1.1900, 1.1900, 81.0000
