Date, Time, Open, High, Low, Close, Volume
01/23/2015, 14:58, 2.4000, 2.4000, 2.4000, 2.4000, 2.0000
01/26/2015, 08:33, 2.1300, 2.1300, 2.1300, 2.1300, 14.0000
01/26/2015, 08:37, 2.0900, 2.0900, 2.0900, 2.0900, 8.0000
01/26/2015, 08:42, 2.1300, 2.1300, 2.1300, 2.1300, 7.0000
01/26/2015, 08:57, 2.1000, 2.1000, 2.1000, 2.1000, 12.0000
01/26/2015, 09:05, 2.2700, 2.2700, 2.2700, 2.2700, 3.0000
01/26/2015, 09:06, 2.2800, 2.2900, 2.2800, 2.2800, 20.0000
01/26/2015, 09:12, 2.3600, 2.3600, 2.3600, 2.3600, 1.0000
01/26/2015, 09:19, 2.2900, 2.2900, 2.2900, 2.2900, 1.0000
01/26/2015, 09:22, 2.3000, 2.3000, 2.3000, 2.3000, 1.0000
01/26/2015, 09:25, 2.3500, 2.3500, 2.3500, 2.3500, 76.0000
01/26/2015, 09:28, 2.3800, 2.3800, 2.3800, 2.3800, 10.0000
01/26/2015, 09:29, 2.4000, 2.4000, 2.4000, 2.4000, 47.0000
01/26/2015, 09:31, 2.4100, 2.4100, 2.4100, 2.4100, 156.0000
01/26/2015, 09:54, 2.6100, 2.6100, 2.6100, 2.6100, 25.0000
01/26/2015, 10:12, 2.5800, 2.5800, 2.5800, 2.5800, 6.0000
01/26/2015, 11:21, 2.8400, 2.8400, 2.8400, 2.8400, 4.0000
01/26/2015, 11:25, 2.7500, 2.7500, 2.7500, 2.7500, 1.0000
01/26/2015, 12:01, 2.7200, 2.7200, 2.7200, 2.7200, 30.0000
01/26/2015, 12:15, 2.7500, 2.7500, 2.7500, 2.7500, 10.0000
01/26/2015, 12:30, 2.7400, 2.7400, 2.7400, 2.7400, 1.0000
01/26/2015, 14:14, 2.8900, 2.8900, 2.8900, 2.8900, 3.0000
01/26/2015, 14:17, 2.7500, 2.7500, 2.7500, 2.7500, 10.0000
01/26/2015, 15:02, 3.0000, 3.0000, 3.0000, 3.0000, 1.0000
01/27/2015, 08:35, 2.0800, 2.0800, 2.0800, 2.0800, 20.0000
01/27/2015, 08:38, 2.3100, 2.3100, 2.3100, 2.3100, 25.0000
01/27/2015, 08:39, 2.3400, 2.3400, 2.3400, 2.3400, 20.0000
01/27/2015, 09:09, 2.3900, 2.3900, 2.3900, 2.3900, 3.0000
