Date, Time, Open, High, Low, Close, Volume
02/20/2015, 14:56, 0.7300, 0.7300, 0.7300, 0.7300, 1.0000
02/23/2015, 08:31, 0.6400, 0.6400, 0.6300, 0.6300, 62.0000
02/23/2015, 08:58, 0.4600, 0.4600, 0.4600, 0.4600, 1.0000
02/23/2015, 10:20, 0.5400, 0.5400, 0.5400, 0.5400, 1.0000
02/23/2015, 11:09, 0.6300, 0.6300, 0.6300, 0.6300, 1.0000
02/23/2015, 11:32, 0.6100, 0.6100, 0.6100, 0.6100, 10.0000
02/23/2015, 11:39, 0.5600, 0.5600, 0.5600, 0.5600, 25.0000
02/23/2015, 14:09, 0.4800, 0.4800, 0.4800, 0.4800, 53.0000
02/23/2015, 14:19, 0.5200, 0.5200, 0.5200, 0.5200, 50.0000
02/23/2015, 14:59, 0.6700, 0.6700, 0.6700, 0.6700, 4.0000
02/24/2015, 08:43, 0.6900, 0.6900, 0.6900, 0.6900, 20.0000
02/24/2015, 09:23, 0.8100, 0.8100, 0.8100, 0.8100, 10.0000
02/24/2015, 09:25, 0.8000, 0.8000, 0.8000, 0.8000, 201.0000
02/24/2015, 09:39, 0.7900, 0.7900, 0.7900, 0.7900, 4.0000
02/24/2015, 09:44, 0.7900, 0.7900, 0.7900, 0.7900, 3.0000
02/24/2015, 10:02, 0.7000, 0.7000, 0.7000, 0.7000, 28.0000
02/24/2015, 10:31, 0.6700, 0.6700, 0.6700, 0.6700, 10.0000
02/24/2015, 10:34, 0.6200, 0.6200, 0.6200, 0.6200, 8.0000
02/24/2015, 10:49, 0.5800, 0.5800, 0.5800, 0.5800, 500.0000
02/24/2015, 11:32, 0.5400, 0.5400, 0.5400, 0.5400, 180.0000
02/24/2015, 13:26, 0.5100, 0.5100, 0.5100, 0.5100, 2.0000
02/24/2015, 14:46, 0.6100, 0.6100, 0.6100, 0.6100, 10.0000
02/25/2015, 08:30, 0.6000, 0.6000, 0.6000, 0.6000, 15.0000
02/25/2015, 08:42, 0.5300, 0.5300, 0.5300, 0.5300, 10.0000
02/25/2015, 08:52, 0.4900, 0.4900, 0.4900, 0.4900, 10.0000
02/25/2015, 09:09, 0.5500, 0.5500, 0.5500, 0.5500, 1.0000
02/25/2015, 09:24, 0.5500, 0.5500, 0.5500, 0.5500, 5.0000
02/25/2015, 09:31, 0.6100, 0.6300, 0.6100, 0.6300, 3.0000
02/25/2015, 09:37, 0.5900, 0.5900, 0.5900, 0.5900, 16.0000
02/25/2015, 09:38, 0.5900, 0.5900, 0.5900, 0.5900, 1.0000
02/25/2015, 10:07, 0.5600, 0.5600, 0.5600, 0.5600, 10.0000
02/25/2015, 10:19, 0.5900, 0.5900, 0.5900, 0.5900, 5.0000
02/25/2015, 11:27, 0.6100, 0.6100, 0.6100, 0.6100, 1.0000
02/25/2015, 12:35, 0.6400, 0.6400, 0.6400, 0.6400, 100.0000
02/25/2015, 12:56, 0.6600, 0.6600, 0.6600, 0.6600, 15.0000
