Date, Time, Open, High, Low, Close, Volume
01/30/2015, 14:20, 0.9600, 0.9600, 0.9600, 0.9600, 2.0000
02/02/2015, 08:42, 0.6900, 0.6900, 0.6900, 0.6900, 5.0000
02/02/2015, 08:46, 0.6800, 0.7000, 0.6800, 0.7000, 66.0000
02/02/2015, 08:47, 0.7000, 0.7000, 0.7000, 0.7000, 39.0000
02/02/2015, 09:06, 0.5200, 0.5200, 0.5200, 0.5200, 10.0000
02/02/2015, 09:20, 0.5800, 0.5800, 0.5800, 0.5800, 2.0000
02/02/2015, 09:28, 0.5700, 0.5700, 0.5700, 0.5700, 10.0000
02/02/2015, 10:39, 0.8200, 0.8200, 0.8200, 0.8200, 2.0000
02/02/2015, 12:44, 0.5600, 0.5600, 0.5600, 0.5600, 3.0000
02/02/2015, 12:54, 0.5600, 0.5600, 0.5600, 0.5600, 9.0000
02/02/2015, 12:59, 0.5200, 0.5200, 0.5200, 0.5200, 10.0000
02/02/2015, 13:25, 0.6300, 0.6400, 0.6300, 0.6400, 40.0000
02/02/2015, 14:40, 0.8900, 0.8900, 0.8900, 0.8900, 58.0000
02/02/2015, 14:57, 0.9400, 0.9400, 0.9400, 0.9400, 1.0000
02/03/2015, 08:36, 1.5000, 1.5000, 1.5000, 1.5000, 1.0000
02/03/2015, 09:03, 1.6400, 1.6400, 1.6400, 1.6400, 1.0000
02/03/2015, 09:04, 1.6100, 1.6100, 1.6100, 1.6100, 16.0000
02/03/2015, 09:05, 1.6400, 1.6400, 1.6400, 1.6400, 6.0000
02/03/2015, 09:08, 1.5800, 1.5800, 1.5800, 1.5800, 10.0000
02/03/2015, 09:11, 1.5300, 1.5300, 1.5300, 1.5300, 5.0000
02/03/2015, 09:13, 1.5400, 1.5400, 1.5400, 1.5400, 5.0000
02/03/2015, 09:23, 1.4300, 1.4300, 1.4300, 1.4300, 10.0000
02/03/2015, 09:30, 1.5900, 1.5900, 1.5900, 1.5900, 10.0000
02/03/2015, 09:31, 1.5700, 1.5700, 1.5700, 1.5700, 10.0000
02/03/2015, 09:34, 1.5400, 1.5400, 1.5400, 1.5400, 22.0000
02/03/2015, 09:41, 1.5000, 1.5000, 1.5000, 1.5000, 5.0000
02/03/2015, 09:48, 1.3900, 1.3900, 1.3900, 1.3900, 10.0000
02/03/2015, 10:54, 1.2900, 1.2900, 1.2900, 1.2900, 1.0000
02/03/2015, 12:33, 1.5200, 1.5200, 1.5200, 1.5200, 10.0000
02/03/2015, 12:47, 1.5300, 1.5300, 1.5300, 1.5300, 10.0000
02/03/2015, 12:52, 1.5200, 1.5200, 1.5200, 1.5200, 24.0000
02/03/2015, 13:02, 1.6800, 1.6800, 1.6700, 1.6700, 29.0000
02/03/2015, 13:04, 1.5900, 1.5900, 1.5900, 1.5900, 100.0000
02/03/2015, 13:06, 1.5900, 1.5900, 1.5900, 1.5900, 100.0000
02/03/2015, 13:15, 1.5000, 1.5000, 1.5000, 1.5000, 24.0000
02/03/2015, 13:46, 1.4800, 1.4800, 1.4800, 1.4800, 12.0000
02/03/2015, 14:01, 1.6600, 1.6600, 1.6600, 1.6600, 100.0000
02/03/2015, 14:16, 1.6200, 1.6200, 1.6200, 1.6200, 5.0000
02/03/2015, 14:46, 1.7300, 1.7300, 1.7300, 1.7300, 25.0000
02/03/2015, 14:47, 1.7200, 1.7200, 1.7200, 1.7200, 5.0000
02/03/2015, 14:48, 1.7200, 1.7200, 1.7200, 1.7200, 25.0000
02/03/2015, 14:49, 1.7400, 1.7400, 1.7400, 1.7400, 25.0000
02/03/2015, 14:50, 1.7500, 1.7700, 1.7500, 1.7700, 45.0000
02/03/2015, 14:55, 1.7900, 1.7900, 1.7900, 1.7900, 10.0000
02/04/2015, 08:31, 1.4500, 1.4500, 1.4500, 1.4500, 5.0000
02/04/2015, 08:46, 1.4800, 1.4800, 1.4800, 1.4800, 210.0000
02/04/2015, 08:56, 1.4700, 1.4700, 1.4700, 1.4700, 1.0000
02/04/2015, 09:00, 1.6000, 1.6000, 1.6000, 1.6000, 1.0000
02/04/2015, 09:12, 1.5800, 1.5800, 1.5800, 1.5800, 15.0000
02/04/2015, 09:17, 1.4800, 1.4800, 1.4800, 1.4800, 28.0000
02/04/2015, 09:28, 1.4800, 1.4800, 1.4800, 1.4800, 10.0000
02/04/2015, 09:44, 1.5800, 1.5800, 1.5800, 1.5800, 817.0000
02/04/2015, 09:49, 1.5400, 1.5400, 1.5400, 1.5400, 28.0000
02/04/2015, 09:51, 1.5100, 1.5100, 1.5100, 1.5100, 15.0000
02/04/2015, 10:05, 1.6300, 1.6300, 1.6300, 1.6300, 40.0000
02/04/2015, 10:36, 1.8600, 1.8600, 1.8500, 1.8500, 150.0000
02/04/2015, 11:10, 1.6600, 1.6600, 1.6600, 1.6600, 28.0000
02/04/2015, 11:18, 1.6300, 1.6300, 1.6300, 1.6300, 1.0000
02/04/2015, 11:29, 1.4900, 1.4900, 1.4900, 1.4900, 10.0000
02/04/2015, 11:32, 1.5000, 1.5000, 1.5000, 1.5000, 25.0000
02/04/2015, 14:10, 1.5200, 1.5200, 1.5200, 1.5200, 20.0000
02/04/2015, 14:30, 1.6700, 1.6700, 1.6700, 1.6700, 5.0000
02/04/2015, 14:31, 1.6600, 1.6600, 1.6600, 1.6600, 20.0000
02/04/2015, 14:45, 1.4100, 1.4100, 1.4100, 1.4100, 2.0000
02/04/2015, 14:53, 1.3000, 1.3000, 1.3000, 1.3000, 6.0000
02/04/2015, 14:57, 1.3900, 1.3900, 1.3900, 1.3900, 50.0000
02/04/2015, 14:58, 1.3600, 1.3600, 1.3600, 1.3600, 54.0000
02/04/2015, 15:04, 1.3300, 1.3300, 1.3300, 1.3300, 2.0000
02/05/2015, 08:30, 1.5300, 1.5300, 1.5300, 1.5300, 1.0000
02/05/2015, 08:35, 1.6000, 1.6000, 1.6000, 1.6000, 28.0000
02/05/2015, 08:37, 1.6300, 1.6300, 1.6300, 1.6300, 1.0000
02/05/2015, 08:40, 1.7800, 1.7800, 1.7800, 1.7800, 30.0000
02/05/2015, 08:41, 1.7800, 1.7800, 1.7800, 1.7800, 54.0000
02/05/2015, 08:48, 1.8900, 1.8900, 1.8900, 1.8900, 5.0000
02/05/2015, 08:54, 1.8700, 1.8700, 1.8700, 1.8700, 2.0000
