Date, Time, Open, High, Low, Close, Volume
05/01/2015, 14:59, 1.8300, 1.8300, 1.8200, 1.8200, 10.0000
05/04/2015, 08:30, 1.8000, 1.8000, 1.6800, 1.6800, 17.0000
05/04/2015, 08:31, 1.6800, 1.7600, 1.6800, 1.7600, 10.0000
05/04/2015, 08:32, 1.8800, 1.8800, 1.8800, 1.8800, 90.0000
05/04/2015, 08:36, 1.9700, 1.9700, 1.9600, 1.9600, 57.0000
05/04/2015, 08:37, 1.9800, 1.9800, 1.9800, 1.9800, 10.0000
05/04/2015, 08:41, 2.1400, 2.1400, 2.1400, 2.1400, 15.0000
05/04/2015, 08:43, 2.1200, 2.1200, 2.1200, 2.1200, 10.0000
05/04/2015, 08:44, 2.1600, 2.2200, 2.1600, 2.2200, 76.0000
05/04/2015, 08:45, 2.1700, 2.1900, 2.1700, 2.1900, 179.0000
05/04/2015, 08:46, 2.1000, 2.1000, 2.1000, 2.1000, 52.0000
05/04/2015, 08:47, 2.0600, 2.0600, 2.0600, 2.0600, 52.0000
05/04/2015, 08:48, 2.0700, 2.0700, 2.0700, 2.0700, 5.0000
05/04/2015, 08:49, 2.0700, 2.0700, 2.0700, 2.0700, 52.0000
05/04/2015, 08:50, 2.1200, 2.1200, 2.1200, 2.1200, 52.0000
05/04/2015, 08:51, 2.1300, 2.1600, 2.1300, 2.1600, 60.0000
05/04/2015, 08:52, 2.1300, 2.1300, 2.1300, 2.1300, 10.0000
05/04/2015, 09:06, 2.4900, 2.4900, 2.4900, 2.4900, 10.0000
05/04/2015, 09:13, 2.4000, 2.4000, 2.4000, 2.4000, 15.0000
05/04/2015, 09:24, 2.4100, 2.4100, 2.4100, 2.4100, 20.0000
05/04/2015, 09:25, 2.4400, 2.4400, 2.4400, 2.4400, 1.0000
05/04/2015, 09:30, 2.5300, 2.5300, 2.5300, 2.5300, 10.0000
05/04/2015, 09:45, 2.3200, 2.3200, 2.3200, 2.3200, 10.0000
05/04/2015, 10:56, 2.2200, 2.2200, 2.2200, 2.2200, 103.0000
05/04/2015, 11:26, 2.0800, 2.0800, 2.0800, 2.0800, 20.0000
05/04/2015, 11:44, 2.0300, 2.0300, 2.0300, 2.0300, 2.0000
05/04/2015, 12:07, 1.9700, 1.9700, 1.8900, 1.8900, 71.0000
05/04/2015, 12:08, 1.8400, 1.8400, 1.8400, 1.8400, 11.0000
05/04/2015, 12:15, 1.9200, 1.9200, 1.9200, 1.9200, 5.0000
05/04/2015, 12:26, 1.9000, 1.9000, 1.9000, 1.9000, 8.0000
05/04/2015, 13:21, 2.0400, 2.0400, 2.0400, 2.0400, 52.0000
05/04/2015, 13:47, 2.0200, 2.0200, 2.0200, 2.0200, 11.0000
05/04/2015, 13:54, 1.9800, 1.9800, 1.9800, 1.9800, 3.0000
05/04/2015, 14:26, 1.9800, 1.9800, 1.9800, 1.9800, 19.0000
05/04/2015, 14:30, 1.9100, 1.9100, 1.9100, 1.9100, 63.0000
05/04/2015, 14:39, 1.9400, 1.9400, 1.9400, 1.9400, 6.0000
05/04/2015, 14:43, 1.9500, 1.9500, 1.9500, 1.9500, 1.0000
