Date, Time, Open, High, Low, Close, Volume
04/02/2015, 14:58, 1.2000, 1.2000, 1.2000, 1.2000, 10.0000
04/06/2015, 08:30, 1.6100, 1.6100, 1.5800, 1.5800, 15.0000
04/06/2015, 08:32, 1.5200, 1.5200, 1.4500, 1.4600, 95.0000
04/06/2015, 08:33, 1.4600, 1.4600, 1.4600, 1.4600, 2.0000
04/06/2015, 08:35, 1.4100, 1.4100, 1.3500, 1.3500, 53.0000
04/06/2015, 08:37, 1.3000, 1.3000, 1.3000, 1.3000, 4.0000
04/06/2015, 08:38, 1.2800, 1.2800, 1.2700, 1.2700, 130.0000
04/06/2015, 08:39, 1.2300, 1.2300, 1.2300, 1.2300, 27.0000
04/06/2015, 08:40, 1.1700, 1.1700, 1.1500, 1.1500, 64.0000
04/06/2015, 08:41, 1.1100, 1.1100, 1.1100, 1.1100, 40.0000
04/06/2015, 08:44, 1.1200, 1.1200, 1.1200, 1.1200, 50.0000
04/06/2015, 08:45, 1.1200, 1.1200, 1.0500, 1.0500, 70.0000
04/06/2015, 08:46, 1.0500, 1.0500, 1.0500, 1.0500, 2.0000
04/06/2015, 08:48, 1.0600, 1.0600, 1.0600, 1.0600, 15.0000
04/06/2015, 08:53, 1.0300, 1.0300, 1.0300, 1.0300, 50.0000
04/06/2015, 08:56, 1.0300, 1.0300, 1.0300, 1.0300, 10.0000
04/06/2015, 08:57, 1.0300, 1.0400, 1.0300, 1.0400, 4.0000
04/06/2015, 08:58, 1.0700, 1.0700, 1.0700, 1.0700, 1.0000
04/06/2015, 09:09, 1.1200, 1.1200, 1.1200, 1.1200, 10.0000
04/06/2015, 09:11, 1.1100, 1.1100, 1.1100, 1.1100, 10.0000
04/06/2015, 09:14, 1.1400, 1.1500, 1.1400, 1.1500, 30.0000
04/06/2015, 09:16, 1.0900, 1.0900, 1.0900, 1.0900, 1000.0000
04/06/2015, 09:18, 1.0800, 1.0900, 1.0800, 1.0900, 20.0000
04/06/2015, 09:20, 1.1000, 1.1000, 1.1000, 1.1000, 10.0000
04/06/2015, 09:22, 1.0100, 1.0100, 1.0100, 1.0100, 100.0000
04/06/2015, 09:25, 1.0400, 1.0500, 1.0400, 1.0500, 126.0000
04/06/2015, 09:26, 1.0500, 1.0600, 1.0500, 1.0600, 1375.0000
04/06/2015, 09:36, 0.9900, 0.9900, 0.9900, 0.9900, 1.0000
04/06/2015, 09:37, 1.0200, 1.0200, 1.0200, 1.0200, 10.0000
04/06/2015, 09:41, 1.0300, 1.0300, 1.0300, 1.0300, 10.0000
04/06/2015, 09:43, 1.0300, 1.0300, 1.0300, 1.0300, 10.0000
04/06/2015, 09:44, 1.0000, 1.0000, 1.0000, 1.0000, 501.0000
04/06/2015, 09:45, 0.9800, 0.9800, 0.9500, 0.9500, 221.0000
04/06/2015, 09:49, 1.0300, 1.0300, 1.0200, 1.0200, 100.0000
04/06/2015, 09:59, 0.9700, 0.9700, 0.9700, 0.9700, 60.0000
04/06/2015, 10:00, 0.9500, 0.9500, 0.9500, 0.9500, 10.0000
04/06/2015, 10:02, 0.9400, 0.9400, 0.9300, 0.9300, 2000.0000
04/06/2015, 10:10, 0.9000, 0.9000, 0.9000, 0.9000, 5.0000
04/06/2015, 10:11, 0.9300, 0.9300, 0.9300, 0.9300, 1.0000
04/06/2015, 10:12, 0.9300, 0.9300, 0.9300, 0.9300, 2.0000
04/06/2015, 10:17, 0.9500, 0.9500, 0.9500, 0.9500, 10.0000
04/06/2015, 10:23, 0.9600, 0.9600, 0.9600, 0.9600, 1.0000
04/06/2015, 10:26, 0.9500, 0.9500, 0.9500, 0.9500, 5.0000
04/06/2015, 10:35, 0.9500, 0.9500, 0.9500, 0.9500, 1.0000
04/06/2015, 10:38, 0.9500, 0.9500, 0.9500, 0.9500, 2.0000
04/06/2015, 10:39, 0.9500, 0.9500, 0.9500, 0.9500, 8.0000
04/06/2015, 10:44, 0.9300, 0.9300, 0.9300, 0.9300, 14.0000
04/06/2015, 10:47, 0.9300, 0.9300, 0.9300, 0.9300, 5.0000
04/06/2015, 10:50, 0.9200, 0.9200, 0.9200, 0.9200, 2.0000
04/06/2015, 10:57, 0.9100, 0.9100, 0.9100, 0.9100, 20.0000
04/06/2015, 11:16, 0.9000, 0.9000, 0.9000, 0.9000, 2.0000
04/06/2015, 11:21, 0.8600, 0.8600, 0.8500, 0.8500, 1500.0000
04/06/2015, 11:23, 0.8400, 0.8400, 0.8400, 0.8400, 108.0000
04/06/2015, 11:31, 0.8700, 0.8700, 0.8700, 0.8700, 5.0000
04/06/2015, 11:45, 0.9000, 0.9000, 0.9000, 0.9000, 10.0000
04/06/2015, 11:52, 0.8800, 0.8800, 0.8800, 0.8800, 30.0000
04/06/2015, 12:02, 0.8300, 0.8300, 0.8300, 0.8300, 2414.0000
04/06/2015, 12:18, 0.8300, 0.8300, 0.8300, 0.8300, 4.0000
04/06/2015, 12:39, 0.8500, 0.8500, 0.8500, 0.8500, 80.0000
04/06/2015, 12:40, 0.8400, 0.8400, 0.8400, 0.8400, 11.0000
04/06/2015, 12:47, 0.8600, 0.8600, 0.8600, 0.8600, 4.0000
04/06/2015, 12:52, 0.8400, 0.8400, 0.8400, 0.8400, 7.0000
04/06/2015, 13:05, 0.8400, 0.8400, 0.8400, 0.8400, 1.0000
04/06/2015, 13:10, 0.8500, 0.8500, 0.8500, 0.8500, 1.0000
04/06/2015, 13:15, 0.8400, 0.8400, 0.8400, 0.8400, 2.0000
04/06/2015, 13:16, 0.8300, 0.8300, 0.8300, 0.8300, 1.0000
04/06/2015, 13:47, 0.8600, 0.8600, 0.8600, 0.8600, 3.0000
04/06/2015, 13:58, 0.8800, 0.8800, 0.8800, 0.8800, 1.0000
04/06/2015, 14:02, 0.9000, 0.9000, 0.9000, 0.9000, 12.0000
04/06/2015, 14:03, 0.8900, 0.8900, 0.8900, 0.8900, 2.0000
