Date, Time, Open, High, Low, Close, Volume
02/05/2015, 14:58, 3.5000, 3.5000, 3.5000, 3.5000, 2.0000
02/06/2015, 08:59, 3.4000, 3.4000, 3.4000, 3.4000, 1.0000
02/06/2015, 12:09, 3.3200, 3.3200, 3.3200, 3.3200, 4.0000
02/06/2015, 12:26, 3.8000, 3.8000, 3.8000, 3.8000, 10.0000
02/06/2015, 12:46, 3.6700, 3.6700, 3.6400, 3.6400, 50.0000
02/06/2015, 14:51, 3.8500, 3.8500, 3.8500, 3.8500, 1.0000
02/09/2015, 12:37, 3.9000, 3.9000, 3.9000, 3.9000, 1.0000
02/09/2015, 12:38, 3.9000, 3.9000, 3.9000, 3.9000, 1.0000
02/10/2015, 13:22, 4.0700, 4.0700, 4.0700, 4.0700, 13.0000
02/10/2015, 13:23, 4.0700, 4.0700, 4.0700, 4.0700, 87.0000
02/10/2015, 14:49, 3.6000, 3.6000, 3.6000, 3.6000, 10.0000
02/11/2015, 09:25, 4.1000, 4.1000, 4.1000, 4.1000, 10.0000
02/11/2015, 10:30, 3.6600, 3.6600, 3.6600, 3.6600, 1.0000
02/12/2015, 09:02, 2.8300, 2.8300, 2.8300, 2.8300, 15.0000
02/12/2015, 12:39, 2.5500, 2.5500, 2.5500, 2.5500, 2.0000
02/12/2015, 14:41, 2.4500, 2.4500, 2.4500, 2.4500, 1.0000
02/13/2015, 08:36, 2.1300, 2.1300, 2.1300, 2.1300, 40.0000
02/13/2015, 08:38, 2.0000, 2.0000, 2.0000, 2.0000, 5.0000
02/13/2015, 08:39, 1.8800, 1.8800, 1.8800, 1.8800, 1.0000
02/13/2015, 08:47, 1.9100, 1.9100, 1.9100, 1.9100, 5.0000
02/13/2015, 10:14, 1.9500, 1.9500, 1.9500, 1.9500, 180.0000
02/13/2015, 10:25, 1.9800, 1.9800, 1.9800, 1.9800, 190.0000
02/13/2015, 11:38, 2.1000, 2.1000, 2.1000, 2.1000, 5.0000
02/13/2015, 12:32, 2.2400, 2.2400, 2.2400, 2.2400, 1.0000
02/13/2015, 12:46, 2.2700, 2.2700, 2.2700, 2.2700, 40.0000
02/13/2015, 13:14, 2.1200, 2.1200, 2.1200, 2.1200, 1.0000
02/13/2015, 14:05, 1.8400, 1.8400, 1.7900, 1.7900, 95.0000
02/13/2015, 14:47, 1.7300, 1.7300, 1.7300, 1.7300, 2.0000
02/17/2015, 08:48, 1.8000, 1.8000, 1.8000, 1.8000, 44.0000
02/17/2015, 08:56, 1.6600, 1.6600, 1.6200, 1.6200, 17.0000
02/17/2015, 09:00, 1.5300, 1.5300, 1.5300, 1.5300, 21.0000
02/17/2015, 09:55, 1.7000, 1.7000, 1.7000, 1.7000, 3.0000
02/17/2015, 09:56, 1.6600, 1.6600, 1.6600, 1.6600, 10.0000
02/17/2015, 10:23, 1.6200, 1.6200, 1.6200, 1.6200, 10.0000
02/17/2015, 11:30, 1.5100, 1.5100, 1.5100, 1.5100, 11.0000
02/17/2015, 12:20, 1.3100, 1.3100, 1.3100, 1.3100, 20.0000
02/17/2015, 12:57, 1.5900, 1.5900, 1.5900, 1.5900, 10.0000
02/17/2015, 13:06, 1.5200, 1.5200, 1.5200, 1.5200, 10.0000
02/17/2015, 14:21, 1.6600, 1.6600, 1.6600, 1.6600, 10.0000
02/17/2015, 14:23, 1.6500, 1.6500, 1.6500, 1.6500, 3.0000
02/18/2015, 08:42, 1.5400, 1.5400, 1.5400, 1.5400, 5.0000
02/18/2015, 08:47, 1.5600, 1.5600, 1.5600, 1.5600, 1.0000
02/18/2015, 08:51, 1.6400, 1.6400, 1.6400, 1.6400, 15.0000
02/18/2015, 08:58, 1.6800, 1.6800, 1.6800, 1.6800, 10.0000
02/18/2015, 09:01, 1.8200, 1.8200, 1.8200, 1.8200, 56.0000
02/18/2015, 09:19, 1.8000, 1.8000, 1.8000, 1.8000, 10.0000
02/18/2015, 09:22, 1.8700, 1.9000, 1.8700, 1.9000, 16.0000
02/18/2015, 09:39, 1.5900, 1.5900, 1.5900, 1.5900, 10.0000
02/18/2015, 09:45, 1.5200, 1.5200, 1.5200, 1.5200, 1.0000
02/18/2015, 10:46, 1.5100, 1.5100, 1.5100, 1.5100, 20.0000
02/18/2015, 11:42, 1.7100, 1.7100, 1.7100, 1.7100, 21.0000
02/18/2015, 11:44, 1.7800, 1.7800, 1.7800, 1.7800, 5.0000
02/18/2015, 11:45, 1.6900, 1.6900, 1.6900, 1.6900, 10.0000
02/18/2015, 12:04, 1.5700, 1.5700, 1.5700, 1.5700, 10.0000
02/18/2015, 12:24, 1.7000, 1.7000, 1.7000, 1.7000, 5.0000
02/18/2015, 12:26, 1.6900, 1.6900, 1.6900, 1.6900, 96.0000
02/18/2015, 13:01, 1.3000, 1.3000, 1.3000, 1.3000, 10.0000
02/18/2015, 13:09, 1.3000, 1.3000, 1.3000, 1.3000, 2.0000
02/18/2015, 13:15, 1.3100, 1.3100, 1.3100, 1.3100, 5.0000
02/18/2015, 13:19, 1.4000, 1.4000, 1.4000, 1.4000, 7.0000
02/19/2015, 08:31, 1.3300, 1.3300, 1.3300, 1.3300, 72.0000
02/19/2015, 08:45, 1.3800, 1.3800, 1.3800, 1.3800, 10.0000
02/19/2015, 09:01, 1.4600, 1.4600, 1.4600, 1.4600, 15.0000
02/19/2015, 09:11, 1.1600, 1.1600, 1.1600, 1.1600, 10.0000
02/19/2015, 09:16, 1.0900, 1.0900, 1.0900, 1.0900, 25.0000
02/19/2015, 09:21, 1.0200, 1.0200, 1.0200, 1.0200, 10.0000
02/19/2015, 09:26, 0.9900, 0.9900, 0.9900, 0.9900, 11.0000
02/19/2015, 09:31, 1.0700, 1.0700, 1.0700, 1.0700, 1.0000
02/19/2015, 09:33, 1.0900, 1.0900, 1.0900, 1.0900, 100.0000
02/19/2015, 09:38, 1.0200, 1.0200, 1.0200, 1.0200, 100.0000
02/19/2015, 09:50, 1.0700, 1.0800, 1.0700, 1.0800, 100.0000
02/19/2015, 10:07, 1.0900, 1.0900, 1.0900, 1.0900, 2.0000
02/19/2015, 10:22, 1.0000, 1.0000, 1.0000, 1.0000, 100.0000
02/19/2015, 10:29, 0.9400, 0.9400, 0.9400, 0.9400, 2.0000
02/19/2015, 10:30, 0.9500, 0.9500, 0.9500, 0.9500, 1.0000
02/19/2015, 10:33, 0.9200, 0.9200, 0.9200, 0.9200, 1.0000
02/19/2015, 10:40, 0.9200, 0.9200, 0.9200, 0.9200, 2.0000
02/19/2015, 10:41, 0.9200, 0.9200, 0.9200, 0.9200, 2.0000
02/19/2015, 11:15, 0.8900, 0.8900, 0.8900, 0.8900, 75.0000
02/19/2015, 11:17, 0.9500, 0.9500, 0.9500, 0.9500, 250.0000
02/19/2015, 11:19, 0.9500, 0.9500, 0.9500, 0.9500, 44.0000
02/19/2015, 11:21, 0.8900, 0.8900, 0.8900, 0.8900, 21.0000
02/19/2015, 11:23, 0.9300, 0.9300, 0.9300, 0.9300, 260.0000
02/19/2015, 11:24, 0.9100, 0.9100, 0.9100, 0.9100, 14.0000
02/19/2015, 11:25, 0.9400, 0.9400, 0.9400, 0.9400, 251.0000
02/19/2015, 11:36, 1.0500, 1.0500, 1.0500, 1.0500, 30.0000
02/19/2015, 11:41, 1.0000, 1.0000, 1.0000, 1.0000, 300.0000
02/19/2015, 12:25, 0.9800, 0.9800, 0.9700, 0.9700, 40.0000
02/19/2015, 12:39, 0.8500, 0.8500, 0.8500, 0.8500, 40.0000
02/19/2015, 12:54, 0.8000, 0.8000, 0.8000, 0.8000, 72.0000
02/19/2015, 13:05, 0.8100, 0.8100, 0.8100, 0.8100, 1.0000
02/19/2015, 13:06, 0.8200, 0.8200, 0.8200, 0.8200, 1.0000
02/19/2015, 13:20, 0.8000, 0.8000, 0.8000, 0.8000, 300.0000
02/19/2015, 13:25, 0.9300, 0.9300, 0.9300, 0.9300, 30.0000
02/19/2015, 13:39, 1.1000, 1.1000, 1.1000, 1.1000, 20.0000
02/19/2015, 13:43, 1.1000, 1.1000, 1.1000, 1.1000, 20.0000
02/19/2015, 13:44, 0.9700, 0.9700, 0.9500, 0.9500, 40.0000
02/19/2015, 14:02, 0.8900, 0.8900, 0.8900, 0.8900, 13.0000
02/19/2015, 14:11, 0.8400, 0.8400, 0.8400, 0.8400, 1.0000
02/19/2015, 14:16, 0.9000, 0.9000, 0.9000, 0.9000, 5.0000
02/19/2015, 14:20, 0.9300, 0.9300, 0.9300, 0.9300, 20.0000
02/19/2015, 14:28, 0.9600, 0.9600, 0.9600, 0.9600, 3.0000
02/19/2015, 14:31, 1.0100, 1.0100, 1.0100, 1.0100, 23.0000
02/19/2015, 14:45, 1.0500, 1.0500, 1.0500, 1.0500, 2.0000
02/19/2015, 14:53, 1.0800, 1.0800, 1.0800, 1.0800, 60.0000
02/19/2015, 15:00, 0.9700, 0.9700, 0.9400, 0.9400, 22.0000
02/19/2015, 15:10, 0.9300, 0.9300, 0.9300, 0.9300, 1.0000
02/20/2015, 08:30, 1.1600, 1.1600, 1.1600, 1.1600, 25.0000
02/20/2015, 08:34, 1.0900, 1.0900, 1.0900, 1.0900, 1.0000
02/20/2015, 08:35, 1.1500, 1.1500, 1.1500, 1.1500, 26.0000
02/20/2015, 08:36, 1.2000, 1.2000, 1.2000, 1.2000, 2.0000
02/20/2015, 08:39, 1.5000, 1.5000, 1.5000, 1.5000, 10.0000
02/20/2015, 08:40, 1.7300, 1.7300, 1.7300, 1.7300, 10.0000
02/20/2015, 08:43, 1.6600, 1.6600, 1.6600, 1.6600, 15.0000
02/20/2015, 08:45, 1.6200, 1.6200, 1.6200, 1.6200, 180.0000
02/20/2015, 08:47, 1.6500, 1.6500, 1.6500, 1.6500, 180.0000
02/20/2015, 08:50, 1.8800, 1.8800, 1.8800, 1.8800, 25.0000
02/20/2015, 08:56, 1.7600, 1.7600, 1.7600, 1.7600, 5.0000
02/20/2015, 09:10, 1.7100, 1.7100, 1.7100, 1.7100, 15.0000
02/20/2015, 09:28, 1.7100, 1.7100, 1.7100, 1.7100, 1.0000
02/20/2015, 09:30, 1.7900, 1.7900, 1.7900, 1.7900, 10.0000
02/20/2015, 10:09, 1.1200, 1.1200, 1.1200, 1.1200, 20.0000
02/20/2015, 10:36, 1.1900, 1.1900, 1.1900, 1.1900, 20.0000
02/20/2015, 11:15, 0.9400, 0.9400, 0.9400, 0.9400, 1.0000
02/20/2015, 11:21, 0.9500, 0.9500, 0.9500, 0.9500, 8.0000
02/20/2015, 11:35, 0.8600, 0.8600, 0.8600, 0.8600, 33.0000
02/20/2015, 12:40, 0.9500, 0.9500, 0.9500, 0.9500, 1.0000
02/20/2015, 13:01, 0.9400, 0.9400, 0.9400, 0.9400, 15.0000
02/20/2015, 13:16, 0.8100, 0.8100, 0.8100, 0.8100, 1.0000
02/20/2015, 13:30, 0.9300, 0.9300, 0.9300, 0.9300, 1.0000
02/20/2015, 13:43, 0.9900, 0.9900, 0.9900, 0.9900, 2.0000
02/20/2015, 14:03, 0.6700, 0.6700, 0.6700, 0.6700, 10.0000
02/20/2015, 14:05, 0.6200, 0.6200, 0.6200, 0.6200, 100.0000
02/20/2015, 14:08, 0.5900, 0.5900, 0.5900, 0.5900, 1.0000
02/20/2015, 14:11, 0.5400, 0.5400, 0.5400, 0.5400, 1.0000
02/20/2015, 14:26, 0.7000, 0.7000, 0.7000, 0.7000, 1.0000
