Date, Time, Open, High, Low, Close, Volume
03/06/2015, 14:43, 2.4100, 2.4100, 2.4100, 2.4100, 1.0000
03/09/2015, 08:36, 1.9600, 1.9600, 1.9600, 1.9600, 1.0000
03/09/2015, 08:42, 2.0000, 2.0000, 2.0000, 2.0000, 5.0000
03/09/2015, 08:44, 1.9800, 1.9800, 1.9800, 1.9800, 2.0000
03/09/2015, 08:48, 2.0800, 2.0800, 2.0800, 2.0800, 1.0000
03/09/2015, 08:57, 1.9200, 1.9200, 1.9200, 1.9200, 1.0000
03/09/2015, 09:02, 1.9700, 1.9700, 1.9700, 1.9700, 23.0000
03/09/2015, 09:03, 1.9700, 1.9700, 1.9700, 1.9700, 23.0000
03/09/2015, 09:06, 1.9400, 1.9400, 1.9400, 1.9400, 5.0000
03/09/2015, 09:07, 1.9500, 1.9500, 1.9500, 1.9500, 2.0000
03/09/2015, 09:13, 1.9200, 1.9200, 1.9200, 1.9200, 10.0000
03/09/2015, 09:15, 2.0200, 2.0200, 2.0200, 2.0200, 5.0000
03/09/2015, 09:16, 2.0400, 2.0400, 2.0300, 2.0300, 46.0000
03/09/2015, 09:18, 2.0500, 2.0500, 2.0500, 2.0500, 14.0000
03/09/2015, 09:24, 2.0700, 2.0800, 2.0700, 2.0800, 2.0000
03/09/2015, 09:26, 2.1600, 2.1700, 2.1600, 2.1700, 16.0000
03/09/2015, 09:27, 2.1500, 2.1500, 2.1500, 2.1500, 5.0000
03/09/2015, 09:32, 2.0200, 2.0200, 2.0200, 2.0200, 10.0000
03/09/2015, 09:33, 2.0300, 2.0300, 2.0300, 2.0300, 1.0000
03/09/2015, 09:52, 1.9600, 1.9600, 1.9600, 1.9600, 1.0000
03/09/2015, 10:05, 2.0300, 2.0300, 2.0100, 2.0100, 28.0000
03/09/2015, 10:06, 1.9900, 1.9900, 1.9900, 1.9900, 18.0000
03/09/2015, 10:11, 1.9600, 1.9600, 1.9600, 1.9600, 5.0000
03/09/2015, 10:16, 1.9200, 1.9200, 1.9200, 1.9200, 50.0000
03/09/2015, 10:28, 1.9900, 1.9900, 1.9900, 1.9900, 20.0000
03/09/2015, 10:31, 1.9800, 1.9800, 1.9800, 1.9800, 1.0000
03/09/2015, 10:37, 1.9600, 1.9600, 1.9600, 1.9600, 1.0000
03/09/2015, 12:14, 1.9100, 1.9100, 1.9100, 1.9100, 1.0000
03/09/2015, 13:34, 1.8200, 1.8200, 1.8200, 1.8200, 2.0000
03/09/2015, 13:49, 1.8300, 1.8300, 1.8300, 1.8300, 2.0000
03/09/2015, 14:25, 1.7900, 1.7900, 1.7900, 1.7900, 2.0000
03/09/2015, 14:30, 1.7600, 1.7600, 1.7600, 1.7600, 2.0000
03/09/2015, 14:45, 1.7800, 1.7800, 1.7000, 1.7000, 4.0000
03/09/2015, 14:51, 1.7500, 1.7500, 1.7500, 1.7500, 5.0000
03/10/2015, 08:33, 2.6800, 2.6800, 2.6800, 2.6800, 1.0000
03/10/2015, 08:34, 2.7200, 2.7200, 2.7200, 2.7200, 9.0000
03/10/2015, 08:36, 2.6800, 2.6800, 2.6800, 2.6800, 20.0000
03/10/2015, 08:40, 2.7200, 2.7200, 2.7200, 2.7200, 2.0000
03/10/2015, 08:41, 2.7600, 2.7600, 2.7600, 2.7600, 1.0000
03/10/2015, 08:42, 2.7900, 2.8300, 2.7900, 2.8300, 3.0000
03/10/2015, 08:45, 2.9900, 2.9900, 2.9900, 2.9900, 2.0000
03/10/2015, 08:49, 2.8800, 2.8800, 2.8800, 2.8800, 1.0000
03/10/2015, 08:50, 3.0400, 3.0400, 3.0400, 3.0400, 1.0000
03/10/2015, 08:51, 2.9900, 2.9900, 2.9900, 2.9900, 1.0000
03/10/2015, 08:52, 2.8800, 2.8800, 2.8800, 2.8800, 5.0000
03/10/2015, 08:56, 2.8200, 2.8200, 2.8200, 2.8200, 1.0000
03/10/2015, 09:00, 2.8700, 2.8700, 2.8700, 2.8700, 10.0000
03/10/2015, 09:02, 2.8300, 2.8400, 2.8300, 2.8400, 2.0000
