Date, Time, Open, High, Low, Close, Volume
04/10/2015, 12:35, 0.8400, 0.8400, 0.8400, 0.8400, 15.0000
04/13/2015, 08:33, 0.6700, 0.6700, 0.6700, 0.6700, 15.0000
04/13/2015, 08:37, 0.7000, 0.7000, 0.6700, 0.6700, 11.0000
04/13/2015, 08:47, 0.6400, 0.6400, 0.6400, 0.6400, 14.0000
04/13/2015, 09:07, 0.5900, 0.5900, 0.5900, 0.5900, 15.0000
04/13/2015, 09:14, 0.5900, 0.5900, 0.5900, 0.5900, 6.0000
04/13/2015, 09:15, 0.6000, 0.6000, 0.6000, 0.6000, 5.0000
04/13/2015, 09:21, 0.5900, 0.5900, 0.5900, 0.5900, 5.0000
04/13/2015, 09:30, 0.5400, 0.5400, 0.5400, 0.5400, 20.0000
04/13/2015, 09:33, 0.5200, 0.5200, 0.5200, 0.5200, 1.0000
04/13/2015, 09:42, 0.5300, 0.5300, 0.5300, 0.5300, 65.0000
04/13/2015, 09:46, 0.5400, 0.5400, 0.5400, 0.5400, 40.0000
04/13/2015, 10:02, 0.5600, 0.5600, 0.5600, 0.5600, 93.0000
04/13/2015, 10:15, 0.5300, 0.5300, 0.5300, 0.5300, 13.0000
04/13/2015, 10:16, 0.5300, 0.5300, 0.5300, 0.5300, 40.0000
04/13/2015, 10:18, 0.5400, 0.5400, 0.5400, 0.5400, 40.0000
04/13/2015, 10:27, 0.5100, 0.5100, 0.5100, 0.5100, 40.0000
04/13/2015, 10:50, 0.5200, 0.5200, 0.5200, 0.5200, 9.0000
04/13/2015, 11:02, 0.5500, 0.5500, 0.5500, 0.5500, 4.0000
04/13/2015, 11:05, 0.5500, 0.5500, 0.5500, 0.5500, 5.0000
04/13/2015, 12:06, 0.6300, 0.6300, 0.6300, 0.6300, 40.0000
04/13/2015, 12:07, 0.6200, 0.6200, 0.6200, 0.6200, 10.0000
04/13/2015, 12:15, 0.6600, 0.6600, 0.6600, 0.6600, 40.0000
04/13/2015, 12:49, 0.7300, 0.7300, 0.7300, 0.7300, 7.0000
04/13/2015, 13:24, 0.7000, 0.7000, 0.7000, 0.7000, 10.0000
04/13/2015, 13:26, 0.7100, 0.7100, 0.7100, 0.7100, 25.0000
04/13/2015, 13:42, 0.6400, 0.6400, 0.6400, 0.6400, 3.0000
04/13/2015, 13:51, 0.7200, 0.7200, 0.7200, 0.7200, 3.0000
04/13/2015, 14:12, 0.7200, 0.7200, 0.7200, 0.7200, 8.0000
04/13/2015, 14:13, 0.7200, 0.7200, 0.7200, 0.7200, 50.0000
04/13/2015, 14:15, 0.7100, 0.7200, 0.7100, 0.7100, 126.0000
04/13/2015, 14:16, 0.7100, 0.7100, 0.7100, 0.7100, 26.0000
04/13/2015, 14:17, 0.7100, 0.7100, 0.7100, 0.7100, 74.0000
04/13/2015, 14:20, 0.7300, 0.7300, 0.7300, 0.7300, 32.0000
04/13/2015, 14:25, 0.7500, 0.7500, 0.7500, 0.7500, 42.0000
04/13/2015, 14:33, 0.7600, 0.7600, 0.7600, 0.7600, 5.0000
04/13/2015, 14:43, 0.7500, 0.7500, 0.7400, 0.7400, 47.0000
04/14/2015, 08:30, 0.7300, 0.7300, 0.7300, 0.7300, 10.0000
04/14/2015, 08:33, 0.6300, 0.6300, 0.6300, 0.6300, 20.0000
04/14/2015, 08:45, 0.7700, 0.7700, 0.7700, 0.7700, 11.0000
04/14/2015, 08:47, 0.8000, 0.8000, 0.8000, 0.8000, 10.0000
04/14/2015, 08:52, 0.8300, 0.8300, 0.8300, 0.8300, 10.0000
04/14/2015, 08:53, 0.8500, 0.8500, 0.8500, 0.8500, 9.0000
04/14/2015, 08:54, 0.8500, 0.8500, 0.8500, 0.8500, 16.0000
04/14/2015, 09:03, 0.9800, 0.9800, 0.9800, 0.9800, 28.0000
04/14/2015, 09:04, 1.0200, 1.0200, 1.0200, 1.0200, 28.0000
04/14/2015, 09:30, 0.9700, 0.9700, 0.9700, 0.9700, 14.0000
04/14/2015, 09:36, 1.0200, 1.0200, 1.0200, 1.0200, 1.0000
04/14/2015, 09:39, 0.9700, 0.9700, 0.9700, 0.9700, 10.0000
