Date, Time, Open, High, Low, Close, Volume
01/15/2015, 14:52, 2.4600, 2.4600, 2.4600, 2.4600, 5.0000
01/16/2015, 08:35, 2.6600, 2.6600, 2.6600, 2.6600, 50.0000
01/16/2015, 08:55, 2.6600, 2.6600, 2.6600, 2.6600, 139.0000
01/16/2015, 08:56, 2.6700, 2.6700, 2.6700, 2.6700, 24.0000
01/16/2015, 09:01, 2.7900, 2.7900, 2.7900, 2.7900, 10.0000
01/16/2015, 09:02, 2.8900, 2.8900, 2.8900, 2.8900, 100.0000
01/16/2015, 09:06, 2.8100, 2.8100, 2.8100, 2.8100, 15.0000
01/16/2015, 09:08, 2.8600, 2.8600, 2.8600, 2.8600, 50.0000
01/16/2015, 09:24, 2.8500, 2.8500, 2.8500, 2.8500, 25.0000
01/16/2015, 09:31, 2.9800, 3.0000, 2.9800, 3.0000, 13.0000
01/16/2015, 13:10, 3.1000, 3.1000, 3.1000, 3.1000, 75.0000
01/16/2015, 13:11, 3.1200, 3.1200, 3.1200, 3.1200, 1.0000
01/16/2015, 14:38, 3.3500, 3.3500, 3.3500, 3.3500, 25.0000
01/16/2015, 14:39, 3.3300, 3.3300, 3.3300, 3.3300, 3.0000
01/16/2015, 14:41, 3.4000, 3.4000, 3.4000, 3.4000, 25.0000
01/16/2015, 14:48, 3.5000, 3.5000, 3.5000, 3.5000, 25.0000
01/16/2015, 14:52, 3.6000, 3.6000, 3.6000, 3.6000, 25.0000
01/16/2015, 14:58, 3.7000, 3.7000, 3.7000, 3.7000, 25.0000
01/20/2015, 08:43, 3.1600, 3.1600, 3.1600, 3.1600, 75.0000
01/20/2015, 08:50, 3.1800, 3.1800, 3.1800, 3.1800, 2.0000
01/20/2015, 08:56, 2.9600, 2.9600, 2.9600, 2.9600, 3.0000
01/20/2015, 08:59, 2.9700, 2.9700, 2.9700, 2.9700, 3.0000
01/20/2015, 09:12, 3.0200, 3.0200, 3.0200, 3.0200, 2.0000
01/20/2015, 09:47, 2.6200, 2.6200, 2.6200, 2.6200, 2.0000
01/20/2015, 10:04, 2.5800, 2.5800, 2.5800, 2.5800, 2.0000
01/20/2015, 13:08, 2.8300, 2.8300, 2.8300, 2.8300, 2.0000
01/20/2015, 13:40, 3.0300, 3.0300, 3.0300, 3.0300, 2.0000
01/20/2015, 13:42, 3.1700, 3.1700, 3.1700, 3.1700, 10.0000
