Date, Time, Open, High, Low, Close, Volume
01/15/2015, 14:56, 0.4000, 0.4000, 0.4000, 0.4000, 5.0000
01/16/2015, 08:32, 0.3600, 0.3600, 0.3600, 0.3600, 1.0000
01/16/2015, 08:35, 0.4100, 0.4400, 0.4100, 0.4400, 7.0000
01/16/2015, 09:00, 0.5100, 0.5100, 0.5100, 0.5100, 156.0000
01/16/2015, 09:07, 0.5000, 0.5000, 0.5000, 0.5000, 75.0000
01/16/2015, 09:10, 0.4900, 0.4900, 0.4900, 0.4900, 10.0000
01/16/2015, 09:19, 0.4800, 0.4800, 0.4800, 0.4800, 5.0000
01/16/2015, 09:46, 0.6100, 0.6100, 0.6000, 0.6000, 20.0000
01/16/2015, 09:54, 0.5700, 0.5700, 0.5700, 0.5700, 5.0000
01/16/2015, 11:58, 0.5700, 0.5700, 0.5700, 0.5700, 16.0000
01/16/2015, 12:04, 0.5500, 0.5500, 0.5500, 0.5500, 956.0000
01/16/2015, 12:12, 0.5400, 0.5400, 0.5400, 0.5400, 1197.0000
01/16/2015, 12:13, 0.5400, 0.5400, 0.5400, 0.5400, 130.0000
01/16/2015, 12:18, 0.5400, 0.5400, 0.5400, 0.5400, 16.0000
01/16/2015, 12:58, 0.5600, 0.5600, 0.5600, 0.5600, 1500.0000
01/16/2015, 13:17, 0.5600, 0.5600, 0.5600, 0.5600, 3.0000
01/16/2015, 14:23, 0.6000, 0.6000, 0.6000, 0.6000, 4.0000
01/16/2015, 14:29, 0.5900, 0.5900, 0.5900, 0.5900, 1.0000
01/16/2015, 14:47, 0.6700, 0.6700, 0.6700, 0.6700, 1.0000
01/16/2015, 14:55, 0.7100, 0.7100, 0.7100, 0.7100, 1.0000
01/20/2015, 08:30, 0.5700, 0.5800, 0.5400, 0.5800, 368.0000
01/20/2015, 08:31, 0.5800, 0.5800, 0.5800, 0.5800, 19.0000
01/20/2015, 08:44, 0.5300, 0.5300, 0.5300, 0.5300, 12.0000
01/20/2015, 08:50, 0.5000, 0.5000, 0.5000, 0.5000, 16.0000
01/20/2015, 08:55, 0.4500, 0.4500, 0.4500, 0.4500, 50.0000
01/20/2015, 09:08, 0.4400, 0.4400, 0.4400, 0.4400, 6.0000
01/20/2015, 09:28, 0.4000, 0.4000, 0.4000, 0.4000, 100.0000
01/20/2015, 09:35, 0.3500, 0.3500, 0.3500, 0.3500, 100.0000
01/20/2015, 09:39, 0.3400, 0.3400, 0.3400, 0.3400, 2.0000
01/20/2015, 09:40, 0.3400, 0.3400, 0.3400, 0.3400, 1.0000
01/20/2015, 10:11, 0.3300, 0.3300, 0.3300, 0.3300, 7.0000
01/20/2015, 10:20, 0.3300, 0.3300, 0.3300, 0.3300, 10.0000
01/20/2015, 10:35, 0.3200, 0.3200, 0.3200, 0.3200, 10.0000
01/20/2015, 10:47, 0.2900, 0.2900, 0.2900, 0.2900, 2.0000
01/20/2015, 13:08, 0.3600, 0.3600, 0.3600, 0.3600, 2.0000
01/20/2015, 13:25, 0.3600, 0.3600, 0.3600, 0.3600, 20.0000
01/20/2015, 13:35, 0.3900, 0.3900, 0.3900, 0.3900, 5.0000
01/20/2015, 14:25, 0.4400, 0.4400, 0.4400, 0.4400, 2.0000
01/20/2015, 14:48, 0.4200, 0.4200, 0.4200, 0.4200, 1.0000
01/20/2015, 14:54, 0.3500, 0.3500, 0.3500, 0.3500, 2.0000
01/20/2015, 14:55, 0.3800, 0.3800, 0.3800, 0.3800, 42.0000
01/20/2015, 14:56, 0.3700, 0.3900, 0.3700, 0.3800, 996.0000
01/20/2015, 14:57, 0.3800, 0.3900, 0.3700, 0.3800, 330.0000
01/20/2015, 14:59, 0.3900, 0.4000, 0.3800, 0.3900, 132.0000
01/21/2015, 08:31, 0.3000, 0.3000, 0.3000, 0.3000, 150.0000
01/21/2015, 08:39, 0.3600, 0.3600, 0.3600, 0.3600, 5.0000
01/21/2015, 09:28, 0.3600, 0.3600, 0.3600, 0.3600, 1.0000
01/21/2015, 09:29, 0.3700, 0.3700, 0.3700, 0.3700, 24.0000
01/21/2015, 09:31, 0.3700, 0.3700, 0.3700, 0.3700, 6.0000
01/21/2015, 09:34, 0.3600, 0.3600, 0.3600, 0.3600, 9.0000
01/21/2015, 09:39, 0.3300, 0.3300, 0.3300, 0.3300, 40.0000
01/21/2015, 09:40, 0.3300, 0.3300, 0.3300, 0.3300, 6.0000
01/21/2015, 09:48, 0.3700, 0.3700, 0.3700, 0.3700, 1.0000
01/21/2015, 09:51, 0.3900, 0.3900, 0.3900, 0.3900, 130.0000
01/21/2015, 10:00, 0.4100, 0.4100, 0.4100, 0.4100, 10.0000
01/21/2015, 10:20, 0.3400, 0.3400, 0.3400, 0.3400, 24.0000
01/21/2015, 11:04, 0.3500, 0.3500, 0.3500, 0.3500, 12.0000
01/21/2015, 12:03, 0.3200, 0.3200, 0.3200, 0.3200, 10.0000
01/21/2015, 12:26, 0.2700, 0.2700, 0.2700, 0.2700, 60.0000
01/21/2015, 12:27, 0.2800, 0.2800, 0.2400, 0.2500, 53.0000
01/21/2015, 12:37, 0.2200, 0.2200, 0.2200, 0.2200, 1.0000
01/21/2015, 12:55, 0.2300, 0.2300, 0.2300, 0.2300, 2.0000
01/21/2015, 13:00, 0.2000, 0.2000, 0.2000, 0.2000, 1.0000
01/21/2015, 13:27, 0.2200, 0.2200, 0.2200, 0.2200, 15.0000
01/21/2015, 13:32, 0.2200, 0.2200, 0.2200, 0.2200, 15.0000
01/21/2015, 13:43, 0.2100, 0.2100, 0.2100, 0.2100, 8.0000
01/21/2015, 13:44, 0.2300, 0.2300, 0.2300, 0.2300, 3783.0000
01/21/2015, 13:45, 0.2300, 0.2300, 0.2300, 0.2300, 15.0000
01/21/2015, 14:21, 0.2300, 0.2300, 0.2300, 0.2300, 24.0000
01/21/2015, 14:39, 0.2400, 0.2400, 0.2400, 0.2400, 5.0000
01/21/2015, 14:46, 0.2300, 0.2300, 0.2300, 0.2300, 5.0000
01/21/2015, 14:49, 0.2400, 0.2400, 0.2400, 0.2400, 10.0000
01/21/2015, 14:50, 0.2400, 0.2400, 0.2400, 0.2400, 5.0000
01/21/2015, 14:51, 0.2200, 0.2200, 0.2200, 0.2200, 10.0000
01/21/2015, 14:54, 0.2300, 0.2400, 0.2300, 0.2400, 12.0000
01/21/2015, 14:55, 0.2400, 0.2400, 0.2400, 0.2400, 8.0000
01/22/2015, 08:30, 0.3100, 0.3100, 0.3100, 0.3100, 1.0000
