Date, Time, Open, High, Low, Close, Volume
01/15/2015, 14:55, 1.5600, 1.5600, 1.5600, 1.5600, 6.0000
01/16/2015, 08:44, 1.2500, 1.2500, 1.2500, 1.2500, 5.0000
01/16/2015, 09:04, 1.3400, 1.3400, 1.3400, 1.3400, 75.0000
01/16/2015, 09:11, 1.3600, 1.3600, 1.3600, 1.3600, 100.0000
01/16/2015, 09:34, 1.2600, 1.2600, 1.2600, 1.2600, 5.0000
01/16/2015, 09:38, 1.3000, 1.3000, 1.3000, 1.3000, 5.0000
01/16/2015, 09:48, 1.2800, 1.2800, 1.2800, 1.2800, 10.0000
01/16/2015, 10:01, 1.2100, 1.2100, 1.2100, 1.2100, 20.0000
01/16/2015, 10:02, 1.2200, 1.2200, 1.2200, 1.2200, 5.0000
01/16/2015, 11:58, 1.1300, 1.1300, 1.1300, 1.1300, 4.0000
01/16/2015, 12:04, 1.1300, 1.1300, 1.1300, 1.1300, 10.0000
01/16/2015, 12:31, 1.1600, 1.1600, 1.1600, 1.1600, 155.0000
01/16/2015, 14:43, 0.9700, 0.9700, 0.9700, 0.9700, 6.0000
01/16/2015, 14:47, 0.9500, 0.9500, 0.9500, 0.9500, 14.0000
01/20/2015, 08:33, 0.6800, 0.6800, 0.6800, 0.6800, 5.0000
01/20/2015, 08:44, 0.8100, 0.8100, 0.8100, 0.8100, 20.0000
01/20/2015, 08:51, 0.9000, 0.9000, 0.9000, 0.9000, 50.0000
01/20/2015, 08:52, 0.9000, 0.9000, 0.9000, 0.9000, 75.0000
01/20/2015, 09:04, 1.0100, 1.0100, 1.0100, 1.0100, 1.0000
01/20/2015, 09:28, 0.9100, 0.9100, 0.9100, 0.9100, 17.0000
01/20/2015, 09:34, 1.0200, 1.0200, 1.0200, 1.0200, 50.0000
01/20/2015, 09:37, 1.0100, 1.0100, 1.0100, 1.0100, 10.0000
01/20/2015, 10:11, 0.9800, 0.9800, 0.9800, 0.9800, 3.0000
01/20/2015, 14:32, 0.7800, 0.7800, 0.7800, 0.7800, 5.0000
01/21/2015, 08:35, 0.9200, 0.9200, 0.8700, 0.8700, 13.0000
01/21/2015, 08:36, 0.8100, 0.8100, 0.8100, 0.8100, 1.0000
01/21/2015, 08:38, 0.7500, 0.7500, 0.7500, 0.7500, 7.0000
01/21/2015, 08:42, 0.6400, 0.6400, 0.6400, 0.6400, 1.0000
01/21/2015, 09:19, 0.6400, 0.6400, 0.6400, 0.6400, 14.0000
01/21/2015, 09:26, 0.6500, 0.6500, 0.6500, 0.6500, 50.0000
01/21/2015, 09:57, 0.5700, 0.5700, 0.5700, 0.5700, 1.0000
01/21/2015, 10:41, 0.6600, 0.6600, 0.6600, 0.6600, 24.0000
01/21/2015, 11:16, 0.5900, 0.5900, 0.5900, 0.5900, 22.0000
01/21/2015, 12:18, 0.6600, 0.6600, 0.6600, 0.6600, 11.0000
01/21/2015, 12:22, 0.6600, 0.6600, 0.6600, 0.6600, 19.0000
01/21/2015, 12:47, 0.7600, 0.7600, 0.7600, 0.7600, 30.0000
01/21/2015, 13:10, 0.8900, 0.8900, 0.8900, 0.8900, 2.0000
01/21/2015, 13:31, 0.8300, 0.8300, 0.8300, 0.8300, 10.0000
01/21/2015, 13:40, 0.8800, 0.8800, 0.8800, 0.8800, 5.0000
01/21/2015, 13:43, 0.8400, 0.8400, 0.8400, 0.8400, 20.0000
01/21/2015, 13:57, 0.7600, 0.7600, 0.7600, 0.7600, 24.0000
01/21/2015, 14:11, 0.8500, 0.8600, 0.8500, 0.8600, 78.0000
01/21/2015, 14:12, 0.8600, 0.8600, 0.8600, 0.8600, 11.0000
01/21/2015, 14:13, 0.8200, 0.8200, 0.8200, 0.8200, 20.0000
01/21/2015, 14:14, 0.8200, 0.8200, 0.8100, 0.8100, 71.0000
01/21/2015, 14:18, 0.7700, 0.7700, 0.7700, 0.7700, 5.0000
01/21/2015, 14:20, 0.7700, 0.7700, 0.7700, 0.7700, 50.0000
01/21/2015, 14:45, 0.7700, 0.7700, 0.7700, 0.7700, 5.0000
01/21/2015, 15:11, 0.7400, 0.7400, 0.7400, 0.7400, 10.0000
01/21/2015, 15:13, 0.7400, 0.7400, 0.7400, 0.7400, 5.0000
01/22/2015, 08:32, 0.5500, 0.5500, 0.5500, 0.5500, 1.0000
01/22/2015, 08:35, 0.6400, 0.6400, 0.6300, 0.6300, 109.0000
01/22/2015, 08:36, 0.6300, 0.6300, 0.6300, 0.6300, 10.0000
01/22/2015, 08:40, 0.7500, 0.7500, 0.7500, 0.7500, 1.0000
01/22/2015, 08:44, 0.6900, 0.7000, 0.6900, 0.6900, 30.0000
01/22/2015, 08:45, 0.7200, 0.7200, 0.7200, 0.7200, 10.0000
01/22/2015, 08:46, 0.7400, 0.7400, 0.7400, 0.7400, 1.0000
01/22/2015, 08:56, 0.6900, 0.6900, 0.6900, 0.6900, 13.0000
01/22/2015, 09:08, 0.5900, 0.5900, 0.5900, 0.5900, 1.0000
01/22/2015, 09:39, 0.4200, 0.4200, 0.4200, 0.4200, 5.0000
01/22/2015, 09:40, 0.4200, 0.4200, 0.4200, 0.4200, 10.0000
01/22/2015, 10:18, 0.3700, 0.3700, 0.3700, 0.3700, 10.0000
01/22/2015, 10:30, 0.3300, 0.3300, 0.3300, 0.3300, 5.0000
01/22/2015, 13:00, 0.2800, 0.2800, 0.2800, 0.2800, 10.0000
01/22/2015, 13:26, 0.2300, 0.2300, 0.2300, 0.2300, 1.0000
01/22/2015, 13:45, 0.2000, 0.2000, 0.2000, 0.2000, 5.0000
01/22/2015, 13:55, 0.1800, 0.1800, 0.1800, 0.1800, 10.0000
01/22/2015, 14:25, 0.1800, 0.1800, 0.1800, 0.1800, 2.0000
01/22/2015, 14:47, 0.1800, 0.1800, 0.1800, 0.1800, 5.0000
01/22/2015, 14:57, 0.1800, 0.1800, 0.1800, 0.1800, 5.0000
01/22/2015, 15:05, 0.1600, 0.1600, 0.1600, 0.1600, 20.0000
01/22/2015, 15:06, 0.1600, 0.1600, 0.1600, 0.1600, 5.0000
01/23/2015, 08:31, 0.1600, 0.1600, 0.1600, 0.1600, 278.0000
01/23/2015, 08:35, 0.1400, 0.1400, 0.1400, 0.1400, 100.0000
01/23/2015, 08:38, 0.1300, 0.1300, 0.1300, 0.1300, 100.0000
01/23/2015, 08:46, 0.1500, 0.1500, 0.1500, 0.1500, 10.0000
01/23/2015, 08:56, 0.1800, 0.1800, 0.1800, 0.1800, 2.0000
01/23/2015, 09:00, 0.1600, 0.1600, 0.1600, 0.1600, 200.0000
01/23/2015, 09:11, 0.1600, 0.1600, 0.1600, 0.1600, 5.0000
01/23/2015, 09:21, 0.1800, 0.1800, 0.1800, 0.1800, 24.0000
01/23/2015, 09:43, 0.2100, 0.2100, 0.2100, 0.2100, 20.0000
01/23/2015, 09:45, 0.2100, 0.2100, 0.2100, 0.2100, 10.0000
01/23/2015, 09:48, 0.2000, 0.2000, 0.2000, 0.2000, 20.0000
01/23/2015, 10:24, 0.1200, 0.1200, 0.1200, 0.1200, 15.0000
01/23/2015, 10:57, 0.1500, 0.1500, 0.1500, 0.1500, 25.0000
01/23/2015, 10:59, 0.1400, 0.1400, 0.1400, 0.1400, 107.0000
01/23/2015, 11:00, 0.1400, 0.1400, 0.1400, 0.1400, 55.0000
01/23/2015, 11:02, 0.1400, 0.1400, 0.1400, 0.1400, 2.0000
01/23/2015, 11:37, 0.1200, 0.1200, 0.1200, 0.1200, 247.0000
01/23/2015, 11:42, 0.1200, 0.1200, 0.1200, 0.1200, 2.0000
01/23/2015, 11:51, 0.1200, 0.1200, 0.1200, 0.1200, 5.0000
01/23/2015, 12:04, 0.1200, 0.1200, 0.1200, 0.1200, 20.0000
01/23/2015, 12:17, 0.1200, 0.1200, 0.1200, 0.1200, 30.0000
01/23/2015, 13:03, 0.1200, 0.1200, 0.1200, 0.1200, 2.0000
01/23/2015, 13:26, 0.1200, 0.1200, 0.1200, 0.1200, 1.0000
01/23/2015, 13:53, 0.1200, 0.1200, 0.1200, 0.1200, 10.0000
01/23/2015, 13:55, 0.1200, 0.1200, 0.1200, 0.1200, 20.0000
01/23/2015, 14:06, 0.1500, 0.1500, 0.1500, 0.1500, 1.0000
01/23/2015, 14:42, 0.1200, 0.1200, 0.1200, 0.1200, 10.0000
01/23/2015, 14:50, 0.1300, 0.1300, 0.1300, 0.1300, 1.0000
01/23/2015, 14:54, 0.1300, 0.1300, 0.1300, 0.1300, 10.0000
01/23/2015, 14:55, 0.1400, 0.1400, 0.1400, 0.1400, 1.0000
01/23/2015, 15:03, 0.1300, 0.1300, 0.1300, 0.1300, 5.0000
01/23/2015, 15:07, 0.1400, 0.1400, 0.1200, 0.1200, 20.0000
01/23/2015, 15:13, 0.1400, 0.1400, 0.1400, 0.1400, 15.0000
01/26/2015, 08:32, 0.1300, 0.1300, 0.1300, 0.1300, 16.0000
01/26/2015, 08:38, 0.1100, 0.1100, 0.1100, 0.1100, 45.0000
01/26/2015, 08:39, 0.1100, 0.1100, 0.1100, 0.1100, 45.0000
01/26/2015, 08:40, 0.1200, 0.1200, 0.1200, 0.1200, 40.0000
01/26/2015, 08:43, 0.1200, 0.1200, 0.1200, 0.1200, 120.0000
01/26/2015, 08:46, 0.1500, 0.1600, 0.1500, 0.1600, 35.0000
