Date, Time, Open, High, Low, Close, Volume
01/16/2015, 08:30, 3.1000, 3.1000, 3.1000, 3.1000, 2.0000
01/16/2015, 08:33, 3.0000, 3.0000, 2.9700, 2.9700, 5.0000
01/16/2015, 09:10, 2.6800, 2.6800, 2.6800, 2.6800, 10.0000
01/16/2015, 10:07, 2.4200, 2.4200, 2.4200, 2.4200, 40.0000
01/16/2015, 10:14, 2.5000, 2.5000, 2.5000, 2.5000, 15.0000
01/16/2015, 10:24, 2.5300, 2.5300, 2.5300, 2.5300, 6.0000
01/16/2015, 10:39, 2.3600, 2.3600, 2.3600, 2.3600, 10.0000
01/16/2015, 11:48, 2.2700, 2.2700, 2.2700, 2.2700, 20.0000
01/16/2015, 11:52, 2.2400, 2.2400, 2.2400, 2.2400, 5.0000
01/16/2015, 11:55, 2.2700, 2.2700, 2.2700, 2.2700, 10.0000
01/16/2015, 12:06, 2.2800, 2.2800, 2.2800, 2.2800, 20.0000
01/16/2015, 13:18, 2.3100, 2.3100, 2.3100, 2.3100, 4.0000
01/16/2015, 13:25, 2.3200, 2.3200, 2.3200, 2.3200, 5.0000
01/16/2015, 14:25, 2.1500, 2.1500, 2.1500, 2.1500, 1.0000
01/16/2015, 14:28, 2.1500, 2.1500, 2.1500, 2.1500, 40.0000
01/16/2015, 14:37, 2.0700, 2.0700, 2.0700, 2.0700, 6.0000
01/16/2015, 14:50, 1.9100, 1.9100, 1.9100, 1.9100, 11.0000
01/16/2015, 14:58, 1.8200, 1.8200, 1.8200, 1.8200, 40.0000
01/16/2015, 14:59, 1.8200, 1.8600, 1.8200, 1.8600, 712.0000
01/20/2015, 08:31, 1.7400, 1.7400, 1.7400, 1.7400, 15.0000
01/20/2015, 08:33, 1.6000, 1.6000, 1.6000, 1.6000, 32.0000
01/20/2015, 08:40, 1.7700, 1.7700, 1.7700, 1.7700, 16.0000
01/20/2015, 08:44, 1.8100, 1.8400, 1.8100, 1.8400, 26.0000
01/20/2015, 08:45, 1.7500, 1.7500, 1.7500, 1.7500, 15.0000
01/20/2015, 08:50, 1.9300, 1.9300, 1.9300, 1.9300, 14.0000
01/20/2015, 08:51, 1.9300, 1.9300, 1.9300, 1.9300, 1.0000
01/20/2015, 08:52, 1.9700, 2.0700, 1.9700, 2.0700, 143.0000
