Date, Time, Open, High, Low, Close, Volume
04/17/2015, 15:13, 1.4500, 1.4500, 1.4500, 1.4500, 10.0000
04/20/2015, 08:30, 1.8700, 1.8700, 1.8300, 1.8600, 28.0000
04/20/2015, 08:31, 1.8700, 1.9100, 1.8700, 1.9100, 111.0000
04/20/2015, 08:32, 1.9700, 1.9700, 1.9500, 1.9500, 90.0000
04/20/2015, 08:33, 1.9400, 2.0200, 1.9400, 2.0200, 56.0000
04/20/2015, 08:34, 1.9800, 1.9800, 1.9300, 1.9300, 243.0000
04/20/2015, 08:35, 2.0000, 2.0700, 2.0000, 2.0500, 45.0000
04/20/2015, 08:36, 2.0700, 2.0700, 2.0700, 2.0700, 10.0000
04/20/2015, 08:37, 2.0500, 2.0500, 2.0000, 2.0000, 32.0000
04/20/2015, 08:38, 2.0000, 2.0000, 1.9800, 1.9800, 24.0000
04/20/2015, 08:40, 1.9200, 1.9600, 1.9200, 1.9600, 30.0000
04/20/2015, 08:41, 1.9500, 1.9500, 1.9400, 1.9400, 8.0000
04/20/2015, 08:42, 1.9800, 1.9800, 1.9800, 1.9800, 1.0000
04/20/2015, 08:44, 2.0000, 2.0000, 1.9900, 1.9900, 17.0000
04/20/2015, 08:45, 2.0000, 2.0600, 2.0000, 2.0600, 49.0000
04/20/2015, 08:47, 2.1200, 2.2000, 2.1200, 2.2000, 25.0000
04/20/2015, 08:48, 2.1800, 2.1900, 2.1800, 2.1900, 8.0000
04/20/2015, 08:49, 2.1600, 2.1600, 2.1600, 2.1600, 100.0000
04/20/2015, 08:50, 2.2200, 2.2200, 2.2200, 2.2200, 1.0000
04/20/2015, 08:51, 2.2100, 2.2100, 2.2100, 2.2100, 3.0000
04/20/2015, 08:52, 2.1900, 2.1900, 2.1900, 2.1900, 20.0000
04/20/2015, 08:53, 2.1600, 2.1600, 2.1600, 2.1600, 1.0000
04/20/2015, 08:54, 2.1500, 2.1500, 2.1500, 2.1500, 20.0000
04/20/2015, 08:55, 2.1500, 2.1500, 2.1300, 2.1300, 45.0000
04/20/2015, 08:59, 2.1200, 2.1200, 2.1200, 2.1200, 12.0000
04/20/2015, 09:02, 2.1400, 2.1400, 2.1400, 2.1400, 210.0000
04/20/2015, 09:03, 2.0900, 2.0900, 2.0900, 2.0900, 81.0000
04/20/2015, 09:10, 2.1200, 2.1200, 2.1200, 2.1200, 10.0000
04/20/2015, 09:20, 2.0300, 2.0300, 2.0300, 2.0300, 5.0000
04/20/2015, 09:25, 2.0600, 2.0600, 2.0600, 2.0600, 1.0000
04/20/2015, 09:27, 2.1100, 2.1100, 2.1100, 2.1100, 3.0000
04/20/2015, 09:33, 2.1200, 2.1200, 2.1200, 2.1200, 10.0000
04/20/2015, 09:36, 2.1400, 2.1400, 2.1400, 2.1400, 33.0000
04/20/2015, 09:43, 2.1200, 2.1200, 2.1200, 2.1200, 10.0000
04/20/2015, 09:45, 2.1200, 2.1200, 2.1200, 2.1200, 79.0000
04/20/2015, 09:47, 2.1200, 2.1200, 2.1200, 2.1200, 2.0000
04/20/2015, 09:51, 2.1300, 2.1300, 2.1300, 2.1300, 4.0000
04/20/2015, 09:53, 2.1100, 2.1100, 2.1100, 2.1100, 73.0000
04/20/2015, 09:54, 2.1400, 2.1500, 2.1400, 2.1500, 23.0000
04/20/2015, 09:56, 2.2000, 2.2700, 2.2000, 2.2700, 29.0000
04/20/2015, 10:00, 2.2800, 2.3000, 2.2800, 2.3000, 89.0000
04/20/2015, 10:01, 2.3300, 2.3300, 2.3300, 2.3300, 3.0000
04/20/2015, 10:02, 2.3800, 2.3800, 2.3800, 2.3800, 5.0000
04/20/2015, 10:03, 2.3500, 2.3500, 2.3500, 2.3500, 2.0000
04/20/2015, 10:06, 2.3800, 2.3800, 2.3500, 2.3500, 21.0000
04/20/2015, 10:09, 2.3400, 2.3400, 2.3400, 2.3400, 2.0000
04/20/2015, 10:17, 2.2700, 2.2700, 2.2700, 2.2700, 168.0000
04/20/2015, 10:18, 2.2500, 2.2500, 2.2500, 2.2500, 1.0000
04/20/2015, 10:19, 2.2600, 2.2600, 2.2600, 2.2600, 15.0000
04/20/2015, 10:44, 2.3300, 2.3300, 2.3300, 2.3300, 1.0000
04/20/2015, 10:49, 2.2800, 2.2800, 2.2800, 2.2800, 10.0000
04/20/2015, 10:52, 2.2900, 2.2900, 2.2900, 2.2900, 5.0000
04/20/2015, 10:54, 2.3100, 2.3200, 2.3100, 2.3200, 4.0000
04/20/2015, 10:56, 2.3400, 2.3400, 2.3400, 2.3400, 6.0000
04/20/2015, 10:59, 2.3500, 2.3500, 2.3500, 2.3500, 5.0000
04/20/2015, 11:17, 2.3000, 2.3000, 2.3000, 2.3000, 10.0000
04/20/2015, 11:18, 2.3200, 2.3200, 2.3200, 2.3200, 50.0000
04/20/2015, 11:42, 2.2400, 2.2500, 2.2400, 2.2500, 45.0000
04/20/2015, 12:13, 2.3400, 2.3400, 2.3400, 2.3400, 1.0000
04/20/2015, 12:15, 2.3100, 2.3100, 2.3100, 2.3100, 10.0000
04/20/2015, 12:23, 2.2600, 2.2600, 2.2400, 2.2400, 83.0000
04/20/2015, 12:24, 2.2000, 2.2000, 2.2000, 2.2000, 10.0000
04/20/2015, 12:26, 2.2100, 2.2100, 2.2100, 2.2100, 5.0000
04/20/2015, 12:38, 2.2600, 2.2600, 2.2600, 2.2600, 1.0000
04/20/2015, 12:40, 2.2400, 2.2400, 2.2400, 2.2400, 6.0000
04/20/2015, 13:10, 2.1200, 2.1200, 2.1200, 2.1200, 4.0000
04/20/2015, 13:20, 2.2000, 2.2000, 2.2000, 2.2000, 5.0000
04/20/2015, 13:43, 2.2200, 2.2200, 2.2200, 2.2200, 10.0000
04/20/2015, 14:17, 2.3500, 2.3500, 2.3500, 2.3500, 45.0000
04/20/2015, 14:21, 2.3000, 2.3000, 2.3000, 2.3000, 10.0000
04/20/2015, 14:44, 2.1800, 2.1800, 2.1800, 2.1800, 8.0000
04/20/2015, 14:50, 2.1800, 2.1800, 2.1800, 2.1800, 3.0000
04/20/2015, 14:51, 2.2000, 2.2000, 2.2000, 2.2000, 5.0000
04/20/2015, 14:56, 2.1900, 2.1900, 2.1900, 2.1900, 5.0000
04/20/2015, 14:59, 2.1700, 2.1700, 2.1700, 2.1700, 20.0000
