Date, Time, Open, High, Low, Close, Volume
01/26/2015, 08:30, 5.5800, 5.5800, 5.5800, 5.5800, 100.0000
01/26/2015, 08:50, 5.1500, 5.1500, 5.1500, 5.1500, 3.0000
01/26/2015, 08:58, 5.3000, 5.3000, 5.3000, 5.3000, 5.0000
01/26/2015, 08:59, 5.3500, 5.3500, 5.3500, 5.3500, 15.0000
01/26/2015, 12:23, 5.7900, 5.7900, 5.7900, 5.7900, 1.0000
01/27/2015, 08:32, 4.2600, 4.2600, 4.2600, 4.2600, 1.0000
01/27/2015, 08:39, 4.3500, 4.4100, 4.3500, 4.3800, 41.0000
01/27/2015, 09:02, 4.3800, 4.3800, 4.3800, 4.3800, 25.0000
01/27/2015, 09:09, 4.2100, 4.2100, 4.2100, 4.2100, 13.0000
01/27/2015, 09:13, 4.2100, 4.2100, 4.2100, 4.2100, 10.0000
01/27/2015, 09:22, 4.0500, 4.0500, 4.0500, 4.0500, 200.0000
01/27/2015, 09:31, 3.8500, 3.8500, 3.8500, 3.8500, 200.0000
01/27/2015, 09:41, 3.7500, 3.7500, 3.7500, 3.7500, 5.0000
01/27/2015, 09:47, 3.6000, 3.6000, 3.6000, 3.6000, 3.0000
01/27/2015, 09:52, 3.7200, 3.7200, 3.7200, 3.7200, 3.0000
01/27/2015, 10:10, 3.9000, 3.9000, 3.8400, 3.8400, 10.0000
01/27/2015, 10:18, 3.8500, 3.8500, 3.8500, 3.8500, 1.0000
01/27/2015, 10:19, 3.9000, 3.9000, 3.9000, 3.9000, 50.0000
01/27/2015, 10:32, 4.1000, 4.1000, 4.1000, 4.1000, 2.0000
01/27/2015, 10:43, 4.0400, 4.0400, 4.0400, 4.0400, 1.0000
01/27/2015, 10:50, 4.1200, 4.1200, 4.1200, 4.1200, 400.0000
01/27/2015, 10:54, 4.0800, 4.0800, 4.0800, 4.0800, 100.0000
01/27/2015, 10:55, 4.0800, 4.0800, 4.0800, 4.0800, 10.0000
01/27/2015, 11:00, 3.9000, 3.9000, 3.9000, 3.9000, 50.0000
01/27/2015, 11:08, 3.9700, 3.9700, 3.9700, 3.9700, 3.0000
01/27/2015, 11:18, 4.0400, 4.0400, 4.0400, 4.0400, 4.0000
01/27/2015, 12:18, 4.6000, 4.6000, 4.6000, 4.6000, 3.0000
01/27/2015, 12:38, 4.6500, 4.6500, 4.6500, 4.6500, 1.0000
01/27/2015, 12:58, 4.4500, 4.4500, 4.4500, 4.4500, 8.0000
01/27/2015, 13:14, 4.6200, 4.6200, 4.6200, 4.6200, 2.0000
01/27/2015, 13:27, 4.9800, 4.9800, 4.9800, 4.9800, 8.0000
01/27/2015, 14:08, 4.5900, 4.5900, 4.5900, 4.5900, 2.0000
01/27/2015, 14:38, 4.1500, 4.1500, 4.1500, 4.1500, 100.0000
01/27/2015, 14:53, 4.1200, 4.1200, 4.1200, 4.1200, 3.0000
01/28/2015, 08:30, 5.0000, 5.0000, 5.0000, 5.0000, 3.0000
01/28/2015, 08:42, 4.7400, 4.7400, 4.7400, 4.7400, 5.0000
01/28/2015, 08:57, 4.8200, 4.8200, 4.8200, 4.8200, 5.0000
01/28/2015, 09:42, 4.2700, 4.2700, 4.2700, 4.2700, 5.0000
01/28/2015, 10:00, 3.8900, 3.9300, 3.8900, 3.9100, 5.0000
01/28/2015, 10:33, 4.0200, 4.0200, 4.0200, 4.0200, 1.0000
01/28/2015, 11:06, 4.3500, 4.3500, 4.3500, 4.3500, 10.0000
01/28/2015, 11:12, 4.2700, 4.2700, 4.2700, 4.2700, 1.0000
01/28/2015, 11:20, 4.4900, 4.4900, 4.4900, 4.4900, 4.0000
01/28/2015, 11:26, 4.5000, 4.5000, 4.5000, 4.5000, 1.0000
01/28/2015, 11:28, 4.5000, 4.5000, 4.5000, 4.5000, 4.0000
01/28/2015, 11:40, 4.3700, 4.3700, 4.3700, 4.3700, 10.0000
01/28/2015, 13:17, 3.9800, 3.9800, 3.9800, 3.9800, 8.0000
01/28/2015, 13:22, 3.9000, 3.9000, 3.9000, 3.9000, 2.0000
01/28/2015, 13:33, 3.4200, 3.4200, 3.4200, 3.4200, 13.0000
01/28/2015, 13:37, 3.6000, 3.6000, 3.6000, 3.6000, 26.0000
01/28/2015, 13:43, 3.7000, 3.7000, 3.6800, 3.6800, 3.0000
01/28/2015, 13:53, 3.7700, 3.7700, 3.7700, 3.7700, 1.0000
01/28/2015, 13:57, 3.8000, 3.8000, 3.8000, 3.8000, 20.0000
01/28/2015, 13:58, 3.8000, 3.8000, 3.8000, 3.8000, 4.0000
01/28/2015, 14:08, 3.6000, 3.6000, 3.6000, 3.6000, 3.0000
01/28/2015, 14:13, 3.4500, 3.4500, 3.4500, 3.4500, 2.0000
01/28/2015, 14:15, 3.4400, 3.4400, 3.4400, 3.4400, 3.0000
01/28/2015, 14:16, 3.3100, 3.3100, 3.3100, 3.3100, 15.0000
01/28/2015, 14:18, 3.2000, 3.2000, 3.2000, 3.2000, 5.0000
01/28/2015, 14:22, 3.3000, 3.3000, 3.3000, 3.3000, 10.0000
01/28/2015, 14:27, 3.1500, 3.1500, 3.1500, 3.1500, 5.0000
01/28/2015, 14:28, 3.1000, 3.1000, 3.1000, 3.1000, 71.0000
01/28/2015, 14:32, 3.0700, 3.0800, 3.0700, 3.0800, 5.0000
01/28/2015, 14:35, 2.8400, 2.8400, 2.8400, 2.8400, 25.0000
01/28/2015, 14:36, 2.9200, 2.9300, 2.9200, 2.9300, 6.0000
01/28/2015, 14:38, 2.9500, 2.9500, 2.9500, 2.9500, 1.0000
01/28/2015, 14:40, 2.7900, 2.7900, 2.7800, 2.7800, 9.0000
01/28/2015, 14:41, 2.7600, 2.7600, 2.7100, 2.7100, 4.0000
01/28/2015, 14:42, 2.7800, 2.8000, 2.7100, 2.7100, 12.0000
01/28/2015, 14:43, 2.6700, 2.6900, 2.6200, 2.6200, 16.0000
01/28/2015, 14:44, 2.6300, 2.6300, 2.6300, 2.6300, 3.0000
01/28/2015, 14:46, 2.6700, 2.6700, 2.6700, 2.6700, 2.0000
01/28/2015, 14:47, 2.6700, 2.7000, 2.6700, 2.7000, 3.0000
01/28/2015, 14:48, 2.7300, 2.7500, 2.7300, 2.7500, 47.0000
01/28/2015, 14:49, 2.7500, 2.7800, 2.7500, 2.7800, 3.0000
01/28/2015, 14:50, 2.7700, 2.7700, 2.7200, 2.7200, 81.0000
01/28/2015, 14:51, 2.6700, 2.6800, 2.6700, 2.6800, 5.0000
01/28/2015, 14:53, 2.7300, 2.7300, 2.7300, 2.7300, 15.0000
01/28/2015, 14:54, 2.7300, 2.7300, 2.7000, 2.7000, 17.0000
01/28/2015, 14:55, 2.7000, 2.7200, 2.7000, 2.7100, 42.0000
01/28/2015, 14:56, 2.6800, 2.7000, 2.6800, 2.7000, 38.0000
01/28/2015, 14:57, 2.7000, 2.7000, 2.6100, 2.6700, 56.0000
01/28/2015, 14:58, 2.6200, 2.6300, 2.6100, 2.6100, 35.0000
01/28/2015, 14:59, 2.6200, 2.6300, 2.6200, 2.6300, 16.0000
01/28/2015, 15:00, 2.6600, 2.6600, 2.6300, 2.6300, 4.0000
01/28/2015, 15:02, 2.5100, 2.5100, 2.5100, 2.5100, 10.0000
01/28/2015, 15:03, 2.5800, 2.5800, 2.5800, 2.5800, 1.0000
01/28/2015, 15:04, 2.5000, 2.5200, 2.5000, 2.5200, 6.0000
01/28/2015, 15:06, 2.4700, 2.4700, 2.4700, 2.4700, 1.0000
01/28/2015, 15:09, 2.4000, 2.4000, 2.3900, 2.3900, 4.0000
01/28/2015, 15:10, 2.3700, 2.4000, 2.3700, 2.4000, 5.0000
01/29/2015, 08:30, 2.6500, 2.6800, 2.6500, 2.6800, 15.0000
01/29/2015, 08:31, 2.6700, 2.7000, 2.6300, 2.6700, 130.0000
01/29/2015, 08:32, 2.6500, 2.6500, 2.5900, 2.5900, 26.0000
01/29/2015, 08:33, 2.6900, 2.7500, 2.6900, 2.7300, 3.0000
01/29/2015, 08:34, 2.7600, 2.7600, 2.6900, 2.6900, 5.0000
01/29/2015, 08:35, 2.7200, 2.7200, 2.7000, 2.7000, 13.0000
01/29/2015, 08:37, 2.6800, 2.6800, 2.5100, 2.5100, 32.0000
01/29/2015, 08:38, 2.6100, 2.6100, 2.5000, 2.5000, 61.0000
01/29/2015, 08:39, 2.4700, 2.4800, 2.3900, 2.3900, 20.0000
01/29/2015, 08:40, 2.3800, 2.3800, 2.3800, 2.3800, 1.0000
01/29/2015, 08:41, 2.3300, 2.3600, 2.3300, 2.3600, 9.0000
01/29/2015, 08:42, 2.4500, 2.4500, 2.4400, 2.4400, 34.0000
01/29/2015, 08:43, 2.3200, 2.3200, 2.3000, 2.3000, 15.0000
01/29/2015, 08:44, 2.3000, 2.3000, 2.2300, 2.2900, 115.0000
01/29/2015, 08:45, 2.3400, 2.3400, 2.3200, 2.3200, 4.0000
01/29/2015, 08:46, 2.2600, 2.2600, 2.2500, 2.2500, 4.0000
01/29/2015, 08:47, 2.2000, 2.2000, 2.1000, 2.1000, 57.0000
01/29/2015, 08:48, 2.1400, 2.1500, 2.1200, 2.1500, 84.0000
01/29/2015, 08:49, 2.1900, 2.2100, 2.1800, 2.2100, 12.0000
01/29/2015, 08:50, 2.2200, 2.2200, 2.2200, 2.2200, 6.0000
01/29/2015, 08:51, 2.1800, 2.1800, 2.1800, 2.1800, 131.0000
01/29/2015, 08:52, 2.1900, 2.1900, 2.1900, 2.1900, 4.0000
01/29/2015, 08:53, 2.2700, 2.3000, 2.2700, 2.3000, 23.0000
01/29/2015, 08:54, 2.2600, 2.3100, 2.2600, 2.3100, 9.0000
01/29/2015, 08:55, 2.3500, 2.3500, 2.3000, 2.3100, 17.0000
01/29/2015, 08:56, 2.3100, 2.3400, 2.2800, 2.2900, 23.0000
01/29/2015, 08:57, 2.3000, 2.4600, 2.3000, 2.4600, 11.0000
01/29/2015, 08:58, 2.4700, 2.4700, 2.4600, 2.4600, 2.0000
01/29/2015, 08:59, 2.4600, 2.4600, 2.4300, 2.4300, 27.0000
01/29/2015, 09:00, 2.4000, 2.4300, 2.4000, 2.4000, 13.0000
01/29/2015, 09:01, 2.3600, 2.3600, 2.3200, 2.3200, 34.0000
01/29/2015, 09:02, 2.4200, 2.4700, 2.4200, 2.4700, 12.0000
01/29/2015, 09:03, 2.4400, 2.5200, 2.4400, 2.5200, 69.0000
01/29/2015, 09:04, 2.4700, 2.5000, 2.4700, 2.5000, 54.0000
01/29/2015, 09:06, 2.4500, 2.4500, 2.4300, 2.4300, 98.0000
01/29/2015, 09:08, 2.5100, 2.5200, 2.4300, 2.4300, 63.0000
01/29/2015, 09:09, 2.3300, 2.3400, 2.2700, 2.3100, 191.0000
01/29/2015, 09:11, 2.3500, 2.3500, 2.3500, 2.3500, 20.0000
01/29/2015, 09:13, 2.3500, 2.3500, 2.3500, 2.3500, 131.0000
01/29/2015, 09:14, 2.3700, 2.3700, 2.3500, 2.3500, 22.0000
01/29/2015, 09:15, 2.2600, 2.2800, 2.2600, 2.2800, 130.0000
01/29/2015, 09:16, 2.3100, 2.3600, 2.3000, 2.3600, 11.0000
01/29/2015, 09:17, 2.4200, 2.4200, 2.4200, 2.4200, 1.0000
01/29/2015, 09:19, 2.4700, 2.4700, 2.4500, 2.4500, 60.0000
01/29/2015, 09:20, 2.4100, 2.4100, 2.4000, 2.4000, 36.0000
01/29/2015, 09:21, 2.4200, 2.4200, 2.4000, 2.4000, 60.0000
01/29/2015, 09:24, 2.2100, 2.2200, 2.2100, 2.2200, 57.0000
01/29/2015, 09:25, 2.3000, 2.3000, 2.3000, 2.3000, 10.0000
01/29/2015, 09:27, 2.3300, 2.3300, 2.3300, 2.3300, 5.0000
01/29/2015, 09:28, 2.5000, 2.5000, 2.4800, 2.4800, 11.0000
01/29/2015, 09:29, 2.4900, 2.4900, 2.4500, 2.4500, 169.0000
01/29/2015, 09:30, 2.4800, 2.4800, 2.4000, 2.4000, 12.0000
01/29/2015, 09:33, 2.3700, 2.3700, 2.3200, 2.3200, 147.0000
01/29/2015, 09:34, 2.3400, 2.3400, 2.3400, 2.3400, 3.0000
01/29/2015, 09:35, 2.3000, 2.3000, 2.3000, 2.3000, 3.0000
01/29/2015, 09:36, 2.2100, 2.2100, 2.1900, 2.1900, 7.0000
01/29/2015, 09:37, 2.2000, 2.2000, 2.1900, 2.1900, 7.0000
01/29/2015, 09:38, 2.1500, 2.1500, 2.1500, 2.1500, 32.0000
01/29/2015, 09:39, 2.1600, 2.1600, 2.1600, 2.1600, 1.0000
01/29/2015, 09:40, 2.2500, 2.2500, 2.1400, 2.1400, 69.0000
01/29/2015, 09:41, 2.0500, 2.0500, 2.0500, 2.0500, 1.0000
01/29/2015, 09:42, 2.0500, 2.0500, 2.0500, 2.0500, 20.0000
01/29/2015, 09:43, 2.0500, 2.0500, 2.0500, 2.0500, 3.0000
01/29/2015, 09:44, 2.0200, 2.0400, 2.0100, 2.0400, 32.0000
01/29/2015, 09:45, 2.0500, 2.0500, 1.9900, 2.0000, 46.0000
01/29/2015, 09:46, 2.0000, 2.0200, 2.0000, 2.0200, 51.0000
01/29/2015, 09:47, 2.0500, 2.0700, 2.0200, 2.0200, 22.0000
01/29/2015, 09:48, 2.0300, 2.0600, 2.0300, 2.0600, 7.0000
01/29/2015, 09:49, 2.0500, 2.1100, 2.0500, 2.1100, 65.0000
01/29/2015, 09:50, 2.1400, 2.1400, 2.1000, 2.1100, 50.0000
01/29/2015, 09:51, 2.0800, 2.0800, 2.0800, 2.0800, 5.0000
01/29/2015, 09:52, 2.0000, 2.0000, 2.0000, 2.0000, 10.0000
01/29/2015, 09:54, 2.0000, 2.0000, 2.0000, 2.0000, 10.0000
01/29/2015, 09:55, 2.1300, 2.1300, 2.1300, 2.1300, 25.0000
01/29/2015, 09:58, 2.1700, 2.2000, 2.1700, 2.2000, 9.0000
01/29/2015, 09:59, 2.2200, 2.2200, 2.2200, 2.2200, 50.0000
01/29/2015, 10:00, 2.1700, 2.1900, 2.1700, 2.1900, 5.0000
01/29/2015, 10:01, 2.1800, 2.1900, 2.1800, 2.1900, 4.0000
01/29/2015, 10:02, 2.1200, 2.1200, 2.1200, 2.1200, 1.0000
01/29/2015, 10:03, 2.1200, 2.1200, 2.1000, 2.1000, 8.0000
01/29/2015, 10:06, 2.0600, 2.0600, 2.0600, 2.0600, 2.0000
01/29/2015, 10:08, 2.0500, 2.0500, 2.0500, 2.0500, 1.0000
01/29/2015, 10:10, 2.2000, 2.2100, 2.2000, 2.2100, 12.0000
01/29/2015, 10:13, 2.2200, 2.2200, 2.2000, 2.2000, 6.0000
01/29/2015, 10:15, 2.2800, 2.2800, 2.2800, 2.2800, 85.0000
01/29/2015, 10:16, 2.2600, 2.2600, 2.2600, 2.2600, 20.0000
01/29/2015, 10:20, 2.1600, 2.1600, 2.1600, 2.1600, 40.0000
01/29/2015, 10:21, 2.1600, 2.2000, 2.1600, 2.2000, 26.0000
01/29/2015, 10:24, 2.2100, 2.2100, 2.2000, 2.2000, 20.0000
01/29/2015, 10:27, 2.0400, 2.0700, 2.0400, 2.0700, 2.0000
01/29/2015, 10:31, 2.2700, 2.2700, 2.2700, 2.2700, 2.0000
01/29/2015, 10:32, 2.2400, 2.2400, 2.2300, 2.2300, 131.0000
01/29/2015, 10:33, 2.3100, 2.3100, 2.3100, 2.3100, 8.0000
01/29/2015, 10:34, 2.3100, 2.3100, 2.2900, 2.2900, 18.0000
01/29/2015, 10:35, 2.2700, 2.2800, 2.2700, 2.2800, 9.0000
01/29/2015, 10:36, 2.2100, 2.2100, 2.2100, 2.2100, 5.0000
01/29/2015, 10:37, 2.2800, 2.2800, 2.2800, 2.2800, 1.0000
01/29/2015, 10:38, 2.3200, 2.3200, 2.3200, 2.3200, 20.0000
01/29/2015, 10:39, 2.3900, 2.3900, 2.3900, 2.3900, 10.0000
01/29/2015, 10:40, 2.3900, 2.3900, 2.3800, 2.3800, 11.0000
01/29/2015, 10:44, 2.3100, 2.3100, 2.3100, 2.3100, 2.0000
01/29/2015, 10:46, 2.2900, 2.2900, 2.2700, 2.2700, 40.0000
01/29/2015, 10:48, 2.3100, 2.3200, 2.3100, 2.3200, 10.0000
01/29/2015, 10:49, 2.3300, 2.3400, 2.3300, 2.3400, 2.0000
01/29/2015, 10:51, 2.4300, 2.4300, 2.4300, 2.4300, 1.0000
01/29/2015, 10:52, 2.4700, 2.5000, 2.4700, 2.4900, 350.0000
01/29/2015, 10:53, 2.4500, 2.4500, 2.4500, 2.4500, 2.0000
01/29/2015, 10:56, 2.4000, 2.4000, 2.4000, 2.4000, 2.0000
01/29/2015, 10:58, 2.3600, 2.3600, 2.3600, 2.3600, 76.0000
01/29/2015, 10:59, 2.3600, 2.3600, 2.3300, 2.3300, 50.0000
01/29/2015, 11:00, 2.4000, 2.4000, 2.3900, 2.3900, 52.0000
01/29/2015, 11:01, 2.3400, 2.3400, 2.3400, 2.3400, 5.0000
01/29/2015, 11:02, 2.3500, 2.3500, 2.3500, 2.3500, 2.0000
01/29/2015, 11:03, 2.3600, 2.4500, 2.3600, 2.4300, 75.0000
01/29/2015, 11:05, 2.5000, 2.5200, 2.5000, 2.5200, 22.0000
01/29/2015, 11:06, 2.5400, 2.5400, 2.5100, 2.5100, 40.0000
01/29/2015, 11:07, 2.5100, 2.5100, 2.5100, 2.5100, 18.0000
01/29/2015, 11:08, 2.4500, 2.4500, 2.4400, 2.4400, 6.0000
01/29/2015, 11:12, 2.4900, 2.4900, 2.4900, 2.4900, 161.0000
01/29/2015, 11:14, 2.4200, 2.4200, 2.4200, 2.4200, 1.0000
01/29/2015, 11:15, 2.3800, 2.3800, 2.3800, 2.3800, 1.0000
01/29/2015, 11:16, 2.3800, 2.3800, 2.3700, 2.3700, 35.0000
01/29/2015, 11:18, 2.4200, 2.4400, 2.4200, 2.4400, 137.0000
01/29/2015, 11:19, 2.3800, 2.3800, 2.3800, 2.3800, 2.0000
01/29/2015, 11:20, 2.3900, 2.3900, 2.3900, 2.3900, 9.0000
01/29/2015, 11:22, 2.2900, 2.2900, 2.2800, 2.2800, 200.0000
01/29/2015, 11:25, 2.3800, 2.3800, 2.3800, 2.3800, 2.0000
01/29/2015, 11:35, 2.3400, 2.3400, 2.3400, 2.3400, 10.0000
01/29/2015, 11:36, 2.3700, 2.3700, 2.3700, 2.3700, 90.0000
01/29/2015, 11:38, 2.3000, 2.3000, 2.3000, 2.3000, 2.0000
01/29/2015, 11:42, 2.2800, 2.2800, 2.2800, 2.2800, 148.0000
01/29/2015, 11:44, 2.2500, 2.2500, 2.2100, 2.2100, 14.0000
01/29/2015, 11:45, 2.1500, 2.1500, 2.1500, 2.1500, 10.0000
01/29/2015, 11:46, 2.2400, 2.2400, 2.2400, 2.2400, 6.0000
01/29/2015, 11:54, 2.2500, 2.2500, 2.2500, 2.2500, 5.0000
01/29/2015, 11:55, 2.2800, 2.2800, 2.2800, 2.2800, 20.0000
01/29/2015, 11:58, 2.3200, 2.3200, 2.3200, 2.3200, 1.0000
01/29/2015, 11:59, 2.3500, 2.3500, 2.3400, 2.3400, 102.0000
01/29/2015, 12:00, 2.3200, 2.3200, 2.3200, 2.3200, 17.0000
