Date, Time, Open, High, Low, Close, Volume
04/24/2015, 14:59, 3.1400, 3.1700, 3.1100, 3.1700, 17.0000
04/27/2015, 08:35, 3.3400, 3.3400, 3.3400, 3.3400, 5.0000
04/27/2015, 09:41, 3.5100, 3.5100, 3.5100, 3.5100, 1.0000
04/27/2015, 11:54, 2.6800, 2.6800, 2.6800, 2.6800, 2.0000
04/27/2015, 12:49, 2.8500, 2.8500, 2.8500, 2.8500, 10.0000
04/27/2015, 13:48, 2.7100, 2.7100, 2.7100, 2.7100, 2.0000
04/27/2015, 13:55, 2.6700, 2.6700, 2.6700, 2.6700, 100.0000
04/27/2015, 13:58, 2.7300, 2.7300, 2.7300, 2.7300, 100.0000
04/27/2015, 14:28, 2.6000, 2.6000, 2.6000, 2.6000, 75.0000
04/27/2015, 14:30, 2.5800, 2.5800, 2.5800, 2.5800, 25.0000
04/27/2015, 14:32, 2.5200, 2.5200, 2.5200, 2.5200, 2.0000
04/27/2015, 14:52, 2.4500, 2.4500, 2.4500, 2.4500, 11.0000
04/28/2015, 08:31, 2.4400, 2.4400, 2.4400, 2.4400, 100.0000
04/28/2015, 08:45, 2.5000, 2.5000, 2.5000, 2.5000, 10.0000
04/28/2015, 08:46, 2.4000, 2.4000, 2.4000, 2.4000, 10.0000
04/28/2015, 08:48, 2.3100, 2.3600, 2.3100, 2.3600, 12.0000
04/28/2015, 08:49, 2.3000, 2.3000, 2.3000, 2.3000, 32.0000
04/28/2015, 09:01, 2.3300, 2.3300, 2.3300, 2.3300, 12.0000
04/28/2015, 09:08, 1.9900, 2.0100, 1.9900, 2.0100, 168.0000
04/28/2015, 09:09, 1.9800, 1.9800, 1.9800, 1.9800, 2.0000
04/28/2015, 09:10, 1.9100, 1.9100, 1.9100, 1.9100, 10.0000
04/28/2015, 09:12, 1.9600, 1.9600, 1.9600, 1.9600, 6.0000
04/28/2015, 09:17, 1.8800, 1.9100, 1.8800, 1.9100, 21.0000
04/28/2015, 09:21, 1.9700, 1.9700, 1.9700, 1.9700, 50.0000
04/28/2015, 09:24, 1.9500, 1.9500, 1.9500, 1.9500, 1.0000
04/28/2015, 09:29, 1.9900, 1.9900, 1.9900, 1.9900, 8.0000
04/28/2015, 09:30, 2.0000, 2.0000, 2.0000, 2.0000, 75.0000
04/28/2015, 09:31, 2.0500, 2.0500, 2.0500, 2.0500, 1.0000
04/28/2015, 09:35, 2.0800, 2.0800, 2.0800, 2.0800, 50.0000
04/28/2015, 09:53, 2.2100, 2.2100, 2.2100, 2.2100, 12.0000
04/28/2015, 09:58, 2.2700, 2.2700, 2.2700, 2.2700, 10.0000
04/28/2015, 10:02, 2.4000, 2.4400, 2.4000, 2.4400, 36.0000
04/28/2015, 10:15, 2.5200, 2.5200, 2.5200, 2.5200, 1.0000
04/28/2015, 10:23, 2.4500, 2.4500, 2.4500, 2.4500, 1.0000
04/28/2015, 10:30, 2.5100, 2.5100, 2.5100, 2.5100, 2.0000
04/28/2015, 10:35, 2.6100, 2.6100, 2.6100, 2.6100, 114.0000
04/28/2015, 10:46, 2.5400, 2.5400, 2.5400, 2.5400, 55.0000
04/28/2015, 10:49, 2.6700, 2.6700, 2.6700, 2.6700, 43.0000
04/28/2015, 14:49, 2.6100, 2.6100, 2.6100, 2.6100, 217.0000
04/28/2015, 15:01, 2.7900, 2.7900, 2.7900, 2.7900, 3.0000
04/29/2015, 08:51, 2.4700, 2.4700, 2.4700, 2.4700, 7.0000
04/29/2015, 09:01, 2.4700, 2.4800, 2.4500, 2.4500, 10.0000
04/29/2015, 09:09, 2.1700, 2.1700, 2.1500, 2.1500, 3.0000
04/29/2015, 09:15, 2.2400, 2.2400, 2.2400, 2.2400, 11.0000
04/29/2015, 09:17, 2.1900, 2.1900, 2.1900, 2.1900, 11.0000
04/29/2015, 09:24, 2.1400, 2.1400, 2.1400, 2.1400, 10.0000
04/29/2015, 09:25, 2.1800, 2.1800, 2.1800, 2.1800, 49.0000
04/29/2015, 09:26, 2.2000, 2.2000, 2.2000, 2.2000, 10.0000
