Date, Time, Open, High, Low, Close, Volume
03/26/2015, 15:09, 1.7100, 1.7100, 1.7100, 1.7100, 10.0000
03/27/2015, 08:32, 1.7200, 1.7200, 1.7200, 1.7200, 22.0000
03/27/2015, 08:33, 1.7300, 1.7300, 1.7100, 1.7100, 70.0000
03/27/2015, 08:34, 1.8000, 1.8000, 1.7900, 1.7900, 36.0000
03/27/2015, 09:21, 1.6700, 1.6700, 1.6700, 1.6700, 15.0000
03/27/2015, 09:22, 1.6800, 1.6800, 1.6700, 1.6700, 6.0000
03/27/2015, 09:26, 1.7500, 1.7500, 1.7500, 1.7500, 2.0000
03/27/2015, 09:58, 1.9300, 1.9300, 1.9300, 1.9300, 1.0000
03/27/2015, 10:17, 1.9300, 1.9300, 1.9300, 1.9300, 5.0000
03/27/2015, 11:09, 1.8100, 1.8100, 1.8100, 1.8100, 3.0000
03/27/2015, 12:34, 1.8200, 1.8200, 1.8200, 1.8200, 2.0000
03/27/2015, 13:04, 1.8200, 1.8200, 1.8200, 1.8200, 10.0000
03/27/2015, 13:41, 1.7300, 1.7300, 1.7300, 1.7300, 60.0000
03/27/2015, 14:05, 1.8200, 1.8200, 1.8200, 1.8200, 1.0000
03/27/2015, 14:21, 1.7100, 1.7200, 1.7100, 1.7200, 4.0000
03/27/2015, 14:32, 1.7700, 1.7700, 1.7700, 1.7700, 63.0000
03/27/2015, 14:33, 1.8000, 1.8000, 1.8000, 1.8000, 83.0000
03/27/2015, 14:38, 1.9000, 1.9000, 1.9000, 1.9000, 4.0000
03/27/2015, 14:52, 1.9000, 1.9000, 1.9000, 1.9000, 237.0000
03/27/2015, 14:53, 1.9000, 1.9000, 1.8700, 1.8700, 473.0000
03/27/2015, 14:54, 1.9000, 1.9000, 1.9000, 1.9000, 11.0000
03/27/2015, 14:57, 1.9400, 1.9400, 1.9400, 1.9400, 10.0000
03/30/2015, 08:30, 2.4000, 2.4000, 2.4000, 2.4000, 1.0000
03/30/2015, 08:32, 2.5300, 2.5300, 2.5100, 2.5100, 12.0000
03/30/2015, 08:35, 2.5100, 2.5500, 2.5100, 2.5500, 12.0000
03/30/2015, 08:37, 2.5600, 2.5600, 2.5600, 2.5600, 1.0000
03/30/2015, 08:42, 2.7600, 2.7600, 2.7600, 2.7600, 9.0000
03/30/2015, 08:45, 2.8000, 2.8000, 2.8000, 2.8000, 2.0000
03/30/2015, 08:47, 2.8400, 2.8400, 2.8400, 2.8400, 5.0000
03/30/2015, 08:50, 2.8800, 2.8800, 2.8800, 2.8800, 20.0000
