Date, Time, Open, High, Low, Close, Volume
03/26/2015, 15:13, 2.2900, 2.2900, 2.2900, 2.2900, 2.0000
03/27/2015, 08:30, 2.3000, 2.3000, 2.2000, 2.2100, 27.0000
03/27/2015, 08:33, 2.1400, 2.1400, 2.1400, 2.1400, 1.0000
03/27/2015, 08:34, 2.1000, 2.1000, 2.1000, 2.1000, 7.0000
03/27/2015, 08:35, 2.0400, 2.0400, 2.0400, 2.0400, 1.0000
03/27/2015, 08:41, 2.1900, 2.1900, 2.1900, 2.1900, 20.0000
03/27/2015, 08:42, 2.1900, 2.1900, 2.1800, 2.1800, 112.0000
03/27/2015, 08:43, 2.2000, 2.2000, 2.2000, 2.2000, 388.0000
03/27/2015, 08:44, 2.1600, 2.1600, 2.1600, 2.1600, 1.0000
03/27/2015, 08:47, 2.1800, 2.1800, 2.1800, 2.1800, 5.0000
03/27/2015, 08:49, 2.1000, 2.1000, 2.1000, 2.1000, 5.0000
03/27/2015, 08:54, 2.0600, 2.0700, 2.0300, 2.0300, 39.0000
03/27/2015, 08:58, 2.0500, 2.0500, 2.0500, 2.0500, 20.0000
03/27/2015, 09:00, 2.0600, 2.0800, 2.0600, 2.0800, 44.0000
03/27/2015, 09:01, 2.0900, 2.0900, 2.0900, 2.0900, 30.0000
03/27/2015, 09:04, 2.0000, 2.0000, 2.0000, 2.0000, 6.0000
03/27/2015, 09:08, 2.0300, 2.0300, 2.0300, 2.0300, 5.0000
03/27/2015, 09:10, 2.0600, 2.0600, 2.0600, 2.0600, 1.0000
03/27/2015, 09:11, 2.1400, 2.1400, 2.1400, 2.1400, 2.0000
03/27/2015, 09:12, 2.2800, 2.3400, 2.2800, 2.3400, 30.0000
03/27/2015, 09:13, 2.3200, 2.3200, 2.3200, 2.3200, 10.0000
03/27/2015, 09:15, 2.2500, 2.2900, 2.2500, 2.2900, 16.0000
03/27/2015, 09:17, 2.3800, 2.4200, 2.3800, 2.4200, 3.0000
03/27/2015, 09:38, 2.1800, 2.1800, 2.1000, 2.1000, 39.0000
03/27/2015, 09:44, 2.0600, 2.0600, 2.0500, 2.0500, 33.0000
03/27/2015, 09:48, 2.0900, 2.0900, 2.0900, 2.0900, 1.0000
03/27/2015, 09:52, 1.9800, 1.9800, 1.9800, 1.9800, 1.0000
03/27/2015, 09:57, 1.9600, 1.9600, 1.9600, 1.9600, 10.0000
03/27/2015, 10:02, 1.9600, 1.9600, 1.9600, 1.9600, 101.0000
03/27/2015, 10:04, 1.9900, 1.9900, 1.9900, 1.9900, 80.0000
03/27/2015, 10:06, 1.9700, 1.9700, 1.9700, 1.9700, 10.0000
03/27/2015, 10:38, 2.0300, 2.0300, 2.0300, 2.0300, 5.0000
03/27/2015, 10:40, 2.0200, 2.0200, 2.0200, 2.0200, 538.0000
03/27/2015, 10:41, 2.0800, 2.0800, 2.0800, 2.0800, 7.0000
03/27/2015, 10:47, 2.0400, 2.0400, 2.0400, 2.0400, 10.0000
03/27/2015, 10:48, 2.0500, 2.0500, 2.0500, 2.0500, 10.0000
03/27/2015, 10:49, 2.0300, 2.0300, 2.0300, 2.0300, 10.0000
03/27/2015, 10:50, 2.0400, 2.0400, 2.0400, 2.0400, 10.0000
03/27/2015, 10:55, 2.2000, 2.2400, 2.2000, 2.2400, 155.0000
03/27/2015, 11:00, 2.1400, 2.1400, 2.1400, 2.1400, 47.0000
03/27/2015, 11:05, 2.1300, 2.1300, 2.1300, 2.1300, 4.0000
03/27/2015, 11:15, 2.1400, 2.1400, 2.1400, 2.1400, 16.0000
03/27/2015, 11:17, 2.1500, 2.1500, 2.1500, 2.1500, 12.0000
03/27/2015, 11:19, 2.1700, 2.1700, 2.1700, 2.1700, 19.0000
03/27/2015, 11:24, 2.1700, 2.1700, 2.1700, 2.1700, 25.0000
03/27/2015, 11:32, 2.1600, 2.1600, 2.1000, 2.1000, 146.0000
03/27/2015, 11:33, 2.1200, 2.1200, 2.1100, 2.1100, 50.0000
03/27/2015, 11:35, 2.1500, 2.1500, 2.1500, 2.1500, 2.0000
03/27/2015, 11:36, 2.1500, 2.1500, 2.1400, 2.1400, 2.0000
03/27/2015, 11:39, 2.1600, 2.1600, 2.1600, 2.1600, 113.0000
03/27/2015, 11:40, 2.1400, 2.1400, 2.1000, 2.1000, 63.0000
03/27/2015, 11:41, 2.1000, 2.1000, 2.1000, 2.1000, 12.0000
03/27/2015, 11:42, 2.0800, 2.0800, 2.0800, 2.0800, 10.0000
03/27/2015, 11:59, 2.1000, 2.1000, 2.1000, 2.1000, 4.0000
03/27/2015, 12:47, 2.2300, 2.2300, 2.2200, 2.2200, 20.0000
03/27/2015, 12:56, 2.1300, 2.1300, 2.1300, 2.1300, 1.0000
03/27/2015, 13:08, 2.1500, 2.1500, 2.1500, 2.1500, 5.0000
03/27/2015, 13:09, 2.1500, 2.1500, 2.1500, 2.1500, 1.0000
03/27/2015, 13:14, 2.1200, 2.1200, 2.1200, 2.1200, 287.0000
03/27/2015, 13:17, 2.1100, 2.1100, 2.1100, 2.1100, 2.0000
03/27/2015, 13:25, 2.1000, 2.1000, 2.1000, 2.1000, 1.0000
03/27/2015, 13:39, 2.1500, 2.1600, 2.1500, 2.1600, 2.0000
03/27/2015, 13:43, 2.1400, 2.1400, 2.1400, 2.1400, 8.0000
03/27/2015, 13:56, 2.1200, 2.1200, 2.1200, 2.1200, 10.0000
03/27/2015, 14:02, 2.0800, 2.0800, 2.0800, 2.0800, 10.0000
03/27/2015, 14:34, 2.0200, 2.0400, 2.0200, 2.0400, 7.0000
03/27/2015, 14:38, 2.0200, 2.0200, 2.0200, 2.0200, 5.0000
03/27/2015, 14:41, 1.9300, 1.9300, 1.9100, 1.9100, 11.0000
03/27/2015, 14:42, 1.9300, 1.9300, 1.9300, 1.9300, 6.0000
03/27/2015, 14:45, 2.0100, 2.0100, 2.0100, 2.0100, 70.0000
03/27/2015, 14:48, 2.0300, 2.0300, 2.0300, 2.0300, 5.0000
03/27/2015, 14:51, 1.9500, 1.9500, 1.9500, 1.9500, 10.0000
03/27/2015, 14:54, 1.9400, 1.9400, 1.9400, 1.9400, 5.0000
03/27/2015, 14:55, 1.9100, 1.9100, 1.9100, 1.9100, 1.0000
03/27/2015, 14:56, 1.9000, 1.9000, 1.9000, 1.9000, 1.0000
03/27/2015, 14:57, 1.9200, 1.9200, 1.9200, 1.9200, 2.0000
03/27/2015, 15:01, 2.0100, 2.0100, 2.0100, 2.0100, 2.0000
03/27/2015, 15:05, 1.9600, 1.9600, 1.9600, 1.9600, 45.0000
03/27/2015, 15:06, 1.9600, 1.9600, 1.9600, 1.9600, 5.0000
03/27/2015, 15:07, 1.9700, 1.9700, 1.9700, 1.9700, 10.0000
