Date, Time, Open, High, Low, Close, Volume
02/02/2015, 08:30, 0.0800, 0.0800, 0.0800, 0.0800, 1.0000
02/02/2015, 08:32, 0.0800, 0.0800, 0.0800, 0.0800, 3.0000
02/02/2015, 08:38, 0.0800, 0.0800, 0.0800, 0.0800, 1.0000
02/02/2015, 08:43, 0.0700, 0.0700, 0.0700, 0.0700, 9.0000
02/02/2015, 08:51, 0.0700, 0.0700, 0.0700, 0.0700, 6.0000
02/02/2015, 08:53, 0.0700, 0.0700, 0.0700, 0.0700, 265.0000
02/02/2015, 09:00, 0.0600, 0.0600, 0.0600, 0.0600, 110.0000
02/02/2015, 09:05, 0.0500, 0.0500, 0.0500, 0.0500, 212.0000
02/02/2015, 09:24, 0.0600, 0.0600, 0.0600, 0.0600, 10.0000
02/02/2015, 09:30, 0.0400, 0.0400, 0.0400, 0.0400, 5.0000
02/02/2015, 09:31, 0.0600, 0.0600, 0.0600, 0.0600, 3.0000
02/02/2015, 09:32, 0.0500, 0.0500, 0.0500, 0.0500, 8.0000
02/02/2015, 09:36, 0.0500, 0.0500, 0.0500, 0.0500, 10.0000
02/02/2015, 09:40, 0.0600, 0.0600, 0.0600, 0.0600, 2.0000
02/02/2015, 09:46, 0.0600, 0.0600, 0.0600, 0.0600, 5.0000
02/02/2015, 09:48, 0.0600, 0.0600, 0.0600, 0.0600, 2.0000
02/02/2015, 09:54, 0.0700, 0.0700, 0.0700, 0.0700, 2.0000
02/02/2015, 09:55, 0.0700, 0.0700, 0.0700, 0.0700, 1.0000
02/02/2015, 09:56, 0.0700, 0.0700, 0.0700, 0.0700, 1.0000
02/02/2015, 10:00, 0.0800, 0.0800, 0.0800, 0.0800, 1.0000
02/02/2015, 10:01, 0.0700, 0.0700, 0.0700, 0.0700, 6.0000
02/02/2015, 10:25, 0.0800, 0.0800, 0.0800, 0.0800, 1.0000
02/02/2015, 10:34, 0.1100, 0.1100, 0.1100, 0.1100, 16.0000
02/02/2015, 10:47, 0.1100, 0.1100, 0.1100, 0.1100, 1.0000
02/02/2015, 11:08, 0.0800, 0.0800, 0.0800, 0.0800, 1.0000
02/02/2015, 11:26, 0.0900, 0.0900, 0.0900, 0.0900, 10.0000
02/02/2015, 11:40, 0.0800, 0.0800, 0.0800, 0.0800, 4.0000
02/02/2015, 11:49, 0.0800, 0.0800, 0.0800, 0.0800, 11.0000
02/02/2015, 12:00, 0.0700, 0.0700, 0.0700, 0.0700, 6.0000
02/02/2015, 12:34, 0.0800, 0.0800, 0.0800, 0.0800, 3.0000
02/02/2015, 13:07, 0.0700, 0.0700, 0.0700, 0.0700, 110.0000
02/02/2015, 14:08, 0.0700, 0.0700, 0.0700, 0.0700, 1.0000
02/02/2015, 14:12, 0.0800, 0.0800, 0.0800, 0.0800, 5.0000
02/02/2015, 14:33, 0.0900, 0.0900, 0.0900, 0.0900, 1.0000
02/02/2015, 14:39, 0.1200, 0.1200, 0.1200, 0.1200, 100.0000
02/02/2015, 15:00, 0.1400, 0.1400, 0.1400, 0.1400, 100.0000
02/02/2015, 15:05, 0.1600, 0.1600, 0.1600, 0.1600, 20.0000
02/03/2015, 08:31, 0.2100, 0.2100, 0.2100, 0.2100, 4.0000
02/03/2015, 08:33, 0.2200, 0.2200, 0.2200, 0.2200, 13.0000
02/03/2015, 08:50, 0.2800, 0.2800, 0.2800, 0.2800, 1.0000
02/03/2015, 08:56, 0.2900, 0.2900, 0.2900, 0.2900, 612.0000
02/03/2015, 08:59, 0.3000, 0.3000, 0.3000, 0.3000, 10.0000
02/03/2015, 09:05, 0.2700, 0.2700, 0.2700, 0.2700, 4.0000
02/03/2015, 09:08, 0.2500, 0.2700, 0.2500, 0.2700, 15.0000
02/03/2015, 09:09, 0.2600, 0.2600, 0.2600, 0.2600, 4.0000
02/03/2015, 09:10, 0.2600, 0.2600, 0.2600, 0.2600, 3.0000
02/03/2015, 09:15, 0.2400, 0.2400, 0.2400, 0.2400, 37.0000
02/03/2015, 09:20, 0.2600, 0.2600, 0.2600, 0.2600, 2.0000
02/03/2015, 09:21, 0.2500, 0.2500, 0.2500, 0.2500, 1.0000
02/03/2015, 09:22, 0.2600, 0.2600, 0.2600, 0.2600, 4.0000
02/03/2015, 09:27, 0.2500, 0.2800, 0.2500, 0.2800, 35.0000
02/03/2015, 09:28, 0.2800, 0.2800, 0.2800, 0.2800, 20.0000
02/03/2015, 09:29, 0.2700, 0.2800, 0.2700, 0.2800, 23.0000
02/03/2015, 09:30, 0.2800, 0.2800, 0.2800, 0.2800, 197.0000
02/03/2015, 09:32, 0.2700, 0.2700, 0.2700, 0.2700, 2.0000
02/03/2015, 09:35, 0.2600, 0.2600, 0.2600, 0.2600, 10.0000
02/03/2015, 09:41, 0.2500, 0.2500, 0.2500, 0.2500, 6.0000
02/03/2015, 09:58, 0.1900, 0.1900, 0.1900, 0.1900, 4.0000
02/03/2015, 10:55, 0.2100, 0.2100, 0.2100, 0.2100, 3.0000
02/03/2015, 11:19, 0.2100, 0.2100, 0.2100, 0.2100, 59.0000
02/03/2015, 11:44, 0.2300, 0.2300, 0.2300, 0.2300, 10.0000
02/03/2015, 11:46, 0.2300, 0.2300, 0.2300, 0.2300, 2.0000
02/03/2015, 12:14, 0.2500, 0.2500, 0.2500, 0.2500, 8.0000
02/03/2015, 12:22, 0.2800, 0.2800, 0.2800, 0.2800, 83.0000
02/03/2015, 12:31, 0.2900, 0.2900, 0.2900, 0.2900, 6.0000
02/03/2015, 12:32, 0.2900, 0.2900, 0.2900, 0.2900, 34.0000
02/03/2015, 12:43, 0.2700, 0.2700, 0.2700, 0.2700, 10.0000
02/03/2015, 12:47, 0.3000, 0.3000, 0.3000, 0.3000, 1.0000
02/03/2015, 12:51, 0.2900, 0.2900, 0.2900, 0.2900, 1.0000
02/03/2015, 13:00, 0.3300, 0.3300, 0.3300, 0.3300, 2.0000
02/03/2015, 13:21, 0.3200, 0.3200, 0.3200, 0.3200, 90.0000
02/03/2015, 13:43, 0.3200, 0.3200, 0.3200, 0.3200, 1.0000
02/03/2015, 13:59, 0.3200, 0.3200, 0.3200, 0.3200, 3.0000
02/03/2015, 14:11, 0.3400, 0.3400, 0.3400, 0.3400, 30.0000
02/03/2015, 14:24, 0.3800, 0.3800, 0.3800, 0.3800, 20.0000
02/03/2015, 14:30, 0.3700, 0.3700, 0.3700, 0.3700, 35.0000
02/03/2015, 14:33, 0.3700, 0.3700, 0.3700, 0.3700, 1.0000
02/03/2015, 14:39, 0.3800, 0.3800, 0.3800, 0.3800, 1.0000
02/03/2015, 14:42, 0.3900, 0.3900, 0.3900, 0.3900, 10.0000
02/03/2015, 14:50, 0.4200, 0.4200, 0.4200, 0.4200, 2.0000
02/03/2015, 14:59, 0.4300, 0.4300, 0.4300, 0.4300, 5.0000
02/03/2015, 15:00, 0.4200, 0.4200, 0.4200, 0.4200, 1.0000
02/03/2015, 15:02, 0.4100, 0.4100, 0.4100, 0.4100, 21.0000
02/04/2015, 08:30, 0.3100, 0.3100, 0.2700, 0.2700, 4.0000
02/04/2015, 08:33, 0.3200, 0.3200, 0.3200, 0.3200, 183.0000
02/04/2015, 08:35, 0.3100, 0.3100, 0.3100, 0.3100, 1.0000
02/04/2015, 08:54, 0.3000, 0.3000, 0.3000, 0.3000, 1.0000
02/04/2015, 09:02, 0.3700, 0.3800, 0.3700, 0.3800, 60.0000
02/04/2015, 09:04, 0.3400, 0.3400, 0.3400, 0.3400, 14.0000
02/04/2015, 09:05, 0.3400, 0.3400, 0.3400, 0.3400, 189.0000
02/04/2015, 09:09, 0.3200, 0.3200, 0.3200, 0.3200, 36.0000
02/04/2015, 09:10, 0.3200, 0.3200, 0.3200, 0.3200, 84.0000
02/04/2015, 09:13, 0.3100, 0.3200, 0.3100, 0.3200, 10.0000
02/04/2015, 09:14, 0.3100, 0.3100, 0.3100, 0.3100, 41.0000
02/04/2015, 09:20, 0.3300, 0.3300, 0.3300, 0.3300, 12.0000
02/04/2015, 09:25, 0.3200, 0.3200, 0.3200, 0.3200, 7.0000
02/04/2015, 09:46, 0.3500, 0.3500, 0.3500, 0.3500, 1.0000
02/04/2015, 10:00, 0.3400, 0.3400, 0.3400, 0.3400, 35.0000
02/04/2015, 10:09, 0.3800, 0.3800, 0.3800, 0.3800, 10.0000
02/04/2015, 10:12, 0.3500, 0.3500, 0.3500, 0.3500, 15.0000
02/04/2015, 10:15, 0.3700, 0.3700, 0.3700, 0.3700, 8.0000
02/04/2015, 10:24, 0.3900, 0.3900, 0.3900, 0.3900, 14.0000
02/04/2015, 10:25, 0.4000, 0.4000, 0.3900, 0.3900, 114.0000
02/04/2015, 10:30, 0.4000, 0.4000, 0.4000, 0.4000, 10.0000
02/04/2015, 10:32, 0.3900, 0.3900, 0.3900, 0.3900, 4.0000
02/04/2015, 10:35, 0.4300, 0.4300, 0.4100, 0.4100, 4.0000
02/04/2015, 10:41, 0.4000, 0.4000, 0.4000, 0.4000, 2.0000
02/04/2015, 10:46, 0.4000, 0.4000, 0.4000, 0.4000, 2.0000
02/04/2015, 10:51, 0.4000, 0.4000, 0.4000, 0.4000, 2.0000
02/04/2015, 11:01, 0.3900, 0.3900, 0.3900, 0.3900, 1.0000
02/04/2015, 11:03, 0.3800, 0.3800, 0.3800, 0.3800, 1.0000
02/04/2015, 11:12, 0.3900, 0.3900, 0.3900, 0.3900, 1.0000
02/04/2015, 11:21, 0.3800, 0.3800, 0.3800, 0.3800, 420.0000
02/04/2015, 11:23, 0.3900, 0.3900, 0.3900, 0.3900, 2.0000
02/04/2015, 11:29, 0.3200, 0.3200, 0.3200, 0.3200, 6.0000
02/04/2015, 11:43, 0.3000, 0.3000, 0.3000, 0.3000, 100.0000
02/04/2015, 14:12, 0.3400, 0.3400, 0.3400, 0.3400, 20.0000
02/04/2015, 14:15, 0.3600, 0.3600, 0.3600, 0.3600, 30.0000
02/04/2015, 14:16, 0.3600, 0.3600, 0.3600, 0.3600, 25.0000
02/04/2015, 14:27, 0.3900, 0.3900, 0.3900, 0.3900, 18.0000
02/04/2015, 14:28, 0.3900, 0.4000, 0.3900, 0.4000, 82.0000
02/04/2015, 14:42, 0.3200, 0.3200, 0.3000, 0.3000, 156.0000
02/04/2015, 14:48, 0.2500, 0.2500, 0.2500, 0.2500, 10.0000
02/04/2015, 14:57, 0.2500, 0.2500, 0.2500, 0.2500, 1.0000
02/05/2015, 08:30, 0.3900, 0.3900, 0.3800, 0.3800, 110.0000
02/05/2015, 08:39, 0.3900, 0.3900, 0.3900, 0.3900, 2.0000
02/05/2015, 08:46, 0.4600, 0.4700, 0.4600, 0.4700, 3.0000
02/05/2015, 08:49, 0.4700, 0.4700, 0.4600, 0.4600, 2.0000
02/05/2015, 08:50, 0.5000, 0.5000, 0.5000, 0.5000, 9.0000
02/05/2015, 08:51, 0.4900, 0.4900, 0.4900, 0.4900, 10.0000
02/05/2015, 09:02, 0.4700, 0.4700, 0.4700, 0.4700, 3.0000
02/05/2015, 09:06, 0.5000, 0.5000, 0.5000, 0.5000, 6.0000
02/05/2015, 09:23, 0.4600, 0.4600, 0.4600, 0.4600, 6.0000
02/05/2015, 09:36, 0.4800, 0.4800, 0.4800, 0.4800, 19.0000
02/05/2015, 09:37, 0.5000, 0.5000, 0.5000, 0.5000, 10.0000
02/05/2015, 09:38, 0.5200, 0.5200, 0.5200, 0.5200, 15.0000
02/05/2015, 09:46, 0.5200, 0.5200, 0.5200, 0.5200, 1.0000
02/05/2015, 10:17, 0.4700, 0.4700, 0.4700, 0.4700, 14.0000
02/05/2015, 10:29, 0.5100, 0.5100, 0.5100, 0.5100, 1.0000
02/05/2015, 10:30, 0.5100, 0.5100, 0.5100, 0.5100, 5.0000
02/05/2015, 10:36, 0.5400, 0.5400, 0.5400, 0.5400, 2.0000
02/05/2015, 10:39, 0.5400, 0.5400, 0.5400, 0.5400, 1.0000
02/05/2015, 11:16, 0.5000, 0.5000, 0.5000, 0.5000, 10.0000
02/05/2015, 11:37, 0.4800, 0.4800, 0.4800, 0.4800, 10.0000
02/05/2015, 12:10, 0.5000, 0.5000, 0.5000, 0.5000, 3.0000
02/05/2015, 12:21, 0.5100, 0.5100, 0.5100, 0.5100, 19.0000
02/05/2015, 12:44, 0.5500, 0.5500, 0.5500, 0.5500, 3.0000
02/05/2015, 12:54, 0.5500, 0.5500, 0.5500, 0.5500, 1.0000
02/05/2015, 12:57, 0.5600, 0.5600, 0.5600, 0.5600, 5.0000
02/05/2015, 12:58, 0.5500, 0.5500, 0.5500, 0.5500, 100.0000
02/05/2015, 13:01, 0.5100, 0.5100, 0.5100, 0.5100, 1.0000
02/05/2015, 13:03, 0.4900, 0.4900, 0.4900, 0.4900, 4.0000
02/05/2015, 13:06, 0.5200, 0.5200, 0.5200, 0.5200, 1.0000
02/05/2015, 13:11, 0.5600, 0.5600, 0.5600, 0.5600, 2.0000
02/05/2015, 13:23, 0.5400, 0.5400, 0.5400, 0.5400, 2.0000
02/05/2015, 13:31, 0.5400, 0.5400, 0.5400, 0.5400, 3.0000
02/05/2015, 13:32, 0.5300, 0.5300, 0.5200, 0.5300, 60.0000
02/05/2015, 13:33, 0.5500, 0.5500, 0.5500, 0.5500, 100.0000
02/05/2015, 13:50, 0.5300, 0.5300, 0.5300, 0.5300, 10.0000
02/05/2015, 14:25, 0.5800, 0.5800, 0.5800, 0.5800, 1.0000
02/05/2015, 14:26, 0.5700, 0.5700, 0.5700, 0.5700, 50.0000
02/05/2015, 14:45, 0.6000, 0.6000, 0.6000, 0.6000, 10.0000
02/05/2015, 14:50, 0.6100, 0.6100, 0.6100, 0.6100, 1.0000
02/05/2015, 14:52, 0.6000, 0.6000, 0.6000, 0.6000, 15.0000
02/05/2015, 14:58, 0.6200, 0.6200, 0.6200, 0.6200, 5.0000
02/05/2015, 14:59, 0.6200, 0.6200, 0.6200, 0.6200, 4.0000
02/05/2015, 15:00, 0.6000, 0.6000, 0.6000, 0.6000, 5.0000
02/05/2015, 15:04, 0.5600, 0.5600, 0.5600, 0.5600, 1.0000
02/06/2015, 08:30, 0.6300, 0.6300, 0.6000, 0.6000, 9.0000
02/06/2015, 08:32, 0.5200, 0.5300, 0.5200, 0.5300, 27.0000
02/06/2015, 08:33, 0.5300, 0.5300, 0.5300, 0.5300, 61.0000
02/06/2015, 08:34, 0.5300, 0.5500, 0.5300, 0.5500, 106.0000
02/06/2015, 08:37, 0.6000, 0.6000, 0.5900, 0.5900, 20.0000
02/06/2015, 08:39, 0.6400, 0.6500, 0.6400, 0.6500, 31.0000
02/06/2015, 08:40, 0.6500, 0.6700, 0.6500, 0.6600, 174.0000
02/06/2015, 08:41, 0.6600, 0.6600, 0.6200, 0.6300, 27.0000
02/06/2015, 08:43, 0.5600, 0.5600, 0.5500, 0.5500, 211.0000
02/06/2015, 08:44, 0.5400, 0.5400, 0.5400, 0.5400, 67.0000
02/06/2015, 08:48, 0.5300, 0.5300, 0.5300, 0.5300, 20.0000
02/06/2015, 08:49, 0.5700, 0.5700, 0.5600, 0.5600, 124.0000
02/06/2015, 08:51, 0.5300, 0.5300, 0.5300, 0.5300, 10.0000
02/06/2015, 08:54, 0.5700, 0.5700, 0.5700, 0.5700, 100.0000
02/06/2015, 09:00, 0.5800, 0.5800, 0.5800, 0.5800, 8.0000
02/06/2015, 09:01, 0.5800, 0.5800, 0.5800, 0.5800, 10.0000
02/06/2015, 09:04, 0.5700, 0.5700, 0.5700, 0.5700, 5.0000
02/06/2015, 09:05, 0.5700, 0.5700, 0.5700, 0.5700, 106.0000
02/06/2015, 09:07, 0.6000, 0.6000, 0.6000, 0.6000, 10.0000
02/06/2015, 09:09, 0.6300, 0.6300, 0.6200, 0.6200, 31.0000
02/06/2015, 09:10, 0.6300, 0.6300, 0.6300, 0.6300, 10.0000
02/06/2015, 09:14, 0.6300, 0.6400, 0.6300, 0.6400, 15.0000
02/06/2015, 09:15, 0.6600, 0.6600, 0.6500, 0.6500, 3.0000
02/06/2015, 09:17, 0.6700, 0.6700, 0.6700, 0.6700, 16.0000
02/06/2015, 09:28, 0.6300, 0.6300, 0.6300, 0.6300, 5.0000
02/06/2015, 09:30, 0.6100, 0.6200, 0.6100, 0.6200, 32.0000
02/06/2015, 09:33, 0.6500, 0.6500, 0.6500, 0.6500, 1.0000
02/06/2015, 09:34, 0.6400, 0.6400, 0.6400, 0.6400, 30.0000
02/06/2015, 09:35, 0.6400, 0.6500, 0.6400, 0.6500, 51.0000
02/06/2015, 09:38, 0.6300, 0.6300, 0.6300, 0.6300, 26.0000
02/06/2015, 09:39, 0.6500, 0.6500, 0.6500, 0.6500, 73.0000
02/06/2015, 09:40, 0.6400, 0.6800, 0.6400, 0.6800, 137.0000
02/06/2015, 09:42, 0.6800, 0.6800, 0.6800, 0.6800, 2.0000
02/06/2015, 09:47, 0.7300, 0.7300, 0.7300, 0.7300, 3.0000
02/06/2015, 09:48, 0.7500, 0.7500, 0.7500, 0.7500, 20.0000
02/06/2015, 09:51, 0.7300, 0.7300, 0.7300, 0.7300, 32.0000
02/06/2015, 09:52, 0.7400, 0.7400, 0.7400, 0.7400, 25.0000
02/06/2015, 09:53, 0.7100, 0.7200, 0.7100, 0.7200, 112.0000
02/06/2015, 09:55, 0.7200, 0.7300, 0.7200, 0.7300, 24.0000
02/06/2015, 09:57, 0.7300, 0.7300, 0.7300, 0.7300, 3.0000
02/06/2015, 10:02, 0.7000, 0.7000, 0.7000, 0.7000, 2.0000
02/06/2015, 10:03, 0.7000, 0.7000, 0.7000, 0.7000, 10.0000
02/06/2015, 10:04, 0.6800, 0.6800, 0.6800, 0.6800, 5.0000
02/06/2015, 10:06, 0.6800, 0.6800, 0.6800, 0.6800, 10.0000
02/06/2015, 10:17, 0.7000, 0.7000, 0.7000, 0.7000, 100.0000
02/06/2015, 10:18, 0.7000, 0.7000, 0.7000, 0.7000, 24.0000
02/06/2015, 10:23, 0.6800, 0.6800, 0.6800, 0.6800, 28.0000
02/06/2015, 10:24, 0.7000, 0.7000, 0.7000, 0.7000, 24.0000
02/06/2015, 10:25, 0.7400, 0.7400, 0.7400, 0.7400, 10.0000
02/06/2015, 10:29, 0.7100, 0.7100, 0.7100, 0.7100, 2.0000
02/06/2015, 10:33, 0.7000, 0.7000, 0.7000, 0.7000, 5.0000
02/06/2015, 10:34, 0.7100, 0.7100, 0.7100, 0.7100, 17.0000
02/06/2015, 10:35, 0.7100, 0.7100, 0.7100, 0.7100, 28.0000
02/06/2015, 10:37, 0.6700, 0.6700, 0.6700, 0.6700, 4.0000
02/06/2015, 10:46, 0.7100, 0.7100, 0.7100, 0.7100, 2.0000
02/06/2015, 10:47, 0.7500, 0.7500, 0.7500, 0.7500, 20.0000
02/06/2015, 10:48, 0.7600, 0.7600, 0.7500, 0.7500, 47.0000
02/06/2015, 10:52, 0.7500, 0.7500, 0.7200, 0.7200, 28.0000
02/06/2015, 10:55, 0.6900, 0.7000, 0.6900, 0.6900, 310.0000
02/06/2015, 10:56, 0.6900, 0.6900, 0.6900, 0.6900, 15.0000
02/06/2015, 11:04, 0.7100, 0.7100, 0.7100, 0.7100, 50.0000
02/06/2015, 11:27, 0.7100, 0.7100, 0.7000, 0.7000, 21.0000
02/06/2015, 11:29, 0.7100, 0.7100, 0.7100, 0.7100, 1.0000
02/06/2015, 11:31, 0.7300, 0.7300, 0.7300, 0.7300, 15.0000
02/06/2015, 11:36, 0.7300, 0.7300, 0.7300, 0.7300, 10.0000
02/06/2015, 11:37, 0.7200, 0.7200, 0.7200, 0.7200, 13.0000
02/06/2015, 11:38, 0.6900, 0.6900, 0.6900, 0.6900, 10.0000
02/06/2015, 11:41, 0.6500, 0.6500, 0.6500, 0.6500, 10.0000
