Date, Time, Open, High, Low, Close, Volume
01/30/2015, 14:57, 6.0000, 6.0000, 6.0000, 6.0000, 1.0000
02/02/2015, 14:37, 4.4300, 4.4300, 4.4200, 4.4200, 150.0000
02/02/2015, 14:56, 3.9000, 3.9000, 3.9000, 3.9000, 1.0000
02/03/2015, 08:48, 2.5500, 2.5500, 2.5500, 2.5500, 30.0000
02/03/2015, 08:56, 2.4700, 2.4700, 2.4700, 2.4700, 130.0000
02/03/2015, 09:22, 2.5800, 2.5800, 2.5800, 2.5800, 11.0000
02/03/2015, 09:23, 2.6400, 2.6500, 2.6400, 2.6500, 21.0000
02/03/2015, 09:30, 2.5100, 2.5100, 2.5100, 2.5100, 40.0000
02/03/2015, 09:35, 2.5700, 2.5700, 2.5700, 2.5700, 4.0000
02/03/2015, 09:36, 2.5900, 2.7100, 2.5900, 2.7100, 215.0000
02/03/2015, 09:37, 2.6300, 2.6300, 2.6300, 2.6300, 52.0000
02/03/2015, 09:40, 2.6500, 2.6500, 2.6500, 2.6500, 105.0000
02/03/2015, 09:44, 2.7500, 2.7500, 2.7500, 2.7500, 14.0000
02/03/2015, 09:48, 2.9100, 2.9100, 2.9100, 2.9100, 30.0000
02/03/2015, 09:50, 2.8300, 2.8300, 2.8300, 2.8300, 36.0000
02/03/2015, 09:51, 2.8700, 2.8700, 2.8700, 2.8700, 11.0000
02/03/2015, 10:09, 2.8900, 2.8900, 2.8900, 2.8900, 8.0000
02/03/2015, 10:42, 2.7800, 2.7800, 2.7800, 2.7800, 83.0000
02/03/2015, 10:47, 2.7400, 2.7400, 2.7400, 2.7400, 5.0000
02/03/2015, 11:01, 3.0900, 3.0900, 3.0900, 3.0900, 32.0000
02/03/2015, 11:04, 3.1400, 3.1400, 3.1400, 3.1400, 304.0000
02/03/2015, 11:10, 2.9700, 2.9700, 2.9600, 2.9600, 42.0000
02/03/2015, 11:13, 2.8800, 2.8800, 2.8800, 2.8800, 10.0000
02/03/2015, 11:20, 2.8600, 2.8600, 2.8600, 2.8600, 16.0000
02/03/2015, 11:38, 2.9800, 2.9800, 2.9800, 2.9800, 13.0000
02/03/2015, 11:44, 2.7500, 2.7500, 2.7500, 2.7500, 20.0000
02/03/2015, 12:06, 2.7000, 2.7000, 2.7000, 2.7000, 3.0000
02/03/2015, 12:18, 2.6000, 2.6000, 2.6000, 2.6000, 42.0000
02/03/2015, 12:20, 2.5100, 2.5100, 2.5100, 2.5100, 4.0000
02/03/2015, 12:24, 2.4800, 2.4800, 2.4500, 2.4500, 45.0000
02/03/2015, 12:27, 2.4500, 2.4500, 2.4500, 2.4500, 5.0000
02/03/2015, 12:33, 2.3900, 2.3900, 2.3900, 2.3900, 177.0000
02/03/2015, 12:39, 2.4800, 2.4800, 2.4800, 2.4800, 10.0000
02/03/2015, 12:45, 2.4400, 2.4400, 2.4400, 2.4400, 5.0000
02/03/2015, 12:54, 2.2200, 2.2200, 2.2200, 2.2200, 11.0000
02/03/2015, 12:56, 2.2400, 2.2400, 2.2400, 2.2400, 10.0000
02/03/2015, 13:02, 2.0900, 2.0900, 2.0900, 2.0900, 11.0000
02/03/2015, 13:03, 2.1000, 2.1700, 2.1000, 2.1700, 13.0000
02/03/2015, 13:04, 2.1800, 2.1800, 2.1800, 2.1800, 2.0000
02/03/2015, 13:05, 2.2300, 2.2300, 2.2300, 2.2300, 10.0000
02/03/2015, 13:22, 2.2900, 2.2900, 2.2900, 2.2900, 71.0000
02/03/2015, 13:27, 2.4400, 2.4400, 2.4400, 2.4400, 1.0000
02/03/2015, 13:39, 2.4300, 2.4300, 2.4300, 2.4300, 136.0000
02/03/2015, 13:51, 2.3200, 2.3200, 2.3200, 2.3200, 17.0000
02/03/2015, 13:53, 2.3100, 2.3100, 2.3100, 2.3100, 24.0000
02/03/2015, 13:55, 2.3000, 2.3000, 2.2900, 2.2900, 12.0000
02/03/2015, 13:58, 2.2300, 2.2500, 2.2300, 2.2500, 595.0000
02/03/2015, 14:08, 2.2000, 2.2000, 2.2000, 2.2000, 13.0000
02/03/2015, 14:12, 2.2100, 2.2100, 2.2100, 2.2100, 1.0000
02/03/2015, 14:14, 2.2400, 2.2400, 2.2400, 2.2400, 10.0000
02/03/2015, 14:19, 2.1800, 2.1800, 2.1800, 2.1800, 1.0000
02/03/2015, 14:25, 2.1100, 2.1100, 2.1100, 2.1100, 18.0000
02/03/2015, 14:28, 2.1200, 2.1200, 2.1200, 2.1200, 5.0000
02/03/2015, 14:31, 2.0500, 2.0500, 2.0500, 2.0500, 5.0000
02/03/2015, 14:34, 2.1600, 2.1600, 2.1600, 2.1600, 139.0000
