Date, Time, Open, High, Low, Close, Volume
02/06/2015, 08:30, 3.9200, 4.1200, 3.8700, 4.1200, 115.0000
02/06/2015, 08:39, 4.1000, 4.1000, 4.1000, 4.1000, 1.0000
02/06/2015, 08:40, 3.9600, 3.9700, 3.9300, 3.9300, 27.0000
02/06/2015, 08:42, 4.1400, 4.1400, 4.1400, 4.1400, 20.0000
02/06/2015, 08:47, 4.3500, 4.3500, 4.3500, 4.3500, 4.0000
02/06/2015, 08:50, 4.2200, 4.2200, 4.2200, 4.2200, 20.0000
02/06/2015, 08:51, 4.2100, 4.2100, 4.2100, 4.2100, 20.0000
02/06/2015, 08:52, 4.2500, 4.2500, 4.2500, 4.2500, 10.0000
02/06/2015, 09:04, 4.0600, 4.0600, 4.0600, 4.0600, 25.0000
02/06/2015, 09:05, 4.0100, 4.0100, 4.0100, 4.0100, 1.0000
02/06/2015, 09:07, 4.0000, 4.0000, 4.0000, 4.0000, 25.0000
02/06/2015, 09:09, 3.9200, 3.9200, 3.9200, 3.9200, 5.0000
02/06/2015, 09:10, 3.9000, 3.9000, 3.9000, 3.9000, 1.0000
02/06/2015, 09:11, 3.8900, 3.8900, 3.8700, 3.8700, 2.0000
02/06/2015, 09:23, 3.8400, 3.8400, 3.8400, 3.8400, 3.0000
02/06/2015, 09:29, 3.8300, 3.8300, 3.8300, 3.8300, 25.0000
02/06/2015, 09:34, 3.8100, 3.8100, 3.8100, 3.8100, 3.0000
02/06/2015, 09:40, 3.7500, 3.7500, 3.7500, 3.7500, 1.0000
02/06/2015, 09:44, 3.6500, 3.6500, 3.6400, 3.6400, 171.0000
02/06/2015, 09:48, 3.5600, 3.5600, 3.5600, 3.5600, 1.0000
02/06/2015, 09:53, 3.7100, 3.7100, 3.7100, 3.7100, 2.0000
02/06/2015, 09:54, 3.7200, 3.7200, 3.7200, 3.7200, 2.0000
02/06/2015, 10:20, 3.8100, 3.8100, 3.8100, 3.8100, 5.0000
02/06/2015, 10:24, 3.7600, 3.7600, 3.7500, 3.7500, 2.0000
02/06/2015, 10:26, 3.7400, 3.7400, 3.7200, 3.7200, 2.0000
02/06/2015, 10:33, 3.7900, 3.7900, 3.7900, 3.7900, 25.0000
02/06/2015, 10:36, 3.9000, 3.9000, 3.9000, 3.9000, 2.0000
02/06/2015, 10:48, 3.6500, 3.6500, 3.6500, 3.6500, 1.0000
02/06/2015, 10:58, 3.7200, 3.7200, 3.7200, 3.7200, 2.0000
02/06/2015, 11:14, 3.6900, 3.6900, 3.6900, 3.6900, 100.0000
02/06/2015, 11:33, 3.6500, 3.6500, 3.6500, 3.6500, 3.0000
02/06/2015, 11:36, 3.7100, 3.7100, 3.7100, 3.7100, 1.0000
02/06/2015, 12:14, 4.2500, 4.2500, 4.2500, 4.2500, 1.0000
02/06/2015, 12:26, 4.7500, 4.7500, 4.7500, 4.7500, 10.0000
02/06/2015, 12:27, 4.7700, 4.7700, 4.7700, 4.7700, 5.0000
02/06/2015, 12:37, 4.7400, 4.7400, 4.7400, 4.7400, 1.0000
02/06/2015, 12:44, 4.4800, 4.4800, 4.4800, 4.4800, 1.0000
02/06/2015, 13:05, 4.4400, 4.4400, 4.4400, 4.4400, 10.0000
02/06/2015, 13:09, 4.5800, 4.5800, 4.5800, 4.5800, 10.0000
02/06/2015, 13:27, 4.4000, 4.4000, 4.4000, 4.4000, 2.0000
02/06/2015, 13:35, 4.1800, 4.1800, 4.1800, 4.1800, 4.0000
02/06/2015, 13:38, 4.2000, 4.2000, 4.2000, 4.2000, 5.0000
02/06/2015, 13:54, 4.6300, 4.6300, 4.6300, 4.6300, 1.0000
02/06/2015, 13:59, 4.6900, 4.7000, 4.6900, 4.7000, 2.0000
02/06/2015, 14:01, 5.0000, 5.0000, 5.0000, 5.0000, 3.0000
02/06/2015, 14:03, 5.1000, 5.1000, 5.1000, 5.1000, 7.0000
02/06/2015, 14:04, 5.2000, 5.2000, 5.2000, 5.2000, 2.0000
02/06/2015, 14:05, 5.0500, 5.0500, 5.0500, 5.0500, 10.0000
02/06/2015, 14:07, 4.9500, 4.9500, 4.9500, 4.9500, 6.0000
02/06/2015, 14:11, 5.1200, 5.1200, 5.1200, 5.1200, 1.0000
02/06/2015, 14:18, 4.9900, 5.0200, 4.9900, 5.0200, 4.0000
02/06/2015, 14:19, 5.0900, 5.0900, 5.0900, 5.0900, 4.0000
02/06/2015, 14:22, 5.1500, 5.1500, 5.1500, 5.1500, 5.0000
02/06/2015, 14:28, 5.1900, 5.1900, 5.1900, 5.1900, 4.0000
02/06/2015, 14:35, 5.2500, 5.2500, 5.2500, 5.2500, 5.0000
02/06/2015, 14:42, 5.3000, 5.3000, 5.3000, 5.3000, 1.0000
02/06/2015, 14:44, 5.4500, 5.4600, 5.4400, 5.4600, 5.0000
02/06/2015, 14:52, 5.2200, 5.2200, 5.2200, 5.2200, 1.0000
02/06/2015, 14:54, 5.2000, 5.2000, 5.2000, 5.2000, 1.0000
02/06/2015, 14:55, 5.1300, 5.1300, 5.1300, 5.1300, 6.0000
02/06/2015, 14:59, 5.0900, 5.0900, 5.0900, 5.0900, 10.0000
02/09/2015, 08:30, 5.5600, 5.5600, 5.5600, 5.5600, 5.0000
02/09/2015, 08:31, 5.3000, 5.3000, 5.3000, 5.3000, 5.0000
02/09/2015, 08:32, 5.2000, 5.3200, 5.2000, 5.3000, 35.0000
02/09/2015, 08:36, 5.4400, 5.4400, 5.4300, 5.4300, 15.0000
02/09/2015, 09:14, 5.1500, 5.1500, 5.1500, 5.1500, 37.0000
02/09/2015, 09:16, 4.9600, 4.9600, 4.9600, 4.9600, 5.0000
02/09/2015, 09:27, 5.3900, 5.3900, 5.3900, 5.3900, 1.0000
02/09/2015, 09:40, 5.4000, 5.4000, 5.4000, 5.4000, 1.0000
02/09/2015, 10:10, 5.1900, 5.1900, 5.1900, 5.1900, 20.0000
02/09/2015, 10:20, 5.0200, 5.0200, 5.0200, 5.0200, 5.0000
02/09/2015, 11:19, 5.1100, 5.1100, 5.1100, 5.1100, 20.0000
02/09/2015, 11:30, 4.8600, 4.8600, 4.8600, 4.8600, 24.0000
02/09/2015, 11:43, 4.9500, 4.9500, 4.9500, 4.9500, 1.0000
02/09/2015, 12:30, 5.2300, 5.2300, 5.2300, 5.2300, 100.0000
02/09/2015, 12:37, 5.3300, 5.3300, 5.3300, 5.3300, 24.0000
02/09/2015, 13:08, 5.3900, 5.3900, 5.3900, 5.3900, 5.0000
02/09/2015, 13:36, 5.3900, 5.3900, 5.3900, 5.3900, 25.0000
02/09/2015, 14:05, 5.8800, 6.0200, 5.8800, 6.0200, 86.0000
