Date, Time, Open, High, Low, Close, Volume
03/06/2015, 15:12, 3.0500, 3.0500, 3.0500, 3.0500, 1.0000
03/09/2015, 08:41, 2.7000, 2.7000, 2.7000, 2.7000, 10.0000
03/09/2015, 08:45, 2.8200, 2.9100, 2.8200, 2.9100, 256.0000
03/09/2015, 08:46, 2.9000, 2.9000, 2.9000, 2.9000, 20.0000
03/09/2015, 08:47, 2.9200, 2.9200, 2.9200, 2.9200, 20.0000
03/09/2015, 08:48, 2.8800, 2.9000, 2.8700, 2.9000, 6.0000
03/09/2015, 08:53, 2.8700, 2.8700, 2.8700, 2.8700, 5.0000
03/09/2015, 08:58, 2.7100, 2.7300, 2.7100, 2.7300, 7.0000
03/09/2015, 09:00, 2.6700, 2.6700, 2.6700, 2.6700, 10.0000
03/09/2015, 09:06, 2.6500, 2.6500, 2.6500, 2.6500, 1.0000
03/09/2015, 09:18, 2.7200, 2.7200, 2.7200, 2.7200, 5.0000
03/09/2015, 10:22, 2.6800, 2.6800, 2.6800, 2.6800, 25.0000
03/09/2015, 10:23, 2.6800, 2.6800, 2.6800, 2.6800, 25.0000
03/09/2015, 10:29, 2.5000, 2.5000, 2.4700, 2.4700, 13.0000
03/09/2015, 10:35, 2.5400, 2.5400, 2.5400, 2.5400, 5.0000
03/09/2015, 10:38, 2.5600, 2.5600, 2.5600, 2.5600, 200.0000
03/09/2015, 10:50, 2.5200, 2.5200, 2.5200, 2.5200, 1.0000
03/09/2015, 10:51, 2.5900, 2.5900, 2.5900, 2.5900, 200.0000
03/09/2015, 10:54, 2.6400, 2.6400, 2.6400, 2.6400, 3.0000
03/09/2015, 10:56, 2.6400, 2.6400, 2.6400, 2.6400, 1.0000
03/09/2015, 10:59, 2.6100, 2.6100, 2.6100, 2.6100, 5.0000
03/09/2015, 11:55, 2.5100, 2.5100, 2.5100, 2.5100, 10.0000
03/09/2015, 12:02, 2.4800, 2.4800, 2.4800, 2.4800, 200.0000
03/09/2015, 12:07, 2.5000, 2.5000, 2.5000, 2.5000, 200.0000
03/09/2015, 12:17, 2.5000, 2.5100, 2.5000, 2.5100, 17.0000
03/09/2015, 12:28, 2.4700, 2.4700, 2.4700, 2.4700, 2.0000
03/09/2015, 12:29, 2.4000, 2.4000, 2.4000, 2.4000, 20.0000
03/09/2015, 12:32, 2.3100, 2.3200, 2.3100, 2.3200, 50.0000
03/09/2015, 12:35, 2.3300, 2.3300, 2.3300, 2.3300, 20.0000
03/09/2015, 12:41, 2.2800, 2.2800, 2.2800, 2.2800, 100.0000
03/09/2015, 12:43, 2.2000, 2.2000, 2.2000, 2.2000, 20.0000
03/09/2015, 12:47, 2.2100, 2.2100, 2.2100, 2.2100, 6.0000
03/09/2015, 12:49, 2.1900, 2.1900, 2.1900, 2.1900, 7.0000
03/09/2015, 12:54, 2.2000, 2.2000, 2.2000, 2.2000, 1.0000
03/09/2015, 12:57, 2.2400, 2.2400, 2.2400, 2.2400, 2.0000
03/09/2015, 12:58, 2.2300, 2.2300, 2.2300, 2.2300, 5.0000
03/09/2015, 12:59, 2.2700, 2.2700, 2.2700, 2.2700, 5.0000
03/09/2015, 13:01, 2.2700, 2.2700, 2.2700, 2.2700, 4.0000
03/09/2015, 13:04, 2.2900, 2.2900, 2.2900, 2.2900, 1.0000
03/09/2015, 13:05, 2.2700, 2.2700, 2.2700, 2.2700, 1.0000
03/09/2015, 13:08, 2.2600, 2.2600, 2.2600, 2.2600, 156.0000
03/09/2015, 13:09, 2.2700, 2.2700, 2.2700, 2.2700, 30.0000
03/09/2015, 13:10, 2.2900, 2.2900, 2.2900, 2.2900, 100.0000
03/09/2015, 13:11, 2.3100, 2.3100, 2.3100, 2.3100, 50.0000
03/09/2015, 13:19, 2.3600, 2.3600, 2.3600, 2.3600, 2.0000
03/09/2015, 13:20, 2.3600, 2.3600, 2.3600, 2.3600, 2.0000
03/09/2015, 13:25, 2.3300, 2.3300, 2.3300, 2.3300, 10.0000
03/09/2015, 13:26, 2.3800, 2.3800, 2.3800, 2.3800, 40.0000
03/09/2015, 13:33, 2.4400, 2.4400, 2.4400, 2.4400, 1.0000
03/09/2015, 13:49, 2.3700, 2.3700, 2.3700, 2.3700, 10.0000
03/09/2015, 13:51, 2.2900, 2.2900, 2.2900, 2.2900, 50.0000
03/09/2015, 13:55, 2.2600, 2.2600, 2.2600, 2.2600, 8.0000
03/09/2015, 13:59, 2.3100, 2.3100, 2.2900, 2.3000, 100.0000
03/09/2015, 14:01, 2.3000, 2.3000, 2.3000, 2.3000, 30.0000
03/09/2015, 14:10, 2.2300, 2.2300, 2.2300, 2.2300, 2.0000
03/09/2015, 14:11, 2.2500, 2.2500, 2.2500, 2.2500, 16.0000
03/09/2015, 14:13, 2.2400, 2.2400, 2.2400, 2.2400, 50.0000
03/09/2015, 14:15, 2.2300, 2.2300, 2.2300, 2.2300, 30.0000
03/09/2015, 14:20, 2.3200, 2.3300, 2.3200, 2.3300, 44.0000
03/09/2015, 14:21, 2.3200, 2.3200, 2.3200, 2.3200, 100.0000
03/09/2015, 14:24, 2.3600, 2.3600, 2.3600, 2.3600, 3.0000
03/09/2015, 14:25, 2.3900, 2.3900, 2.3900, 2.3900, 200.0000
03/09/2015, 14:28, 2.3200, 2.3200, 2.3200, 2.3200, 30.0000
03/09/2015, 14:31, 2.2900, 2.2900, 2.2900, 2.2900, 42.0000
03/09/2015, 14:32, 2.2400, 2.2400, 2.2400, 2.2400, 200.0000
03/09/2015, 14:38, 2.3600, 2.3600, 2.3600, 2.3600, 20.0000
03/09/2015, 14:39, 2.3500, 2.3500, 2.3500, 2.3500, 34.0000
03/09/2015, 14:44, 2.3300, 2.3400, 2.3300, 2.3400, 31.0000
03/09/2015, 14:48, 2.2400, 2.2400, 2.2400, 2.2400, 4.0000
03/09/2015, 14:54, 2.3300, 2.3300, 2.3300, 2.3300, 15.0000
03/09/2015, 15:00, 2.4000, 2.4000, 2.4000, 2.4000, 17.0000
03/09/2015, 15:12, 2.3900, 2.3900, 2.3900, 2.3900, 4.0000
03/09/2015, 15:14, 2.4000, 2.4000, 2.4000, 2.4000, 10.0000
03/10/2015, 08:30, 3.4300, 3.4300, 3.4200, 3.4200, 23.0000
03/10/2015, 08:31, 3.7000, 3.7000, 3.7000, 3.7000, 3.0000
03/10/2015, 08:32, 3.7300, 3.7300, 3.6200, 3.6200, 5.0000
03/10/2015, 08:34, 3.5800, 3.5800, 3.5800, 3.5800, 10.0000
03/10/2015, 08:36, 3.6100, 3.6100, 3.6100, 3.6100, 15.0000
03/10/2015, 08:37, 3.6500, 3.6500, 3.6500, 3.6500, 5.0000
03/10/2015, 08:41, 3.6000, 3.6000, 3.6000, 3.6000, 10.0000
03/10/2015, 08:46, 3.9500, 3.9500, 3.9500, 3.9500, 173.0000
03/10/2015, 08:50, 4.0000, 4.0000, 4.0000, 4.0000, 2.0000
03/10/2015, 08:51, 3.9700, 3.9700, 3.9700, 3.9700, 3.0000
03/10/2015, 08:55, 3.7500, 3.7500, 3.7500, 3.7500, 1.0000
03/10/2015, 08:57, 3.7300, 3.7300, 3.7300, 3.7300, 1.0000
03/10/2015, 09:00, 3.8000, 3.8000, 3.8000, 3.8000, 1.0000
03/10/2015, 09:01, 3.7500, 3.7500, 3.7500, 3.7500, 80.0000
03/10/2015, 09:06, 3.7000, 3.7000, 3.7000, 3.7000, 40.0000
03/10/2015, 09:07, 3.7500, 3.7500, 3.7500, 3.7500, 80.0000
03/10/2015, 09:19, 4.0000, 4.0000, 4.0000, 4.0000, 5.0000
03/10/2015, 09:21, 3.9400, 3.9400, 3.9400, 3.9400, 1.0000
03/10/2015, 09:29, 4.0000, 4.0000, 4.0000, 4.0000, 1.0000
03/10/2015, 09:37, 4.2300, 4.2300, 4.2300, 4.2300, 50.0000
03/10/2015, 09:41, 4.1600, 4.1600, 4.1600, 4.1600, 1.0000
03/10/2015, 09:42, 4.1300, 4.1300, 4.1300, 4.1300, 5.0000
03/10/2015, 09:46, 4.1000, 4.1000, 4.1000, 4.1000, 5.0000
03/10/2015, 10:01, 3.8400, 3.8400, 3.8200, 3.8200, 46.0000
03/10/2015, 10:03, 3.8100, 3.8100, 3.8100, 3.8100, 2.0000
03/10/2015, 10:04, 3.7500, 3.7500, 3.7500, 3.7500, 5.0000
03/10/2015, 10:08, 3.7000, 3.7000, 3.7000, 3.7000, 1.0000
03/10/2015, 10:09, 3.7000, 3.7000, 3.7000, 3.7000, 5.0000
03/10/2015, 10:14, 3.6400, 3.6400, 3.6400, 3.6400, 12.0000
03/10/2015, 10:20, 3.5700, 3.5700, 3.5700, 3.5700, 2.0000
