Date, Time, Open, High, Low, Close, Volume
05/08/2015, 15:14, 1.7700, 1.7700, 1.7700, 1.7700, 6.0000
05/11/2015, 08:30, 1.7200, 1.7200, 1.6700, 1.6700, 7.0000
05/11/2015, 08:31, 1.7700, 1.7700, 1.7700, 1.7700, 8.0000
05/11/2015, 08:32, 1.6000, 1.6000, 1.5900, 1.5900, 107.0000
05/11/2015, 08:33, 1.6200, 1.6200, 1.6200, 1.6200, 10.0000
05/11/2015, 08:34, 1.5700, 1.5700, 1.5700, 1.5700, 3.0000
05/11/2015, 08:35, 1.5200, 1.5200, 1.5200, 1.5200, 50.0000
05/11/2015, 08:36, 1.5200, 1.5200, 1.5200, 1.5200, 3.0000
05/11/2015, 08:39, 1.5500, 1.5700, 1.5500, 1.5700, 71.0000
05/11/2015, 08:40, 1.5700, 1.5700, 1.5700, 1.5700, 10.0000
05/11/2015, 08:41, 1.6200, 1.6200, 1.6200, 1.6200, 3.0000
05/11/2015, 08:43, 1.6200, 1.6200, 1.5800, 1.5800, 66.0000
05/11/2015, 08:44, 1.5800, 1.6300, 1.5800, 1.6100, 82.0000
05/11/2015, 08:45, 1.6100, 1.6100, 1.5800, 1.6100, 41.0000
05/11/2015, 08:46, 1.4800, 1.5000, 1.4700, 1.4700, 13.0000
05/11/2015, 08:48, 1.5100, 1.5100, 1.5100, 1.5100, 10.0000
05/11/2015, 08:50, 1.5600, 1.5600, 1.5100, 1.5100, 29.0000
05/11/2015, 08:51, 1.5200, 1.5200, 1.5000, 1.5000, 15.0000
05/11/2015, 08:52, 1.5700, 1.5700, 1.5700, 1.5700, 3.0000
05/11/2015, 08:53, 1.6000, 1.6000, 1.6000, 1.6000, 2.0000
05/11/2015, 08:54, 1.5900, 1.5900, 1.5900, 1.5900, 100.0000
05/11/2015, 08:55, 1.6200, 1.6600, 1.6200, 1.6400, 49.0000
05/11/2015, 08:56, 1.6300, 1.6300, 1.6300, 1.6300, 18.0000
05/11/2015, 08:57, 1.6300, 1.6300, 1.6300, 1.6300, 2.0000
05/11/2015, 08:58, 1.6300, 1.6300, 1.6300, 1.6300, 3.0000
05/11/2015, 08:59, 1.5900, 1.5900, 1.5500, 1.5500, 17.0000
05/11/2015, 09:01, 1.5400, 1.5400, 1.5000, 1.5000, 7.0000
05/11/2015, 09:02, 1.4900, 1.4900, 1.4900, 1.4900, 3.0000
05/11/2015, 09:04, 1.5000, 1.5000, 1.5000, 1.5000, 100.0000
05/11/2015, 09:05, 1.4700, 1.4700, 1.4700, 1.4700, 2.0000
05/11/2015, 09:07, 1.5000, 1.5000, 1.5000, 1.5000, 100.0000
05/11/2015, 09:12, 1.5400, 1.5400, 1.5400, 1.5400, 3.0000
05/11/2015, 09:13, 1.5200, 1.5200, 1.5200, 1.5200, 1.0000
05/11/2015, 09:14, 1.5200, 1.5200, 1.5200, 1.5200, 39.0000
05/11/2015, 09:17, 1.5000, 1.5000, 1.5000, 1.5000, 3.0000
05/11/2015, 09:19, 1.5700, 1.5700, 1.5700, 1.5700, 100.0000
05/11/2015, 09:21, 1.5600, 1.5600, 1.5600, 1.5600, 105.0000
05/11/2015, 09:23, 1.5800, 1.5800, 1.5800, 1.5800, 21.0000
05/11/2015, 09:25, 1.5600, 1.5900, 1.5600, 1.5800, 91.0000
05/11/2015, 09:26, 1.5800, 1.5800, 1.5800, 1.5800, 109.0000
05/11/2015, 09:29, 1.6700, 1.6800, 1.6700, 1.6800, 13.0000
05/11/2015, 09:30, 1.7100, 1.7700, 1.7100, 1.7700, 255.0000
05/11/2015, 09:31, 1.7700, 1.8000, 1.7700, 1.8000, 373.0000
05/11/2015, 09:32, 1.8000, 1.8000, 1.8000, 1.8000, 7.0000
05/11/2015, 09:33, 1.8100, 1.8100, 1.8100, 1.8100, 44.0000
05/11/2015, 09:34, 1.7600, 1.7600, 1.7500, 1.7500, 50.0000
05/11/2015, 09:36, 1.7700, 1.8200, 1.7700, 1.8200, 12.0000
05/11/2015, 09:37, 1.7800, 1.7800, 1.7800, 1.7800, 42.0000
05/11/2015, 09:38, 1.8100, 1.8100, 1.8100, 1.8100, 3.0000
05/11/2015, 09:42, 1.7300, 1.7300, 1.7300, 1.7300, 40.0000
05/11/2015, 09:43, 1.7100, 1.7100, 1.6600, 1.6600, 23.0000
05/11/2015, 09:44, 1.6900, 1.6900, 1.6900, 1.6900, 4.0000
05/11/2015, 09:45, 1.6700, 1.6700, 1.6700, 1.6700, 10.0000
05/11/2015, 09:46, 1.6400, 1.6400, 1.6400, 1.6400, 1.0000
05/11/2015, 09:50, 1.6200, 1.6200, 1.6000, 1.6000, 81.0000
05/11/2015, 09:55, 1.6000, 1.6000, 1.6000, 1.6000, 20.0000
05/11/2015, 10:00, 1.6600, 1.6600, 1.6600, 1.6600, 10.0000
05/11/2015, 10:04, 1.7100, 1.7200, 1.7100, 1.7200, 13.0000
05/11/2015, 10:09, 1.6500, 1.6500, 1.6300, 1.6300, 20.0000
05/11/2015, 10:10, 1.5900, 1.5900, 1.5900, 1.5900, 10.0000
05/11/2015, 10:11, 1.5800, 1.5800, 1.5800, 1.5800, 3.0000
05/11/2015, 10:12, 1.5700, 1.5700, 1.5500, 1.5500, 157.0000
05/11/2015, 10:15, 1.5500, 1.5500, 1.5500, 1.5500, 5.0000
05/11/2015, 10:20, 1.5800, 1.5800, 1.5800, 1.5800, 5.0000
05/11/2015, 10:33, 1.6500, 1.6600, 1.6500, 1.6500, 6.0000
05/11/2015, 10:34, 1.6500, 1.6500, 1.6500, 1.6500, 17.0000
05/11/2015, 10:36, 1.6700, 1.6700, 1.6700, 1.6700, 4.0000
05/11/2015, 10:38, 1.6700, 1.6700, 1.6700, 1.6700, 20.0000
05/11/2015, 10:45, 1.6000, 1.6000, 1.6000, 1.6000, 29.0000
05/11/2015, 10:52, 1.5400, 1.5400, 1.5400, 1.5400, 1.0000
05/11/2015, 10:59, 1.5800, 1.5800, 1.5800, 1.5800, 2.0000
05/11/2015, 11:03, 1.6400, 1.6400, 1.6400, 1.6400, 10.0000
05/11/2015, 11:04, 1.7100, 1.7100, 1.7100, 1.7100, 3.0000
05/11/2015, 11:05, 1.7300, 1.7300, 1.7300, 1.7300, 5.0000
05/11/2015, 11:07, 1.7700, 1.7700, 1.7700, 1.7700, 60.0000
05/11/2015, 11:09, 1.7700, 1.7700, 1.7700, 1.7700, 5.0000
05/11/2015, 11:10, 1.7900, 1.7900, 1.7900, 1.7900, 76.0000
05/11/2015, 11:15, 1.7600, 1.7800, 1.7600, 1.7800, 4.0000
05/11/2015, 11:18, 1.8100, 1.8200, 1.8100, 1.8200, 78.0000
05/11/2015, 11:20, 1.8000, 1.8100, 1.8000, 1.8100, 51.0000
05/11/2015, 11:21, 1.8400, 1.8400, 1.8400, 1.8400, 5.0000
