Date, Time, Open, High, Low, Close, Volume
04/10/2015, 15:00, 1.3400, 1.3500, 1.3400, 1.3500, 43.0000
04/13/2015, 08:33, 1.2500, 1.2500, 1.2500, 1.2500, 20.0000
04/13/2015, 08:34, 1.1800, 1.1800, 1.1800, 1.1800, 3.0000
04/13/2015, 08:37, 1.2100, 1.2100, 1.2100, 1.2100, 56.0000
04/13/2015, 08:39, 1.2000, 1.2000, 1.1700, 1.1700, 5.0000
04/13/2015, 08:40, 1.1400, 1.1400, 1.1400, 1.1400, 10.0000
04/13/2015, 08:45, 1.1100, 1.1100, 1.1100, 1.1100, 12.0000
04/13/2015, 09:14, 1.0900, 1.0900, 1.0900, 1.0900, 11.0000
04/13/2015, 09:18, 1.1600, 1.1600, 1.1600, 1.1600, 14.0000
04/13/2015, 09:19, 1.1500, 1.1500, 1.1500, 1.1500, 10.0000
04/13/2015, 09:21, 1.1400, 1.1400, 1.1400, 1.1400, 17.0000
04/13/2015, 09:22, 1.1300, 1.1300, 1.1300, 1.1300, 5.0000
04/13/2015, 09:24, 1.0700, 1.0700, 1.0700, 1.0700, 15.0000
04/13/2015, 09:25, 1.0600, 1.0600, 1.0600, 1.0600, 10.0000
04/13/2015, 09:33, 1.1000, 1.1000, 1.1000, 1.1000, 2.0000
04/13/2015, 09:39, 1.1300, 1.1300, 1.1300, 1.1300, 5.0000
04/13/2015, 09:51, 1.2000, 1.2000, 1.2000, 1.2000, 11.0000
04/13/2015, 09:56, 1.1700, 1.1700, 1.1700, 1.1700, 15.0000
04/13/2015, 10:09, 1.1600, 1.1600, 1.1600, 1.1600, 1.0000
04/13/2015, 10:18, 1.1600, 1.1600, 1.1600, 1.1600, 1.0000
04/13/2015, 10:27, 1.1400, 1.1400, 1.1300, 1.1300, 9.0000
04/13/2015, 10:33, 1.1500, 1.1500, 1.1500, 1.1500, 15.0000
04/13/2015, 10:34, 1.1300, 1.1300, 1.1300, 1.1300, 10.0000
04/13/2015, 10:49, 1.2000, 1.2000, 1.2000, 1.2000, 2.0000
04/13/2015, 10:56, 1.2300, 1.2300, 1.2300, 1.2300, 59.0000
04/13/2015, 11:04, 1.2500, 1.2500, 1.2500, 1.2500, 6.0000
04/13/2015, 11:05, 1.2500, 1.2500, 1.2400, 1.2400, 22.0000
04/13/2015, 11:07, 1.2600, 1.2600, 1.2600, 1.2600, 100.0000
