Date, Time, Open, High, Low, Close, Volume
05/26/2015, 08:30, 132.6000, 132.6700, 132.4900, 132.6380, 749893.0000
05/26/2015, 08:31, 132.6100, 132.9100, 132.6000, 132.7650, 402051.0000
05/26/2015, 08:32, 132.7500, 132.7800, 132.6000, 132.6700, 201549.0000
05/26/2015, 08:33, 132.6790, 132.8100, 132.6100, 132.6100, 307941.0000
05/26/2015, 08:34, 132.6100, 132.6174, 132.1636, 132.3100, 528596.0000
05/26/2015, 08:35, 132.2900, 132.3000, 131.8700, 131.9899, 568062.0000
05/26/2015, 08:36, 131.9956, 132.2600, 131.9800, 132.1300, 366415.0000
05/26/2015, 08:37, 132.1400, 132.2100, 132.0000, 132.0200, 213204.0000
05/26/2015, 08:38, 132.0300, 132.1000, 131.9700, 132.0550, 216376.0000
05/26/2015, 08:39, 132.0500, 132.2000, 131.9400, 132.1501, 215599.0000
05/26/2015, 08:40, 132.1500, 132.1762, 131.9700, 132.0000, 151956.0000
05/26/2015, 08:41, 132.0100, 132.0580, 131.9300, 131.9500, 174376.0000
05/26/2015, 08:42, 131.9500, 132.1300, 131.9300, 132.0800, 206484.0000
05/26/2015, 08:43, 132.0800, 132.0974, 132.0100, 132.0900, 161582.0000
05/26/2015, 08:44, 132.0700, 132.0899, 131.7900, 131.8540, 421871.0000
05/26/2015, 08:45, 131.8500, 131.9900, 131.8100, 131.8301, 310515.0000
05/26/2015, 08:46, 131.8300, 131.9000, 131.7600, 131.8700, 219708.0000
05/26/2015, 08:47, 131.8600, 131.9562, 131.8500, 131.9050, 154996.0000
05/26/2015, 08:48, 131.9000, 131.9100, 131.7400, 131.7700, 226325.0000
05/26/2015, 08:49, 131.7650, 131.7700, 131.5359, 131.5834, 382397.0000
05/26/2015, 08:50, 131.5899, 131.6900, 131.5100, 131.6300, 336904.0000
05/26/2015, 08:51, 131.6300, 131.6500, 131.3100, 131.3700, 483245.0000
05/26/2015, 08:52, 131.3736, 131.4300, 131.3100, 131.3400, 244977.0000
