Date, Time, Open, High, Low, Close, Volume
02/06/2015, 08:30, 120.1000, 120.1600, 120.0200, 120.0600, 314142.0000
02/06/2015, 08:31, 120.0700, 120.0900, 119.9500, 119.9500, 138549.0000
02/06/2015, 08:32, 119.9600, 120.0500, 119.8800, 119.9900, 152562.0000
02/06/2015, 08:33, 120.0000, 120.0300, 119.8700, 119.9700, 51873.0000
02/06/2015, 08:34, 119.9500, 120.0900, 119.9400, 119.9900, 78073.0000
02/06/2015, 08:35, 119.9900, 120.1400, 119.9401, 119.9500, 101125.0000
02/06/2015, 08:36, 119.9400, 120.1100, 119.9300, 120.1000, 106681.0000
02/06/2015, 08:37, 120.1100, 120.1750, 120.0700, 120.1750, 99556.0000
02/06/2015, 08:38, 120.1751, 120.1751, 120.0601, 120.1000, 57570.0000
02/06/2015, 08:39, 120.1100, 120.3300, 120.1100, 120.2800, 220929.0000
02/06/2015, 08:40, 120.2700, 120.4300, 120.2700, 120.4300, 407790.0000
02/06/2015, 08:41, 120.4300, 120.4300, 120.3000, 120.3200, 151287.0000
02/06/2015, 08:42, 120.3200, 120.3300, 120.1400, 120.2000, 66333.0000
02/06/2015, 08:43, 120.2100, 120.2600, 120.1100, 120.1300, 64572.0000
02/06/2015, 08:44, 120.1300, 120.1500, 120.0500, 120.1000, 74963.0000
02/06/2015, 08:45, 120.1000, 120.1100, 119.9600, 120.0200, 128531.0000
02/06/2015, 08:46, 120.0300, 120.1100, 119.9700, 120.0700, 88987.0000
02/06/2015, 08:47, 120.0600, 120.1000, 120.0100, 120.0800, 157121.0000
02/06/2015, 08:48, 120.0800, 120.0800, 120.0000, 120.0200, 38194.0000
02/06/2015, 08:49, 120.0300, 120.1000, 120.0100, 120.1000, 26872.0000
02/06/2015, 08:50, 120.1000, 120.1000, 119.9900, 120.0300, 40958.0000
02/06/2015, 08:51, 120.0300, 120.0300, 119.9300, 119.9500, 46171.0000
02/06/2015, 08:52, 119.9400, 120.0500, 119.9400, 120.0500, 34792.0000
02/06/2015, 08:53, 120.0500, 120.0600, 119.9700, 120.0500, 36239.0000
02/06/2015, 08:54, 120.0472, 120.0700, 119.9400, 119.9900, 72736.0000
02/06/2015, 08:55, 120.0000, 120.0100, 119.9500, 119.9600, 56783.0000
02/06/2015, 08:56, 119.9600, 119.9600, 119.8700, 119.9000, 112002.0000
02/06/2015, 08:57, 119.8970, 119.9900, 119.8650, 119.9590, 91944.0000
02/06/2015, 08:58, 119.9700, 120.0700, 119.9700, 120.0600, 41983.0000
02/06/2015, 08:59, 120.0400, 120.1900, 120.0200, 120.1700, 114257.0000
02/06/2015, 09:00, 120.1800, 120.2700, 120.1800, 120.2500, 125496.0000
02/06/2015, 09:01, 120.2450, 120.3550, 120.2350, 120.3300, 137997.0000
02/06/2015, 09:02, 120.3500, 120.4100, 120.3300, 120.3800, 195466.0000
02/06/2015, 09:03, 120.3750, 120.4600, 120.3700, 120.4400, 112751.0000
02/06/2015, 09:04, 120.4500, 120.4600, 120.3800, 120.4000, 136681.0000
02/06/2015, 09:05, 120.4100, 120.4699, 120.3800, 120.4100, 56076.0000
02/06/2015, 09:06, 120.4100, 120.4300, 120.3200, 120.3900, 134984.0000
02/06/2015, 09:07, 120.4000, 120.5000, 120.3999, 120.4550, 82744.0000
02/06/2015, 09:08, 120.4400, 120.4699, 120.4000, 120.4600, 74751.0000
02/06/2015, 09:09, 120.4600, 120.5100, 120.4500, 120.4600, 180401.0000
02/06/2015, 09:10, 120.4699, 120.5300, 120.4699, 120.5200, 72038.0000
02/06/2015, 09:11, 120.5200, 120.6400, 120.5100, 120.6225, 370279.0000
02/06/2015, 09:12, 120.6100, 120.6500, 120.5700, 120.6450, 71868.0000
02/06/2015, 09:13, 120.6400, 120.6600, 120.5900, 120.6300, 171692.0000
02/06/2015, 09:14, 120.6400, 120.6400, 120.5500, 120.5900, 56709.0000
02/06/2015, 09:15, 120.5800, 120.6000, 120.5500, 120.6000, 54147.0000
02/06/2015, 09:16, 120.6000, 120.6500, 120.6000, 120.6300, 135806.0000
02/06/2015, 09:17, 120.6400, 120.7400, 120.6400, 120.7100, 295137.0000
02/06/2015, 09:18, 120.7200, 120.7200, 120.6500, 120.6800, 28074.0000
02/06/2015, 09:19, 120.6800, 120.6900, 120.6400, 120.6490, 19296.0000
02/06/2015, 09:20, 120.6420, 120.6500, 120.6000, 120.6100, 33800.0000
02/06/2015, 09:21, 120.6000, 120.6300, 120.5500, 120.6300, 51307.0000
02/06/2015, 09:22, 120.6300, 120.6600, 120.6000, 120.6550, 160821.0000
02/06/2015, 09:23, 120.6500, 120.6500, 120.5400, 120.5800, 142669.0000
02/06/2015, 09:24, 120.5700, 120.6500, 120.5450, 120.6450, 67647.0000
02/06/2015, 09:25, 120.6424, 120.6500, 120.5500, 120.5800, 40130.0000
02/06/2015, 09:26, 120.5500, 120.5600, 120.4900, 120.4900, 45343.0000
02/06/2015, 09:27, 120.5000, 120.5500, 120.4800, 120.5100, 39568.0000
02/06/2015, 09:28, 120.5000, 120.5300, 120.4890, 120.5150, 20803.0000
02/06/2015, 09:29, 120.5000, 120.5600, 120.4900, 120.4900, 115725.0000
02/06/2015, 09:30, 120.4900, 120.4900, 120.4500, 120.4600, 73942.0000
02/06/2015, 09:31, 120.4700, 120.5300, 120.4600, 120.5300, 73925.0000
