Date, Time, Open, High, Low, Close, Volume
01/02/2015, 08:30, 103.7500, 103.8001, 103.7000, 103.7801, 429912.0000
01/02/2015, 08:31, 103.7800, 103.8800, 103.7300, 103.8700, 128624.0000
01/02/2015, 08:32, 103.8650, 103.9750, 103.8650, 103.9600, 129536.0000
01/02/2015, 08:33, 103.9600, 104.0200, 103.9200, 103.9900, 163083.0000
01/02/2015, 08:34, 104.0000, 104.0201, 103.9100, 103.9100, 110559.0000
01/02/2015, 08:35, 103.9199, 104.1080, 103.8900, 104.0743, 336196.0000
01/02/2015, 08:36, 104.0800, 104.1500, 104.0800, 104.1100, 161336.0000
01/02/2015, 08:37, 104.1100, 104.1500, 104.0840, 104.1100, 184121.0000
01/02/2015, 08:38, 104.1100, 104.1300, 104.0900, 104.1200, 119311.0000
01/02/2015, 08:39, 104.1200, 104.1500, 104.1100, 104.1300, 84771.0000
01/02/2015, 08:40, 104.1300, 104.1900, 104.1200, 104.1800, 123197.0000
01/02/2015, 08:41, 104.2000, 104.2000, 104.1600, 104.1800, 51800.0000
01/02/2015, 08:42, 104.1750, 104.1800, 104.1600, 104.1800, 62764.0000
01/02/2015, 08:43, 104.1800, 104.1800, 104.1300, 104.1500, 47497.0000
01/02/2015, 08:44, 104.1400, 104.1400, 104.0900, 104.0900, 116609.0000
01/02/2015, 08:45, 104.0900, 104.0957, 104.0200, 104.0500, 105082.0000
01/02/2015, 08:46, 104.0500, 104.0900, 104.0400, 104.0800, 57662.0000
01/02/2015, 08:47, 104.0900, 104.1100, 103.9850, 104.0000, 135806.0000
01/02/2015, 08:48, 104.0050, 104.0090, 103.8910, 103.9500, 189917.0000
01/02/2015, 08:49, 103.9800, 103.9800, 103.9450, 103.9500, 111842.0000
01/02/2015, 08:50, 103.9400, 103.9800, 103.9190, 103.9700, 107470.0000
01/02/2015, 08:51, 103.9500, 103.9900, 103.9500, 103.9600, 83757.0000
01/02/2015, 08:52, 103.9751, 103.9957, 103.9200, 103.9300, 101687.0000
01/02/2015, 08:53, 103.9300, 103.9300, 103.8600, 103.8700, 197049.0000
01/02/2015, 08:54, 103.8700, 103.8700, 103.7800, 103.7900, 118097.0000
01/02/2015, 08:55, 103.7950, 103.8000, 103.7300, 103.7900, 134126.0000
01/02/2015, 08:56, 103.7900, 103.8400, 103.7700, 103.8349, 76905.0000
01/02/2015, 08:57, 103.8300, 103.8910, 103.8200, 103.8800, 138804.0000
01/02/2015, 08:58, 103.8800, 103.9000, 103.8400, 103.8500, 56661.0000
01/02/2015, 08:59, 103.8590, 103.8700, 103.8500, 103.8600, 15381.0000
01/02/2015, 09:00, 103.8400, 103.8800, 103.7700, 103.7700, 165997.0000
01/02/2015, 09:01, 103.7800, 103.7800, 103.6200, 103.6300, 108767.0000
01/02/2015, 09:02, 103.6400, 103.6800, 103.5800, 103.6400, 189336.0000
01/02/2015, 09:03, 103.6400, 103.8300, 103.6300, 103.8200, 215752.0000
01/02/2015, 09:04, 103.8300, 103.8300, 103.7200, 103.7500, 132926.0000
01/02/2015, 09:05, 103.7600, 103.7800, 103.7000, 103.7301, 129596.0000
01/02/2015, 09:06, 103.7490, 103.7490, 103.6200, 103.6599, 192899.0000
01/02/2015, 09:07, 103.6600, 103.6700, 103.5700, 103.5770, 181355.0000
01/02/2015, 09:08, 103.6100, 103.6700, 103.5900, 103.6000, 116164.0000
01/02/2015, 09:09, 103.6100, 103.6200, 103.5500, 103.5900, 79757.0000
01/02/2015, 09:10, 103.6000, 103.6400, 103.5700, 103.5700, 120108.0000
01/02/2015, 09:11, 103.5700, 103.6900, 103.5700, 103.6700, 167196.0000
01/02/2015, 09:12, 103.6900, 103.7200, 103.6700, 103.6910, 49974.0000
01/02/2015, 09:13, 103.7000, 103.7400, 103.6900, 103.7350, 66107.0000
01/02/2015, 09:14, 103.7399, 103.8100, 103.7235, 103.8000, 79545.0000
01/02/2015, 09:15, 103.8100, 103.8101, 103.7300, 103.7300, 167634.0000
01/02/2015, 09:16, 103.7300, 103.7400, 103.6310, 103.6310, 80884.0000
01/02/2015, 09:17, 103.6500, 103.6500, 103.5600, 103.5800, 87631.0000
01/02/2015, 09:18, 103.5900, 103.6100, 103.5700, 103.5900, 49323.0000
01/02/2015, 09:19, 103.6000, 103.6627, 103.5900, 103.5900, 69268.0000
01/02/2015, 09:20, 103.5900, 103.5900, 103.5350, 103.5700, 47279.0000
01/02/2015, 09:21, 103.5700, 103.5940, 103.5400, 103.5400, 31641.0000
01/02/2015, 09:22, 103.5250, 103.5334, 103.4932, 103.5100, 57638.0000
01/02/2015, 09:23, 103.5000, 103.5200, 103.4600, 103.4800, 66197.0000
01/02/2015, 09:24, 103.4800, 103.5300, 103.4600, 103.5000, 70083.0000
01/02/2015, 09:25, 103.5100, 103.5900, 103.5010, 103.5500, 81510.0000
01/02/2015, 09:26, 103.5600, 103.5800, 103.5100, 103.5101, 74022.0000
01/02/2015, 09:27, 103.5199, 103.5800, 103.4850, 103.5750, 51569.0000
01/02/2015, 09:28, 103.5800, 103.5900, 103.5550, 103.5800, 16691.0000
01/02/2015, 09:29, 103.5900, 103.6100, 103.5490, 103.5600, 128098.0000
01/02/2015, 09:30, 103.5700, 103.5700, 103.4650, 103.5200, 38162.0000
01/02/2015, 09:31, 103.5100, 103.5100, 103.4200, 103.4200, 80499.0000
01/02/2015, 09:32, 103.4200, 103.4201, 103.3600, 103.3600, 52930.0000
01/02/2015, 09:33, 103.3558, 103.3700, 103.3000, 103.3200, 82025.0000
01/02/2015, 09:34, 103.3200, 103.3400, 103.2950, 103.3300, 73620.0000
01/02/2015, 09:35, 103.3201, 103.3300, 103.3000, 103.3100, 72497.0000
01/02/2015, 09:36, 103.3100, 103.3100, 103.2300, 103.2350, 150117.0000
01/02/2015, 09:37, 103.2300, 103.2400, 103.1600, 103.1800, 118281.0000
01/02/2015, 09:38, 103.1900, 103.1900, 103.1100, 103.1200, 173413.0000
01/02/2015, 09:39, 103.1150, 103.1500, 103.0500, 103.0700, 147504.0000
01/02/2015, 09:40, 103.0700, 103.0899, 103.0000, 103.0001, 160085.0000
01/02/2015, 09:41, 103.0001, 103.0200, 102.9600, 103.0000, 279629.0000
01/02/2015, 09:42, 103.0000, 103.0100, 102.8300, 102.8700, 295509.0000
01/02/2015, 09:43, 102.8600, 102.8700, 102.7200, 102.7900, 267328.0000
01/02/2015, 09:44, 102.7800, 102.7900, 102.6700, 102.7600, 341359.0000
01/02/2015, 09:45, 102.7600, 102.8600, 102.7500, 102.8500, 212010.0000
01/02/2015, 09:46, 102.8500, 102.9300, 102.8100, 102.9100, 155517.0000
01/02/2015, 09:47, 102.9101, 102.9400, 102.8900, 102.9000, 73333.0000
01/02/2015, 09:48, 102.9100, 102.9100, 102.8300, 102.8800, 107141.0000
01/02/2015, 09:49, 102.8900, 102.9700, 102.8890, 102.9200, 120714.0000
01/02/2015, 09:50, 102.9250, 102.9250, 102.8410, 102.8700, 107077.0000
01/02/2015, 09:51, 102.8700, 102.8900, 102.8350, 102.8700, 116592.0000
01/02/2015, 09:52, 102.8700, 102.8900, 102.8300, 102.8590, 47775.0000
01/02/2015, 09:53, 102.8500, 102.9700, 102.8500, 102.9700, 80806.0000
01/02/2015, 09:54, 102.9600, 102.9900, 102.9400, 102.9750, 67790.0000
01/02/2015, 09:55, 102.9700, 103.0500, 102.9650, 103.0200, 195159.0000
01/02/2015, 09:56, 103.0101, 103.0500, 102.9972, 103.0500, 95928.0000
01/02/2015, 09:57, 103.0400, 103.0450, 102.9700, 103.0100, 118648.0000
01/02/2015, 09:58, 103.0050, 103.0300, 102.9800, 102.9940, 25854.0000
01/02/2015, 09:59, 102.9800, 103.0200, 102.9700, 102.9700, 35923.0000
01/02/2015, 10:00, 102.9700, 102.9900, 102.7850, 102.7900, 147479.0000
01/02/2015, 10:01, 102.7900, 102.8350, 102.7800, 102.7800, 52610.0000
01/02/2015, 10:02, 102.7900, 102.8200, 102.7700, 102.8200, 72121.0000
01/02/2015, 10:03, 102.8200, 102.8650, 102.8200, 102.8300, 61705.0000
01/02/2015, 10:04, 102.8300, 102.8300, 102.7500, 102.7749, 89237.0000
01/02/2015, 10:05, 102.7700, 102.7900, 102.7500, 102.7800, 76231.0000
01/02/2015, 10:06, 102.7800, 102.8200, 102.7710, 102.7801, 46100.0000
01/02/2015, 10:07, 102.7900, 102.8000, 102.6700, 102.7000, 111606.0000
01/02/2015, 10:08, 102.7100, 102.7401, 102.6999, 102.7100, 33912.0000
01/02/2015, 10:09, 102.7000, 102.7800, 102.7000, 102.7700, 85894.0000
01/02/2015, 10:10, 102.7650, 102.7800, 102.5700, 102.6127, 224727.0000
01/02/2015, 10:11, 102.6200, 102.6600, 102.5900, 102.5900, 77906.0000
01/02/2015, 10:12, 102.5900, 102.6000, 102.5500, 102.5600, 87689.0000
01/02/2015, 10:13, 102.5500, 102.5600, 102.4700, 102.5100, 290871.0000
01/02/2015, 10:14, 102.5100, 102.5900, 102.4900, 102.5900, 100597.0000
01/02/2015, 10:15, 102.5900, 102.6600, 102.5850, 102.6500, 93892.0000
01/02/2015, 10:16, 102.6600, 102.6800, 102.5799, 102.5800, 111056.0000
01/02/2015, 10:17, 102.5800, 102.6200, 102.5400, 102.5900, 77444.0000
01/02/2015, 10:18, 102.5900, 102.6234, 102.5800, 102.6200, 68014.0000
01/02/2015, 10:19, 102.6100, 102.6500, 102.5600, 102.5900, 91694.0000
01/02/2015, 10:20, 102.5900, 102.5900, 102.5000, 102.5250, 105678.0000
01/02/2015, 10:21, 102.5250, 102.5440, 102.4400, 102.4800, 131736.0000
01/02/2015, 10:22, 102.4900, 102.5400, 102.4800, 102.5099, 60253.0000
01/02/2015, 10:23, 102.5000, 102.6300, 102.5000, 102.6200, 84766.0000
01/02/2015, 10:24, 102.6200, 102.6700, 102.5927, 102.6000, 265387.0000
01/02/2015, 10:25, 102.6200, 102.6950, 102.6200, 102.6750, 112844.0000
01/02/2015, 10:26, 102.6750, 102.7150, 102.6400, 102.6600, 89732.0000
01/02/2015, 10:27, 102.6600, 102.6900, 102.6350, 102.6800, 64596.0000
01/02/2015, 10:28, 102.6790, 102.7490, 102.6700, 102.7200, 92963.0000
01/02/2015, 10:29, 102.7210, 102.7300, 102.6750, 102.7000, 66396.0000
01/02/2015, 10:30, 102.7000, 102.7473, 102.6966, 102.7300, 50855.0000
01/02/2015, 10:31, 102.7210, 102.7400, 102.6900, 102.7300, 46246.0000
01/02/2015, 10:32, 102.7350, 102.7450, 102.7000, 102.7100, 37633.0000
01/02/2015, 10:33, 102.7100, 102.7500, 102.6900, 102.7100, 47758.0000
01/02/2015, 10:34, 102.7100, 102.7450, 102.7100, 102.7400, 44880.0000
01/02/2015, 10:35, 102.7500, 102.7700, 102.7350, 102.7400, 78374.0000
01/02/2015, 10:36, 102.7400, 102.7500, 102.6700, 102.6800, 35262.0000
01/02/2015, 10:37, 102.6900, 102.7000, 102.6300, 102.6300, 28011.0000
01/02/2015, 10:38, 102.6400, 102.7000, 102.6390, 102.6600, 63425.0000
01/02/2015, 10:39, 102.6600, 102.7300, 102.6500, 102.6800, 190308.0000
01/02/2015, 10:40, 102.6800, 102.7350, 102.6760, 102.7300, 19555.0000
01/02/2015, 10:41, 102.7300, 102.7500, 102.7199, 102.7200, 24221.0000
01/02/2015, 10:42, 102.7200, 102.7200, 102.6400, 102.6501, 85587.0000
01/02/2015, 10:43, 102.6700, 102.6700, 102.6150, 102.6334, 25447.0000
01/02/2015, 10:44, 102.6334, 102.6381, 102.5600, 102.5600, 19624.0000
01/02/2015, 10:45, 102.5700, 102.6200, 102.5700, 102.6100, 12431.0000
01/02/2015, 10:46, 102.6050, 102.6800, 102.6050, 102.6800, 31502.0000
01/02/2015, 10:47, 102.6900, 102.7500, 102.6790, 102.7500, 104749.0000
01/02/2015, 10:48, 102.7499, 102.8000, 102.7400, 102.7800, 106105.0000
01/02/2015, 10:49, 102.7700, 102.7927, 102.7700, 102.7840, 12434.0000
01/02/2015, 10:50, 102.7900, 102.8000, 102.7100, 102.7300, 27003.0000
01/02/2015, 10:51, 102.7400, 102.7400, 102.6800, 102.7100, 96478.0000
01/02/2015, 10:52, 102.7000, 102.7100, 102.6750, 102.6800, 12345.0000
01/02/2015, 10:53, 102.6800, 102.7800, 102.6800, 102.7601, 13178.0000
01/02/2015, 10:54, 102.7600, 102.8200, 102.7600, 102.8000, 41388.0000
01/02/2015, 10:55, 102.8000, 102.8300, 102.7775, 102.7775, 65329.0000
01/02/2015, 10:56, 102.7700, 102.8500, 102.7700, 102.8500, 73495.0000
01/02/2015, 10:57, 102.8500, 102.8800, 102.8200, 102.8701, 25257.0000
01/02/2015, 10:58, 102.8790, 102.8800, 102.8300, 102.8501, 71018.0000
01/02/2015, 10:59, 102.8500, 102.8500, 102.8200, 102.8500, 29343.0000
01/02/2015, 11:00, 102.8400, 102.8550, 102.8200, 102.8500, 24818.0000
01/02/2015, 11:01, 102.8590, 102.8599, 102.8300, 102.8349, 29375.0000
01/02/2015, 11:02, 102.8400, 102.9500, 102.8366, 102.9400, 39437.0000
01/02/2015, 11:03, 102.9500, 102.9800, 102.9340, 102.9400, 153403.0000
01/02/2015, 11:04, 102.9400, 102.9700, 102.9300, 102.9600, 18076.0000
01/02/2015, 11:05, 102.9500, 103.0100, 102.9500, 103.0050, 47913.0000
01/02/2015, 11:06, 103.0050, 103.0200, 102.9800, 102.9800, 52391.0000
01/02/2015, 11:07, 102.9900, 102.9900, 102.9500, 102.9750, 110495.0000
01/02/2015, 11:08, 102.9750, 103.0300, 102.9700, 102.9900, 86648.0000
01/02/2015, 11:09, 102.9810, 103.0150, 102.9810, 103.0099, 30983.0000
01/02/2015, 11:10, 103.0100, 103.0400, 102.9900, 103.0073, 35040.0000
01/02/2015, 11:11, 103.0050, 103.0400, 103.0000, 103.0400, 79150.0000
01/02/2015, 11:12, 103.0450, 103.0500, 102.9800, 102.9800, 128653.0000
01/02/2015, 11:13, 102.9800, 102.9800, 102.9400, 102.9700, 50277.0000
01/02/2015, 11:14, 102.9800, 102.9800, 102.9410, 102.9450, 7693.0000
01/02/2015, 11:15, 102.9400, 102.9400, 102.8700, 102.8790, 58328.0000
01/02/2015, 11:16, 102.8800, 102.9100, 102.8750, 102.8750, 17580.0000
01/02/2015, 11:17, 102.8800, 102.8900, 102.8300, 102.8400, 45934.0000
01/02/2015, 11:18, 102.8300, 102.8700, 102.8140, 102.8700, 30697.0000
01/02/2015, 11:19, 102.8700, 102.9000, 102.8500, 102.8800, 19049.0000
01/02/2015, 11:20, 102.8999, 102.8999, 102.8500, 102.8900, 37932.0000
01/02/2015, 11:21, 102.8800, 102.8900, 102.8700, 102.8701, 41824.0000
01/02/2015, 11:22, 102.8600, 102.8700, 102.8540, 102.8540, 6407.0000
01/02/2015, 11:23, 102.8600, 102.8700, 102.8400, 102.8500, 29889.0000
01/02/2015, 11:24, 102.8600, 102.8600, 102.8490, 102.8500, 7369.0000
01/02/2015, 11:25, 102.8450, 102.9100, 102.8300, 102.9000, 42232.0000
01/02/2015, 11:26, 102.9000, 102.9100, 102.8500, 102.8510, 111216.0000
01/02/2015, 11:27, 102.8700, 102.8799, 102.8500, 102.8500, 84978.0000
01/02/2015, 11:28, 102.8510, 102.8700, 102.8350, 102.8350, 20891.0000
01/02/2015, 11:29, 102.8400, 102.8800, 102.8000, 102.8600, 27574.0000
01/02/2015, 11:30, 102.8750, 102.8750, 102.8200, 102.8200, 15820.0000
01/02/2015, 11:31, 102.8100, 102.8750, 102.8100, 102.8700, 37547.0000
01/02/2015, 11:32, 102.8700, 102.9200, 102.8700, 102.9000, 29765.0000
01/02/2015, 11:33, 102.9100, 102.9680, 102.9100, 102.9200, 25834.0000
01/02/2015, 11:34, 102.9300, 102.9400, 102.9100, 102.9290, 7714.0000
01/02/2015, 11:35, 102.9100, 102.9150, 102.8900, 102.9100, 16934.0000
01/02/2015, 11:36, 102.9075, 102.9075, 102.8400, 102.8800, 25374.0000
01/02/2015, 11:37, 102.8700, 102.8800, 102.8550, 102.8601, 14889.0000
01/02/2015, 11:38, 102.8600, 102.8910, 102.8600, 102.8800, 20445.0000
01/02/2015, 11:39, 102.8900, 102.9600, 102.8900, 102.9300, 94618.0000
01/02/2015, 11:40, 102.9300, 102.9600, 102.9300, 102.9500, 19853.0000
01/02/2015, 11:41, 102.9550, 102.9550, 102.9200, 102.9300, 8993.0000
01/02/2015, 11:42, 102.9300, 102.9400, 102.9100, 102.9300, 18836.0000
01/02/2015, 11:43, 102.9300, 102.9400, 102.8900, 102.9000, 15291.0000
01/02/2015, 11:44, 102.8900, 102.8900, 102.8600, 102.8600, 22186.0000
01/02/2015, 11:45, 102.8500, 102.8700, 102.8500, 102.8700, 22136.0000
01/02/2015, 11:46, 102.8700, 102.8900, 102.8400, 102.8450, 23183.0000
01/02/2015, 11:47, 102.8600, 102.8700, 102.8300, 102.8700, 13004.0000
01/02/2015, 11:48, 102.8601, 102.8700, 102.7300, 102.7600, 77310.0000
01/02/2015, 11:49, 102.7600, 102.7900, 102.7200, 102.7201, 40912.0000
01/02/2015, 11:50, 102.7100, 102.7300, 102.6900, 102.7200, 21869.0000
01/02/2015, 11:51, 102.7200, 102.7300, 102.7100, 102.7210, 12442.0000
01/02/2015, 11:52, 102.7227, 102.7800, 102.7210, 102.7800, 12766.0000
01/02/2015, 11:53, 102.7800, 102.8100, 102.7790, 102.8000, 79698.0000
01/02/2015, 11:54, 102.7900, 102.8000, 102.7700, 102.8000, 6342.0000
01/02/2015, 11:55, 102.8050, 102.8200, 102.7900, 102.8200, 10990.0000
01/02/2015, 11:56, 102.8190, 102.8600, 102.8000, 102.8590, 73798.0000
01/02/2015, 11:57, 102.8600, 102.8600, 102.7600, 102.7600, 15146.0000
01/02/2015, 11:58, 102.7600, 102.7750, 102.7300, 102.7400, 15455.0000
01/02/2015, 11:59, 102.7400, 102.7450, 102.7100, 102.7300, 74658.0000
01/02/2015, 12:00, 102.7400, 102.7600, 102.7400, 102.7600, 13034.0000
01/02/2015, 12:01, 102.7563, 102.7600, 102.7328, 102.7500, 11107.0000
01/02/2015, 12:02, 102.7600, 102.7900, 102.7600, 102.7801, 5804.0000
01/02/2015, 12:03, 102.7800, 102.8000, 102.7700, 102.7800, 12513.0000
01/02/2015, 12:04, 102.7800, 102.8000, 102.7600, 102.7700, 40270.0000
01/02/2015, 12:05, 102.7700, 102.7801, 102.7700, 102.7801, 5114.0000
01/02/2015, 12:06, 102.7750, 102.7800, 102.7610, 102.7700, 12365.0000
01/02/2015, 12:07, 102.7700, 102.7800, 102.7600, 102.7800, 9762.0000
01/02/2015, 12:08, 102.7800, 102.8100, 102.7228, 102.7400, 23876.0000
01/02/2015, 12:09, 102.7300, 102.7400, 102.7100, 102.7200, 24971.0000
01/02/2015, 12:10, 102.7300, 102.7400, 102.7190, 102.7400, 11356.0000
01/02/2015, 12:11, 102.7400, 102.7400, 102.7050, 102.7200, 10199.0000
01/02/2015, 12:12, 102.7200, 102.7200, 102.6500, 102.6557, 86959.0000
01/02/2015, 12:13, 102.6600, 102.6650, 102.6400, 102.6600, 30239.0000
01/02/2015, 12:14, 102.6600, 102.6700, 102.6400, 102.6400, 93234.0000
01/02/2015, 12:15, 102.6350, 102.6800, 102.6200, 102.6698, 52812.0000
01/02/2015, 12:16, 102.6600, 102.6600, 102.6400, 102.6590, 15104.0000
01/02/2015, 12:17, 102.6500, 102.6900, 102.6500, 102.6800, 18727.0000
01/02/2015, 12:18, 102.6900, 102.7200, 102.6700, 102.6737, 19294.0000
01/02/2015, 12:19, 102.6700, 102.6900, 102.6600, 102.6701, 18246.0000
01/02/2015, 12:20, 102.6800, 102.7200, 102.6800, 102.7100, 52830.0000
01/02/2015, 12:21, 102.7100, 102.7240, 102.6900, 102.6900, 42769.0000
01/02/2015, 12:22, 102.6800, 102.7000, 102.6700, 102.7000, 14430.0000
01/02/2015, 12:23, 102.7010, 102.7610, 102.7000, 102.7600, 30153.0000
01/02/2015, 12:24, 102.7600, 102.7950, 102.7501, 102.7750, 137495.0000
01/02/2015, 12:25, 102.7800, 102.8000, 102.7500, 102.7550, 21005.0000
01/02/2015, 12:26, 102.7500, 102.7500, 102.6800, 102.6850, 14950.0000
01/02/2015, 12:27, 102.6899, 102.6950, 102.6500, 102.6500, 18501.0000
01/02/2015, 12:28, 102.6501, 102.6750, 102.6500, 102.6650, 15341.0000
01/02/2015, 12:29, 102.6500, 102.6500, 102.5650, 102.6000, 48110.0000
01/02/2015, 12:30, 102.5900, 102.6300, 102.5650, 102.6199, 26947.0000
01/02/2015, 12:31, 102.6175, 102.6300, 102.5400, 102.5400, 85533.0000
01/02/2015, 12:32, 102.5306, 102.5357, 102.4540, 102.5099, 46965.0000
01/02/2015, 12:33, 102.5000, 102.5400, 102.4700, 102.5260, 46767.0000
01/02/2015, 12:34, 102.5300, 102.5450, 102.5100, 102.5390, 17260.0000
01/02/2015, 12:35, 102.5423, 102.5450, 102.5100, 102.5200, 393849.0000
01/02/2015, 12:36, 102.5200, 102.6100, 102.5100, 102.6057, 88093.0000
01/02/2015, 12:37, 102.6100, 102.6275, 102.5700, 102.5800, 31344.0000
01/02/2015, 12:38, 102.5800, 102.5900, 102.5500, 102.5600, 10686.0000
01/02/2015, 12:39, 102.5643, 102.6000, 102.5400, 102.5900, 89896.0000
01/02/2015, 12:40, 102.5900, 102.5950, 102.5400, 102.5550, 80264.0000
01/02/2015, 12:41, 102.5500, 102.5600, 102.5400, 102.5500, 102069.0000
01/02/2015, 12:42, 102.5400, 102.5951, 102.5301, 102.5951, 91962.0000
01/02/2015, 12:43, 102.5900, 102.5900, 102.5500, 102.5600, 35992.0000
01/02/2015, 12:44, 102.5600, 102.5700, 102.5400, 102.5571, 16214.0000
01/02/2015, 12:45, 102.5650, 102.5700, 102.5300, 102.5700, 22200.0000
01/02/2015, 12:46, 102.5750, 102.5850, 102.5600, 102.5800, 11249.0000
01/02/2015, 12:47, 102.6000, 102.6100, 102.5700, 102.5973, 61281.0000
01/02/2015, 12:48, 102.6000, 102.6100, 102.5800, 102.5800, 5745.0000
01/02/2015, 12:49, 102.5800, 102.5900, 102.5650, 102.5800, 8372.0000
01/02/2015, 12:50, 102.5800, 102.5800, 102.5200, 102.5300, 35495.0000
01/02/2015, 12:51, 102.5300, 102.5400, 102.5201, 102.5350, 10447.0000
01/02/2015, 12:52, 102.5310, 102.6050, 102.5310, 102.6000, 55953.0000
01/02/2015, 12:53, 102.6000, 102.7200, 102.6000, 102.7100, 112334.0000
01/02/2015, 12:54, 102.7100, 102.8100, 102.6950, 102.7500, 166728.0000
01/02/2015, 12:55, 102.7600, 102.7900, 102.7400, 102.7600, 24297.0000
01/02/2015, 12:56, 102.7600, 102.7600, 102.7400, 102.7538, 29541.0000
01/02/2015, 12:57, 102.7600, 102.8000, 102.7600, 102.7900, 45375.0000
01/02/2015, 12:58, 102.7800, 102.7850, 102.7400, 102.7500, 36668.0000
01/02/2015, 12:59, 102.7500, 102.7500, 102.6800, 102.7200, 66289.0000
01/02/2015, 13:00, 102.7000, 102.7700, 102.7000, 102.7650, 28340.0000
01/02/2015, 13:01, 102.7600, 102.7800, 102.7425, 102.7650, 41000.0000
01/02/2015, 13:02, 102.7600, 102.8161, 102.7455, 102.8000, 43506.0000
01/02/2015, 13:03, 102.8000, 102.8000, 102.7800, 102.7838, 11656.0000
01/02/2015, 13:04, 102.7950, 102.7950, 102.7200, 102.7200, 20398.0000
01/02/2015, 13:05, 102.7200, 102.7400, 102.7100, 102.7200, 19673.0000
01/02/2015, 13:06, 102.7200, 102.7400, 102.6901, 102.7400, 34435.0000
01/02/2015, 13:07, 102.7400, 102.7700, 102.7000, 102.7601, 56974.0000
01/02/2015, 13:08, 102.7700, 102.9034, 102.7700, 102.9034, 124730.0000
01/02/2015, 13:09, 102.8950, 102.9000, 102.8700, 102.8900, 29481.0000
01/02/2015, 13:10, 102.9000, 102.9600, 102.9000, 102.9450, 42970.0000
01/02/2015, 13:11, 102.9462, 102.9500, 102.8800, 102.9000, 26702.0000
01/02/2015, 13:12, 102.9000, 102.9500, 102.9000, 102.9500, 19592.0000
01/02/2015, 13:13, 102.9400, 102.9450, 102.9000, 102.9000, 25786.0000
01/02/2015, 13:14, 102.9000, 102.9000, 102.8700, 102.8800, 36338.0000
01/02/2015, 13:15, 102.8700, 102.8800, 102.8300, 102.8402, 60771.0000
01/02/2015, 13:16, 102.8400, 102.8400, 102.7800, 102.7900, 16647.0000
01/02/2015, 13:17, 102.8100, 102.8200, 102.7900, 102.8100, 32950.0000
01/02/2015, 13:18, 102.8100, 102.8600, 102.8100, 102.8401, 18337.0000
01/02/2015, 13:19, 102.8500, 102.8550, 102.8000, 102.8100, 18504.0000
01/02/2015, 13:20, 102.8100, 102.8200, 102.8000, 102.8000, 9375.0000
01/02/2015, 13:21, 102.8100, 102.8300, 102.8000, 102.8000, 12064.0000
01/02/2015, 13:22, 102.8000, 102.8300, 102.7900, 102.8199, 11716.0000
01/02/2015, 13:23, 102.8200, 102.8200, 102.8050, 102.8100, 6415.0000
01/02/2015, 13:24, 102.8150, 102.8900, 102.8150, 102.8700, 23245.0000
01/02/2015, 13:25, 102.8900, 102.9500, 102.8860, 102.9500, 18834.0000
01/02/2015, 13:26, 102.9600, 102.9998, 102.9600, 102.9900, 70703.0000
01/02/2015, 13:27, 102.9900, 103.0100, 102.9599, 102.9599, 77679.0000
01/02/2015, 13:28, 102.9561, 102.9600, 102.8900, 102.9000, 43167.0000
01/02/2015, 13:29, 102.9000, 102.9000, 102.8500, 102.8600, 21253.0000
01/02/2015, 13:30, 102.8600, 102.8800, 102.8500, 102.8600, 76040.0000
01/02/2015, 13:31, 102.8500, 102.8539, 102.8200, 102.8400, 49990.0000
01/02/2015, 13:32, 102.8400, 102.8601, 102.8400, 102.8600, 28087.0000
